GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "02000" ,"Alaska",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",21181698,22201930,23190634,24270355,25888513,27606973,29712529,32701876,32749086,35162893,37580637,38822647,38502520,40935223,42290967,41461355,42300914
 "02000" ,"Alaska",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",633714,642337,648414,659286,666946,675302,680300,687455,698895,714015,722259,730825,736760,736759,737979,741522,739795
 "02000" ,"Alaska",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",33425,34564,35765,36813,38817,40881,43676,47569,46858,49247,52032,53122,52259,55561,57306,55914,57179
 "02010" ,"Aleutian Islands Census Area, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02010" ,"Aleutian Islands Census Area, AK*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02010" ,"Aleutian Islands Census Area, AK*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02013" ,"Aleutians East Borough, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",86058,77925,83479,85938,93830,100199,98002,105313,105040,112404,120811,121364,130623,135417,168515,193637,199114
 "02013" ,"Aleutians East Borough, AK*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",2590,2734,2732,2727,2787,2794,3012,2991,3084,3170,3262,3304,3324,3325,3346,3324,3370
 "02013" ,"Aleutians East Borough, AK*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",33227,28502,30556,31514,33667,35862,32537,35210,34060,35459,37036,36732,39297,40727,50363,58254,59084
 "02016" ,"Aleutians West Census Area, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",119925,140084,167045,171641,185932,193794,202912,219178,214076,229447,257869,287707,289551,305573,304290,315469,305498
 "02016" ,"Aleutians West Census Area, AK*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",5501,5472,5709,5798,5913,5658,5466,5393,5537,5564,5587,5689,5752,5839,5818,5747,5763
 "02016" ,"Aleutians West Census Area, AK*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21801,25600,29260,29603,31445,34251,37123,40641,38663,41238,46155,50573,50339,52333,52301,54893,53010
 "02020" ,"Anchorage Municipality, AK",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9939844,10497235,10933566,11522272,12242781,13116370,14095562,15496912,15366585,16537239,17334300,17628526,17274201,18318748,18918109,18424747,18701165
 "02020" ,"Anchorage Municipality, AK",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",264274,268229,270568,274484,276494,280085,278792,281554,287677,293370,296291,298520,301081,300296,298018,297376,294356
 "02020" ,"Anchorage Municipality, AK",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",37612,39135,40410,41978,44279,46830,50559,55041,53416,56370,58504,59053,57374,61002,63480,61958,63532
 "02050" ,"Bethel Census Area, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",393945,428418,455892,460228,469315,471995,489501,516129,545226,586699,642089,669342,663806,716509,734570,752842,774789
 "02050" ,"Bethel Census Area, AK*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",16171,16414,16517,16603,16728,16755,16723,16762,16860,17085,17416,17656,17847,17929,17951,17980,18076
 "02050" ,"Bethel Census Area, AK*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24361,26101,27601,27720,28056,28170,29271,30792,32338,34340,36868,37910,37194,39964,40921,41871,42863
