GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "06000" ,"California",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1175177709,1193779435,1249800288,1329225078,1408965257,1517898234,1583029762,1606764505,1554229664,1627839016,1738413111,1853467228,1885672430,2021640034,2173299670,2259413865,2364129404
 "06000" ,"California",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653
 "06000" ,"California",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",34083,34233,35452,37364,39326,42139,43669,43895,42050,43609,46145,48751,49173,52237,55679,57497,59796
 "06001" ,"Alameda, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",57937010,57428282,58602235,60674155,62902099,67751723,70450120,72298889,69426673,72821639,78521460,83005645,87659801,95056828,104464523,111354955,118554685
 "06001" ,"Alameda, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1513402,1532215,1556648,1582936,1611572,1637141,1653236,1663190
 "06001" ,"Alameda, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",39427,39278,40300,41968,43635,46904,48396,48943,46330,48118,51247,53323,55378,58984,63809,67356,71282
 "06003" ,"Alpine, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",41395,42630,44357,42594,42330,42920,45802,46336,47295,49662,62358,66728,67205,73553,76225,78759,73554
 "06003" ,"Alpine, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",1196,1237,1233,1263,1219,1276,1274,1202,1197,1161,1093,1110,1127,1084,1088,1057,1120
 "06003" ,"Alpine, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",34611,34462,35975,33724,34725,33636,35951,38549,39511,42775,57052,60115,59632,67853,70060,74512,65673
 "06005" ,"Amador, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",956884,1010686,1063008,1131812,1155794,1230694,1289844,1309924,1272579,1301768,1333900,1352484,1381381,1461506,1549948,1600953,1687151
 "06005" ,"Amador, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",35697,36561,36994,37400,38040,38353,38756,38248,38238,37884,37539,37112,36635,36748,37047,37473,38626
 "06005" ,"Amador, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26806,27644,28735,30262,30384,32089,33281,34248,33280,34362,35534,36443,37707,39771,41837,42723,43679
 "06007" ,"Butte, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5167986,5315013,5576133,5950239,6170006,6553340,6859094,7034312,7047335,7307770,7574070,7784914,8133014,8492494,9152079,9498336,9925515
 "06007" ,"Butte, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",206193,209120,211481,213065,214752,216824,217469,219034,219777,219957,220003,220969,221768,223629,224818,226525,229294
