GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13000" ,"Georgia",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",248728192,255618215,264925805,279469439,296727305,316877770,331391419,333747295,327375254,335318009,359574722,367803705,373356233,398881758,422844996,439574419,460402913
 "13000" ,"Georgia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379
 "13000" ,"Georgia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29692,30044,30724,31869,33243,34609,35443,35113,34028,34524,36652,37110,37404,39556,41457,42621,44145
 "13001" ,"Appling, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",348364,341974,362847,374717,391222,393275,416250,435233,448515,463870,502315,511485,516970,534144,560584,568068,587690
 "13001" ,"Appling, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",17455,17502,17732,17740,17769,17725,17985,18133,18144,18336,18469,18402,18395,18502,18450,18485,18521
 "13001" ,"Appling, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19958,19539,20463,21123,22017,22188,23144,24002,24720,25298,27198,27795,28104,28870,30384,30731,31731
 "13003" ,"Atkinson, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",145525,146085,157259,165511,174799,173216,176761,191517,187214,182632,197893,200771,205738,205302,219237,221156,234157
 "13003" ,"Atkinson, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7641,7748,7990,7985,8096,8197,8346,8366,8386,8365,8373,8273,8285,8243,8375,8320,8342
 "13003" ,"Atkinson, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19045,18855,19682,20728,21591,21132,21179,22892,22325,21833,23635,24268,24833,24906,26178,26581,28070
 "13005" ,"Bacon, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",208725,201309,212565,220454,228922,227581,241769,259583,262633,271447,295981,299064,305251,321278,337132,355447,365721
 "13005" ,"Bacon, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",10133,10101,10253,10283,10552,10682,10968,10987,11134,11064,11162,11177,11205,11218,11287,11365,11319
 "13005" ,"Bacon, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20599,19930,20732,21439,21695,21305,22043,23626,23588,24534,26517,26757,27242,28640,29869,31276,32310
 "13007" ,"Baker, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",91252,93608,98512,94203,102366,99035,103837,106738,97766,105471,121144,130054,126427,109805,111184,113664,109238
 "13007" ,"Baker, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4005,3923,4124,4024,3967,3877,3706,3728,3560,3435,3316,3377,3351,3295,3201,3208,3200
 "13007" ,"Baker, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22785,23861,23887,23410,25804,25544,28019,28631,27462,30705,36533,38512,37728,33325,34734,35431,34137
 "13009" ,"Baldwin, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1004773,1057676,1074575,1073418,1106213,1139813,1162159,1217373,1211372,1205681,1249416,1262925,1273169,1342662,1381089,1405227,1444880
 "13009" ,"Baldwin, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",44764,45203,45433,45967,46304,46513,47336,47855,47087,45691,45147,46499,46166,45853,45518,45190,44906
 "13009" ,"Baldwin, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22446,23398,23652,23352,23890,24505,24551,25439,25726,26388,27674,27160,27578,29282,30342,31096,32176
 "13011" ,"Banks, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",356984,357138,371872,405800,422985,412756,450074,482348,467220,466503,472792,517809,531846,562201,592024,601065,647513
 "13011" ,"Banks, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",15025,15485,15836,16250,16683,17076,17550,17953,18208,18421,18267,18153,18244,18248,18382,18309,18634
 "13011" ,"Banks, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23759,23063,23483,24972,25354,24172,25645,26867,25660,25325,25882,28525,29152,30809,32207,32829,34749
 "13013" ,"Barrow, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1138580,1162983,1223122,1372580,1502414,1659315,1773241,1899952,1848405,1834120,1973161,2072371,2160937,2347464,2513133,2637477,2780078
 "13013" ,"Barrow, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",48171,50409,52253,55032,57889,61395,64760,67362,68548,69696,69894,70206,71319,72959,75067,77091,79061
 "13013" ,"Barrow, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23636,23071,23408,24941,25953,27027,27382,28205,26965,26316,28231,29518,30300,32175,33479,34213,35164
 "13015" ,"Bartow, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2141899,2262378,2386018,2387174,2505062,2673757,2843462,2884892,2815872,2795377,2997263,3125264,3169884,3362385,3576221,3738218,3925052
 "13015" ,"Bartow, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",79984,83106,85731,87834,90334,92983,95714,98415,99807,100095,100213,100365,101056,101397,102176,103431,105054
 "13015" ,"Bartow, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26779,27223,27831,27178,27731,28755,29708,29314,28213,27927,29909,31139,31368,33161,35001,36142,37362
 "13017" ,"Ben Hill, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",375878,384973,383869,402686,425270,427264,430336,418469,416150,433445,477590,466891,479527,496827,517675,498452,514083
 "13017" ,"Ben Hill, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",17315,17178,17095,17106,17243,17525,17719,17675,17581,17620,17563,17577,17426,17423,17323,17190,16996
 "13017" ,"Ben Hill, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21708,22411,22455,23541,24663,24380,24287,23676,23670,24600,27193,26563,27518,28516,29884,28997,30247
 "13019" ,"Berrien, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",361441,373626,403700,411827,433873,443574,473220,483300,482738,488346,514198,530594,502903,499850,537459,535928,564176
 "13019" ,"Berrien, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",16392,16671,17017,17399,17735,18051,18255,18863,19067,19356,19381,19166,19061,18821,18988,19014,19186
 "13019" ,"Berrien, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22050,22412,23723,23670,24464,24573,25923,25622,25318,25230,26531,27684,26384,26558,28305,28186,29406
 "13021" ,"Bibb, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4348555,4570597,4606605,4664358,4778755,4964881,5060723,5181780,5103424,5264771,5542127,5446654,5457999,5710667,5896275,5950607,6119162
 "13021" ,"Bibb, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",153548,153929,153697,154159,154003,154510,154286,154384,155154,155820,156216,156665,155071,154422,154057,153205,152862
 "13021" ,"Bibb, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28320,29693,29972,30257,31030,32133,32801,33564,32893,33788,35477,34766,35197,36981,38273,38841,40031
 "13023" ,"Bleckley, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",279770,294401,309414,315219,329883,347717,374006,374568,369737,380628,388177,393830,388646,385851,401551,405368,419589
 "13023" ,"Bleckley, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",11781,11757,11807,12018,12127,12553,13016,12985,13034,13033,13080,12888,12740,12712,12717,12898,12830
 "13023" ,"Bleckley, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23748,25040,26206,26229,27202,27700,28734,28846,28367,29205,29677,30558,30506,30353,31576,31429,32704
 "13025" ,"Brantley, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",299582,315657,321658,334679,357286,375292,382518,395411,395259,402139,411414,415987,415911,426915,456734,481806,503127
 "13025" ,"Brantley, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",15093,15556,15911,16222,16535,16895,17198,17593,18129,18461,18540,18509,18237,18337,18393,18355,18731
 "13025" ,"Brantley, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19849,20292,20216,20631,21608,22213,22242,22475,21803,21783,22191,22475,22806,23282,24832,26249,26861
 "13027" ,"Brooks, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",355663,352996,373591,372710,393965,397833,426010,457360,461946,444714,495738,477136,477833,483344,506147,518379,523275
 "13027" ,"Brooks, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",16307,16229,16051,16127,16124,16309,16333,16475,16375,16255,15994,15631,15665,15534,15668,15693,15587
 "13027" ,"Brooks, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21810,21751,23275,23111,24433,24393,26083,27761,28210,27359,30995,30525,30503,31115,32305,33032,33571
 "13029" ,"Bryan, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",655542,696337,771224,842146,923230,1035255,1139258,1226127,1227419,1274655,1392776,1435752,1472467,1578485,1688369,1784942,1885880
 "13029" ,"Bryan, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23867,24377,25069,26061,26557,27346,28302,29178,29987,30376,31271,32258,33038,33678,34798,35842,37060
 "13029" ,"Bryan, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27466,28565,30764,32314,34764,37858,40254,42022,40932,41963,44539,44508,44569,46870,48519,49800,50887
 "13031" ,"Bulloch, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1152523,1183746,1278719,1345402,1474360,1522931,1661489,1751012,1763990,1849740,1937503,1928130,1965383,2050731,2172418,2237935,2324217
 "13031" ,"Bulloch, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",56808,57361,59314,60832,63048,64304,65768,67092,68598,70571,72687,73167,71873,72734,73233,74721,76149
 "13031" ,"Bulloch, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20288,20637,21558,22117,23385,23683,25263,26099,25715,26211,26655,26352,27345,28195,29664,29951,30522
 "13033" ,"Burke, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",422658,443623,474873,487024,519912,545436,571753,599478,615544,652108,700310,671239,672456,706092,752113,760506,773171
 "13033" ,"Burke, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",22582,22626,22692,22867,22939,22875,22972,23084,23117,23327,23502,23045,22827,22628,22642,22608,22522
 "13033" ,"Burke, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18717,19607,20927,21298,22665,23844,24889,25969,26627,27955,29798,29127,29459,31204,33218,33639,34330
 "13035" ,"Butts, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",467690,485524,513474,519442,549475,572051,607556,616001,601638,600539,621195,625264,645844,672652,718359,739418,774666
 "13035" ,"Butts, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20186,20993,21540,21706,22055,22669,23184,23794,23682,23747,23575,23412,23203,23317,23489,23710,24059
 "13035" ,"Butts, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23169,23128,23838,23931,24914,25235,26206,25889,25405,25289,26350,26707,27835,28848,30583,31186,32199
 "13037" ,"Calhoun, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",117836,125859,124199,123918,126054,124731,134855,144591,144202,142991,151092,155916,142346,140434,145266,147952,158323
 "13037" ,"Calhoun, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",6271,6359,6286,6306,6256,6350,6269,6456,6670,6694,6625,6566,6599,6516,6552,6393,6455
 "13037" ,"Calhoun, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18791,19792,19758,19651,20149,19643,21511,22396,21619,21361,22806,23746,21571,21552,22171,23143,24527
 "13039" ,"Camden, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",979165,1043670,1079521,1134817,1212485,1303684,1386174,1435405,1423958,1468272,1541897,1566154,1576273,1649401,1711385,1765082,1848798
 "13039" ,"Camden, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",44469,45299,44568,46096,46673,47086,48947,49713,50024,50660,50308,51352,51413,51926,52462,52416,53044
 "13039" ,"Camden, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22019,23040,24222,24619,25978,27687,28320,28874,28465,28983,30649,30498,30659,31764,32621,33674,34854
 "13043" ,"Candler, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",201100,207784,216646,229671,237226,246213,260104,268285,271032,272693,289448,288955,283089,287151,296496,302207,314972
 "13043" ,"Candler, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9442,9772,9937,10039,10158,10388,10586,10691,10880,11022,11208,11110,10970,10885,10903,10915,10797
 "13043" ,"Candler, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21298,21263,21802,22878,23354,23702,24571,25094,24911,24741,25825,26009,25806,26380,27194,27687,29172
 "13045" ,"Carroll, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2149638,2290691,2431954,2536712,2747247,2993864,3188871,3269631,3197012,3176706,3386302,3518886,3568897,3742584,3953810,4140233,4334344
 "13045" ,"Carroll, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",91132,94087,97396,99774,102526,105853,108947,110242,110433,110667,110758,111452,112300,113596,114491,116291,117812
 "13045" ,"Carroll, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23588,24347,24970,25425,26796,28283,29270,29659,28950,28705,30574,31573,31780,32946,34534,35602,36790
 "13047" ,"Catoosa, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1285462,1343290,1409632,1455513,1536040,1630042,1710631,1778010,1745252,1795466,1889814,1951254,1963186,2056573,2141187,2197251,2273198
 "13047" ,"Catoosa, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",54638,56024,57614,58866,59745,61095,62539,63271,63874,64077,64760,64872,65224,65488,65821,66267,66550
 "13047" ,"Catoosa, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23527,23977,24467,24726,25710,26680,27353,28101,27323,28020,29182,30079,30099,31404,32530,33158,34158
 "13049" ,"Charlton, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",171385,183867,194878,207776,223738,237009,253358,265802,262998,266067,276227,277295,279468,281623,295727,299251,310785
 "13049" ,"Charlton, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",10675,10910,11282,11378,11635,12089,12056,12604,12665,12853,13462,13362,13122,13038,13190,12751,12715
 "13049" ,"Charlton, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",16055,16853,17273,18261,19230,19605,21015,21089,20766,20701,20519,20753,21298,21600,22421,23469,24442
 "13051" ,"Chatham, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6689343,6923751,7283631,7704414,8165848,8829087,9368854,9703303,9650513,10116422,10935578,10987801,11170430,11750026,12395828,12503161,12872910
 "13051" ,"Chatham, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",234150,236510,237348,240818,242242,246896,251981,255269,262122,265846,271870,276503,277963,282858,286819,289390,290501
 "13051" ,"Chatham, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28569,29275,30688,31993,33709,35760,37181,38012,36817,38054,40224,39738,40187,41540,43218,43205,44313
 "13053" ,"Chattahoochee, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",290776,309330,322048,331445,352485,366773,314112,367474,343728,343388,361922,362843,339172,328540,335147,315297,319151
 "13053" ,"Chattahoochee, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",15780,18043,15289,15515,14096,11828,11965,11624,11955,11188,11263,12276,12246,11714,11075,10100,10343
 "13053" ,"Chattahoochee, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18427,17144,21064,21363,25006,31009,26253,31613,28752,30693,32134,29557,27697,28047,30262,31218,30857
 "13055" ,"Chattooga, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",489742,511592,521131,537035,537752,570975,586923,599368,620741,627164,637997,637507,654425,676495,698324,707191,733703
 "13055" ,"Chattooga, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25675,25688,25981,25537,25506,25640,26230,26146,25894,25950,25677,25619,25044,24859,24896,24833,24770
 "13055" ,"Chattooga, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19075,19916,20058,21030,21083,22269,22376,22924,23972,24168,24847,24884,26131,27213,28050,28478,29621
 "13057" ,"Cherokee, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4696456,4798627,5042381,5965338,6548758,7244310,7596389,7841331,7621819,7822541,8369366,8906762,9132064,9855842,10709537,11548667,12147718
 "13057" ,"Cherokee, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",151189,158682,165585,173105,182128,193241,202544,208271,212232,215189,217820,220773,224487,230396,235424,241600,247573
 "13057" ,"Cherokee, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31063,30241,30452,34461,35957,37488,37505,37650,35913,36352,38423,40344,40680,42778,45490,47801,49067
 "13059" ,"Clarke, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2364243,2495465,2662496,2699066,2762390,2878869,2929117,2961102,2938375,3019087,3225647,3269048,3353983,3563737,3807900,3963823,4128474
 "13059" ,"Clarke, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",103890,104673,106287,109752,109536,112074,113995,115768,116843,117481,118433,120135,121094,120721,123875,125018,127064
 "13059" ,"Clarke, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22757,23841,25050,24592,25219,25687,25695,25578,25148,25699,27236,27211,27697,29520,30740,31706,32491
 "13061" ,"Clay, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",81963,89663,95894,89210,84201,75264,79967,83554,83305,82636,84174,82027,81671,78355,85698,86991,88064
 "13061" ,"Clay, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3360,3314,3303,3233,3216,3232,3262,3233,3201,3174,3159,3103,3012,3070,3072,3006,2962
 "13061" ,"Clay, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24394,27056,29032,27594,26182,23287,24515,25844,26025,26035,26646,26435,27115,25523,27896,28939,29731
 "13063" ,"Clayton, GA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5460228,5580076,5752083,5856617,6047539,6095371,6289890,6322652,6285498,6441380,6824142,6521165,6530963,6810947,7186778,7461902,7781551
