GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19000" ,"Iowa",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",82942427,84927398,86664455,93570218,96375827,102447932,109906431,116372274,112828976,116353051,125586183,131982219,134398203,139148645,144182516,145156779,148042652
 "19000" ,"Iowa",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050223,3063690,3074386,3089876,3105563,3118473,3130869,3145711
 "19000" ,"Iowa",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28289,28944,29458,31680,32510,34348,36645,38576,37202,38146,40992,42930,43496,44806,46235,46363,47062
 "19001" ,"Adair, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",214465,221150,217763,249163,229531,237977,253702,290842,272949,270823,308970,314347,336398,333362,336540,335900,327725
 "19001" ,"Adair, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",8132,8059,8050,8019,7932,7924,7871,7747,7676,7679,7545,7468,7387,7367,7141,7010,7054
 "19001" ,"Adair, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26373,27441,27051,31072,28937,30032,32232,37543,35559,35268,40950,42093,45539,45251,47128,47917,46459
 "19003" ,"Adams, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",115225,120021,114375,135353,124452,117716,129387,153605,148274,149860,191751,190437,224091,247283,264325,238121,219427
 "19003" ,"Adams, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4402,4370,4365,4307,4226,4224,4195,4151,4047,4023,3994,3909,3892,3878,3753,3716,3686
 "19003" ,"Adams, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26176,27465,26203,31426,29449,27868,30843,37004,36638,37251,48010,48718,57577,63766,70430,64080,59530
 "19005" ,"Allamakee, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",342343,351179,357753,383964,398320,415513,437551,459432,447393,492721,538438,549090,576389,589336,608793,595844,594957
 "19005" ,"Allamakee, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",14333,14289,14345,14324,14371,14378,14335,14325,14263,14373,14208,14136,14051,14044,13852,13869,13884
 "19005" ,"Allamakee, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23885,24577,24939,26806,27717,28899,30523,32072,31367,34281,37897,38843,41021,41964,43950,42962,42852
 "19007" ,"Appanoose, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",290493,300338,307719,329588,327266,342927,349076,373876,379609,382979,402403,412560,420075,420047,440450,445738,446666
 "19007" ,"Appanoose, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",13578,13420,13522,13462,13453,13319,13105,12950,12896,12856,12846,12706,12650,12667,12570,12497,12352
 "19007" ,"Appanoose, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21394,22380,22757,24483,24327,25747,26637,28871,29436,29790,31325,32470,33208,33161,35040,35668,36161
 "19009" ,"Audubon, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",171705,177593,175973,214661,207366,212149,227317,250849,229114,241420,292870,268829,301145,270890,253306,244285,244787
 "19009" ,"Audubon, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",6664,6572,6479,6430,6324,6265,6222,6200,6136,6098,6003,5865,5861,5769,5712,5635,5578
 "19009" ,"Audubon, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25766,27023,27161,33384,32790,33863,36534,40460,37339,39590,48787,45836,51381,46956,44346,43351,43884
 "19011" ,"Benton, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",703701,716009,715949,781678,792574,832025,919017,1006925,1012832,1051956,1115190,1153958,1192706,1218358,1239606,1244953,1274225
 "19011" ,"Benton, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",25532,25829,25946,26181,26265,26137,26066,26097,26117,26049,26079,25836,25706,25630,25611,25641,25642
 "19011" ,"Benton, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27562,27721,27594,29857,30176,31833,35257,38584,38781,40384,42762,44665,46398,47536,48401,48553,49693
 "19013" ,"Black Hawk, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3278944,3424673,3490879,3700969,3808996,4020891,4252329,4486369,4489556,4583792,4885300,5123023,5115634,5309650,5430851,5447825,5595992
 "19013" ,"Black Hawk, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",127765,126876,126491,126682,127021,127486,127756,129203,130595,131153,131470,131794,132781,133123,133435,132813,132648
 "19013" ,"Black Hawk, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25664,26992,27598,29215,29987,31540,33285,34723,34378,34950,37159,38871,38527,39885,40700,41019,42187
 "19015" ,"Boone, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",754759,789086,818395,870024,876229,947085,990299,1018853,1030810,1022199,1108369,1140959,1165401,1182963,1189989,1191636,1214385
 "19015" ,"Boone, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",26249,26086,26232,26372,26500,26471,26553,26454,26360,26270,26286,26137,26283,26282,26439,26419,26484
 "19015" ,"Boone, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28754,30249,31198,32990,33065,35778,37295,38514,39105,38911,42166,43653,44340,45010,45009,45105,45854
 "19017" ,"Bremer, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",637665,650078,648718,729811,753121,791614,850809,895973,886015,933353,1016606,1066102,1073238,1085753,1126271,1133629,1164804
 "19017" ,"Bremer, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",23506,23386,23549,23728,23833,24054,24237,24162,24183,24295,24376,24491,24573,24674,24761,24784,24911
 "19017" ,"Bremer, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27128,27798,27548,30757,31600,32910,35104,37082,36638,38417,41705,43530,43675,44004,45486,45740,46759
 "19019" ,"Buchanan, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",527278,529503,535783,586443,609418,641414,699480,734379,757509,781507,879429,885444,914124,891452,909171,897919,927137
 "19019" ,"Buchanan, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",20952,20796,20822,20910,20831,20957,21069,21154,21016,20977,20911,20998,21027,21135,21109,21034,21202
 "19019" ,"Buchanan, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25166,25462,25732,28046,29255,30606,33199,34716,36044,37255,42056,42168,43474,42179,43070,42689,43729
 "19021" ,"Buena Vista, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",524720,532065,523494,577703,572724,591473,643996,727729,692904,759675,852710,912121,938401,949780,968849,876626,879061
 "19021" ,"Buena Vista, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",20241,20233,20141,20000,19970,19909,19798,19855,20004,20331,20282,20562,20612,20551,20302,20268,20110
 "19021" ,"Buena Vista, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25924,26297,25991,28885,28679,29709,32528,36652,34638,37365,42043,44360,45527,46216,47722,43252,43713
