GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18000" ,"Indiana",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",175497603,178017790,182141948,190718511,196766870,208808463,216350903,225842603,219712564,229477331,244551172,256257565,259524966,269592986,279704919,289164319,301008164
 "18000" ,"Indiana",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490029,6515358,6535665,6567484,6593182,6610596,6634007,6666818
 "18000" ,"Indiana",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28640,28918,29394,30598,31339,32973,33913,35152,34015,35358,37535,39209,39517,40890,42312,43588,45150
 "18001" ,"Adams, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",831247,829626,862027,914610,902316,936481,954260,977827,923752,968214,1069282,1158465,1185934,1225424,1204172,1261451,1310816
 "18001" ,"Adams, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",33556,33523,33746,33822,33867,33887,33962,34214,34351,34451,34372,34403,34649,34763,34954,35232,35491
 "18001" ,"Adams, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24772,24748,25545,27042,26643,27635,28098,28580,26892,28104,31109,33673,34227,35251,34450,35804,36934
 "18003" ,"Allen, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9927189,10143881,10092239,10504478,10854813,11723481,12191032,12403648,11856230,12267880,13108706,13821952,13864936,14669904,15432682,15909528,16602299
 "18003" ,"Allen, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",334956,337124,339569,340916,343238,346314,349534,351264,353693,355891,358787,360641,363170,365084,367630,369972,372877
 "18003" ,"Allen, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29637,30089,29721,30813,31625,33852,34878,35311,33521,34471,36536,38326,38178,40182,41979,43002,44525
 "18005" ,"Bartholomew, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2155059,2194719,2273194,2387975,2441382,2648774,2737262,2891651,2739434,2884487,3125554,3398893,3379837,3584373,3707101,3780976,3921838
 "18005" ,"Bartholomew, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",72110,71890,72299,72882,73660,74508,75265,76080,76566,76809,77579,78914,79572,80350,81286,81873,82040
 "18005" ,"Bartholomew, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29886,30529,31442,32765,33144,35550,36368,38008,35779,37554,40289,43071,42475,44609,45606,46181,47804
 "18007" ,"Benton, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",261297,256527,249997,268423,260099,270370,291625,325771,295888,296955,349395,325127,392858,341406,315054,342133,331145
 "18007" ,"Benton, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",9313,9163,9148,9016,8915,8871,8805,8801,8735,8863,8858,8822,8747,8720,8692,8655,8613
 "18007" ,"Benton, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28057,27996,27328,29772,29175,30478,33120,37015,33874,33505,39444,36854,44913,39152,36246,39530,38447
 "18009" ,"Blackford, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",330903,329010,330730,346497,352431,362922,379962,398010,374209,390431,402823,408709,413396,416078,415476,430456,436906
 "18009" ,"Blackford, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",13735,13696,13642,13496,13392,13161,13078,12971,12844,12771,12653,12525,12455,12339,12224,12075,11976
 "18009" ,"Blackford, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24092,24022,24244,25674,26317,27576,29054,30685,29135,30572,31836,32631,33191,33721,33989,35649,36482
 "18011" ,"Boone, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1858976,1877047,1935754,2103114,2266777,2575778,2684032,2914719,2768445,2902435,3195767,3408789,3654878,3841646,4090882,4452166,4683864
 "18011" ,"Boone, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",47035,48071,49047,50158,51261,52750,53778,54648,55915,56909,57884,58999,60312,61602,63037,64239,65875
 "18011" ,"Boone, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",39523,39047,39467,41930,44220,48830,49909,53336,49512,51001,55210,57777,60600,62362,64897,69306,71102
 "18013" ,"Brown, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",451847,443421,448895,460470,474837,503538,525136,524695,506155,519908,553082,584988,587596,604156,627834,655494,675152
 "18013" ,"Brown, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",15200,15339,15375,15390,15283,15329,15274,15274,15261,15206,15074,15047,15053,14943,14994,15008,15035
 "18013" ,"Brown, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29727,28908,29196,29920,31070,32849,34381,34352,33167,34191,36691,38877,39035,40431,41872,43676,44905
 "18015" ,"Carroll, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",560134,545513,559454,566581,583601,586248,620233,660929,628047,664422,723083,744466,798428,786311,761939,809979,814431
 "18015" ,"Carroll, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",20298,20270,20433,20148,20274,20179,20118,20114,20103,20197,20044,20114,20119,19956,19889,19967,20039
 "18015" ,"Carroll, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27596,26912,27380,28121,28786,29052,30830,32859,31241,32897,36075,37012,39685,39402,38310,40566,40642
 "18017" ,"Cass, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1027591,1033949,1044935,1067524,1063823,1105083,1154626,1204356,1128044,1164527,1230350,1271225,1312386,1339439,1328370,1377857,1408710
 "18017" ,"Cass, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",40859,40389,40218,39921,39637,39255,39033,39070,38968,38978,38924,38769,38574,38493,38168,38013,37994
 "18017" ,"Cass, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25150,25600,25982,26741,26839,28151,29581,30826,28948,29877,31609,32790,34023,34797,34803,36247,37077
 "18019" ,"Clark, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2716758,2765961,2899550,2942279,3068779,3325466,3431470,3607085,3668680,3957638,4348370,4556906,4512483,4560112,4722535,4765674,4926998
 "18019" ,"Clark, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",97228,97935,99349,100435,101781,104148,105672,107406,109067,110568,111517,111870,112697,114066,114927,115800,116973
 "18019" ,"Clark, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27942,28243,29185,29295,30151,31930,32473,33584,33637,35794,38993,40734,40041,39978,41092,41154,42121
 "18021" ,"Clay, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",604140,609334,643215,672283,672432,707638,739160,777104,780365,805945,844478,855756,887755,893315,909417,935929,964122
 "18021" ,"Clay, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",26605,26486,26788,27015,27097,27096,26983,27058,26901,26853,26832,26785,26659,26424,26389,26203,26198
 "18021" ,"Clay, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22708,23006,24011,24886,24816,26116,27394,28720,29009,30013,31473,31949,33300,33807,34462,35718,36801
 "18023" ,"Clinton, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",810341,815137,844445,882676,889935,913310,974518,1010159,965166,990455,1059290,1091586,1113191,1127091,1118057,1152893,1183046
 "18023" ,"Clinton, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",33809,33610,33383,33342,33237,33298,33188,33352,33280,33225,33052,32909,32788,32493,32411,32267,32317
 "18023" ,"Clinton, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23968,24253,25296,26473,26775,27428,29364,30288,29001,29811,32049,33170,33951,34687,34496,35730,36608
 "18025" ,"Crawford, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",227176,233110,239090,245156,246969,253395,261341,272157,270152,280167,289660,298555,296302,313748,324357,332894,339599
 "18025" ,"Crawford, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",10922,10976,11007,11029,11012,11008,10933,10792,10664,10710,10622,10670,10620,10669,10555,10581,10566
 "18025" ,"Crawford, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20800,21238,21722,22228,22427,23019,23904,25218,25333,26159,27270,27981,27900,29407,30730,31461,32141
 "18027" ,"Daviess, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",730500,725293,772544,825919,843332,877184,922941,990977,970925,1003710,1088535,1127446,1208279,1213949,1253021,1255144,1314805
 "18027" ,"Daviess, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",29755,29860,30108,30300,30452,30469,30702,30947,31389,31718,31943,32111,32277,32678,32818,32997,33113
 "18027" ,"Daviess, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24550,24290,25659,27258,27694,28789,30061,32022,30932,31645,34077,35111,37435,37149,38181,38038,39707
 "18029" ,"Dearborn, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1526383,1593277,1647628,1652901,1620654,1684437,1736746,1803386,1741867,1773302,1851380,1949658,1974525,2033419,2130625,2168856,2253150
 "18029" ,"Dearborn, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",46726,47052,47631,48135,48421,48879,49348,49643,49931,50090,49982,49724,49736,49421,49452,49471,49741
 "18029" ,"Dearborn, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",32667,33862,34592,34339,33470,34461,35194,36327,34885,35402,37041,39210,39700,41145,43085,43841,45298
 "18031" ,"Decatur, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",677135,686645,711035,733242,747473,792691,817129,857750,816625,856434,894498,940327,981812,1008707,1004445,1054152,1091405
 "18031" ,"Decatur, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",24585,24793,24946,25208,25374,25469,25486,25600,25595,25789,25880,26020,26216,26427,26380,26641,26737
 "18031" ,"Decatur, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27543,27695,28503,29088,29458,31124,32062,33506,31906,33209,34563,36139,37451,38170,38076,39569,40820
 "18033" ,"DeKalb, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1061058,1083152,1104158,1167520,1207591,1253566,1312954,1357957,1279451,1325973,1459665,1509607,1528737,1576301,1658731,1737044,1782908
 "18033" ,"DeKalb, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",40576,40732,41047,41283,41494,41594,41876,42033,42053,42297,42450,42284,42325,42387,42452,42620,42836
 "18033" ,"DeKalb, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26150,26592,26900,28281,29103,30138,31353,32307,30425,31349,34386,35702,36119,37188,39073,40757,41622
 "18035" ,"Delaware, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3065010,3059612,3119020,3146155,3178503,3188740,3222455,3312800,3249375,3312450,3459191,3627469,3645882,3780014,3880216,3983776,4119161
 "18035" ,"Delaware, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",120281,119949,119935,118938,118170,117326,117229,117007,117490,117647,117844,116950,116764,116448,115811,115483,115184
 "18035" ,"Delaware, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25482,25508,26006,26452,26898,27178,27489,28313,27657,28156,29354,31017,31224,32461,33505,34497,35762
 "18037" ,"Dubois, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1288573,1304491,1348525,1448269,1481584,1575697,1631714,1725937,1570098,1680249,1863460,1938649,1974899,2158894,2198199,2186158,2290686
 "18037" ,"Dubois, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",40142,40244,40547,40950,41265,41589,41728,41955,41897,41905,42150,42071,42267,42287,42327,42456,42558
 "18037" ,"Dubois, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",32100,32415,33258,35367,35904,37887,39104,41138,37475,40097,44210,46080,46724,51053,51934,51492,53825
 "18039" ,"Elkhart, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4938397,5112529,5297126,5600902,5864112,6124176,6299930,6135705,5596773,5982244,6395099,6895794,7127959,7707065,8108594,8536950,9050652
 "18039" ,"Elkhart, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",184708,184543,187149,189316,192242,195047,196304,197762,197514,197452,198383,199084,200366,201673,203401,204146,205032
 "18039" ,"Elkhart, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26736,27704,28304,29585,30504,31398,32093,31026,28336,30297,32236,34638,35575,38216,39865,41818,44143
 "18041" ,"Fayette, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",660792,658986,657908,674903,669285,679948,696346,704973,684754,716906,757481,792130,805960,834875,842148,872958,906821
 "18041" ,"Fayette, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",25263,25094,24953,24844,24700,24508,24413,24384,24247,24327,24150,23950,23829,23443,23391,23257,23209
 "18041" ,"Fayette, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26157,26261,26366,27166,27097,27744,28524,28911,28241,29470,31366,33074,33823,35613,36003,37535,39072
 "18043" ,"Floyd, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2231127,2260525,2295060,2446343,2534817,2709621,2828342,2904196,2823674,2874355,3056066,3249388,3318956,3568832,3795922,4030613,4171742
 "18043" ,"Floyd, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",71441,71407,71219,71465,71905,72358,72876,73775,74284,74710,74975,75252,76007,76083,76519,76723,77071
 "18043" ,"Floyd, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31230,31657,32225,34231,35252,37447,38810,39366,38012,38473,40761,43180,43666,46907,49608,52535,54129
 "18045" ,"Fountain, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",437770,429849,442550,474039,483305,494538,520170,556166,524651,543628,582276,601291,629778,595636,580454,613216,621166
 "18045" ,"Fountain, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",17752,17825,17738,17578,17436,17459,17396,17356,17183,17278,17158,17119,16885,16694,16537,16477,16505
