GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "20000" ,"Kansas",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",78695419,79379024,81546492,83860018,88492167,97830346,105159354,114394562,110481960,112682297,122294546,129853742,132570046,135413542,137238313,138105463,141459351
 "20000" ,"Kansas",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858403,2868756,2885316,2892900,2899553,2905789,2907731,2913123
 "20000" ,"Kansas",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29123,29253,29947,30669,32234,35408,37776,40738,39002,39421,42630,45005,45826,46702,47229,47496,48559
 "20001" ,"Allen, KS",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",351274,344842,365823,373449,359413,370998,399016,438826,445522,443762,454304,455375,467247,464536,464862,458155,478895
 "20001" ,"Allen, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",14171,14110,13940,13923,13733,13639,13545,13422,13407,13357,13339,13294,13054,12882,12657,12647,12519
 "20001" ,"Allen, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24788,24440,26243,26822,26171,27201,29459,32695,33231,33223,34058,34254,35793,36061,36728,36226,38253
 "20003" ,"Anderson, KS",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",189717,186323,190805,195115,201009,217998,242438,264435,258286,247679,277267,288682,306931,308226,298356,312002,296465
 "20003" ,"Anderson, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",8195,8143,8190,8101,8087,8023,8040,8158,8101,8103,8059,7918,7854,7882,7817,7814,7833
 "20003" ,"Anderson, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23150,22881,23297,24085,24856,27172,30154,32414,31883,30566,34405,36459,39080,39105,38168,39929,37848
 "20005" ,"Atchison, KS",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",374815,376943,385502,407312,424661,455090,478427,506676,497426,497954,537962,519379,557224,560517,556701,566298,581736
 "20005" ,"Atchison, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",16868,16823,16875,16937,16865,16902,16864,16820,16965,16858,16754,16774,16688,16524,16414,16373,16332
 "20005" ,"Atchison, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22220,22406,22845,24049,25180,26925,28370,30123,29321,29538,32109,30963,33391,33921,33916,34587,35619
 "20007" ,"Barber, KS",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",126506,127618,151368,141537,150117,162481,160339,187700,167657,186528,214030,232174,237568,225357,188002,179401,182147
 "20007" ,"Barber, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",5158,5088,5049,5004,4984,5003,4927,4844,4882,4856,4926,4872,4914,4886,4828,4682,4586
 "20007" ,"Barber, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24526,25082,29980,28285,30120,32477,32543,38749,34342,38412,43449,47655,48345,46123,38940,38317,39718
 "20009" ,"Barton, KS",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",709068,724977,750721,769614,825434,918627,975217,1184490,1039867,1090727,1224149,1302737,1301205,1379293,1246602,1180099,1197308
 "20009" ,"Barton, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",27771,27684,27581,27390,27536,27460,27492,27314,27526,27674,27703,27537,27458,27329,27163,26911,26476
 "20009" ,"Barton, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25533,26188,27219,28098,29977,33453,35473,43366,37778,39413,44188,47309,47389,50470,45893,43852,45222
