GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22000" ,"Louisiana",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",114378290,117657280,121062438,126175060,135724867,143751044,156784816,167982849,163381831,170476939,176174660,186004152,188376958,197685900,200077726,199543361,204516783
 "22000" ,"Louisiana",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544871,4574388,4602681,4626795,4648797,4671211,4686157,4684333
 "22000" ,"Louisiana",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25543,26162,26778,27717,29656,33410,35832,37872,36375,37510,38513,40412,40714,42524,42832,42581,43660
 "22001" ,"Acadia, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1236869,1273711,1317884,1336607,1436538,1568032,1686218,1924079,1913596,1952820,2027680,2135690,2256480,2339601,2236769,2145146,2215747
 "22001" ,"Acadia, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",58844,59065,59194,59223,59524,60522,60762,61115,61451,61859,61826,61984,62284,62664,62696,62800,62590
 "22001" ,"Acadia, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21019,21565,22264,22569,24134,25908,27751,31483,31140,31569,32797,34456,36229,37336,35676,34158,35401
 "22003" ,"Allen, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",436578,453193,475149,502099,535010,567065,600300,664507,695750,684253,695476,715708,731966,746945,757406,782149,822597
 "22003" ,"Allen, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25399,25194,25327,25338,25076,25692,25937,25854,25863,25721,25741,25632,25676,25724,25630,25686,25621
 "22003" ,"Allen, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17189,17988,18761,19816,21336,22072,23145,25702,26901,26603,27018,27922,28508,29037,29552,30450,32106
 "22005" ,"Ascension, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1944060,2046031,2148284,2354383,2756904,3211452,3589091,4014316,4066056,4276001,4511956,4773106,4938326,5263034,5570826,5670901,5862091
 "22005" ,"Ascension, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",79210,81379,83967,86352,89741,96421,100132,102891,105172,107870,109996,112203,114572,117263,119376,121488,122948
 "22005" ,"Ascension, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24543,25142,25585,27265,30721,33307,35844,39015,38661,39640,41019,42540,43102,44882,46666,46679,47679
 "22007" ,"Assumption, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",506798,520125,531502,560852,572531,636528,690517,739811,752144,783405,839012,894530,954044,962807,952703,919716,963813
 "22007" ,"Assumption, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23194,23210,23262,23319,23199,23477,23543,23534,23508,23334,23176,23067,23191,23038,22895,22755,22526
 "22007" ,"Assumption, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21850,22410,22849,24051,24679,27113,29330,31436,31995,33574,36202,38780,41139,41792,41612,40418,42787
 "22009" ,"Avoyelles, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",805443,822230,855799,904257,959363,1021383,1105123,1188521,1248061,1286057,1372726,1452774,1440974,1432755,1422417,1441788,1500935
 "22009" ,"Avoyelles, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",41274,41233,41446,41271,41036,42080,41809,42040,42034,42110,41795,41588,41290,41121,41042,41040,40980
 "22009" ,"Avoyelles, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19515,19941,20649,21910,23379,24272,26433,28271,29692,30540,32844,34933,34899,34842,34658,35131,36626
 "22011" ,"Beauregard, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",695609,726683,780012,833141,897377,967822,1077638,1222400,1195559,1256902,1340110,1346740,1359037,1403551,1450764,1464273,1522100
 "22011" ,"Beauregard, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",33001,33000,33221,33614,34130,34510,34623,34893,35142,35834,36090,36343,36278,36261,36526,36998,36928
 "22011" ,"Beauregard, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21078,22021,23479,24786,26293,28045,31125,35033,34021,35076,37132,37056,37462,38707,39719,39577,41218
 "22013" ,"Bienville, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",300753,306310,312571,328898,341689,344507,358229,398215,410127,442927,450933,445589,453900,451739,462207,462259,485363
 "22013" ,"Bienville, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",15400,15279,15077,15017,14852,14773,14699,14494,14435,14308,14261,14194,13966,13789,13830,13806,13638
 "22013" ,"Bienville, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19529,20048,20732,21902,23006,23320,24371,27474,28412,30957,31620,31393,32500,32761,33421,33482,35589
 "22015" ,"Bossier, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2494811,2601572,2750533,2949587,3207984,3494060,3698460,4032352,4054590,4363911,4669126,4782584,4784650,5151963,5196629,5258660,5316655
 "22015" ,"Bossier, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",100986,102227,103088,105435,107477,110606,112048,113824,115187,117627,120023,123130,123965,124916,125722,126252,127634
 "22015" ,"Bossier, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24705,25449,26681,27975,29848,31590,33008,35426,35200,37100,38902,38842,38597,41243,41334,41652,41655
 "22017" ,"Caddo, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7312563,7453828,7544365,7619341,8300900,8949859,8925064,10547594,9793652,10379522,10485395,10877797,11205430,12138540,11748223,11100137,10988905
 "22017" ,"Caddo, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",249815,248753,248346,249157,249593,252740,251760,251953,253245,255657,256997,257364,255255,252789,251577,249145,246581
 "22017" ,"Caddo, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29272,29965,30378,30580,33258,35411,35451,41863,38673,40599,40800,42266,43899,48018,46698,44553,44565
 "22019" ,"Calcasieu, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4502518,4600053,4618660,4844861,5290587,5746750,6327311,6741198,6468157,6647732,6950079,7363776,7488666,8087496,8673554,8943682,9411962
 "22019" ,"Calcasieu, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",183296,183487,184701,185593,186417,185350,187081,188928,191080,193036,193813,194506,195506,196641,198542,200632,202445
 "22019" ,"Calcasieu, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24564,25070,25006,26105,28380,31005,33821,35681,33851,34438,35860,37859,38304,41128,43686,44578,46491
 "22021" ,"Caldwell, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",203212,212080,218211,226368,238046,256038,280375,312485,306248,306692,301019,300636,301734,309777,316510,319150,326964
 "22021" ,"Caldwell, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",10429,10429,10352,10382,10247,10224,10189,10224,10185,10154,10128,10046,9981,9946,10052,10071,9950
 "22021" ,"Caldwell, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19485,20336,21079,21804,23231,25043,27517,30564,30069,30204,29721,29926,30231,31146,31487,31690,32861
 "22023" ,"Cameron, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",186390,178380,187145,198608,214725,212454,256137,275391,243525,233429,239459,266569,280536,303601,292430,297641,312960
 "22023" ,"Cameron, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9875,9834,9851,9851,9846,7719,7517,7434,6930,6907,6662,6620,6703,6715,6815,6886,6912
 "22023" ,"Cameron, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18875,18139,18998,20161,21808,27524,34074,37045,35141,33796,35944,40267,41852,45212,42910,43224,45278
 "22025" ,"Catahoula, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",204709,190633,217892,218473,241763,248636,265106,249091,276717,300224,317484,330188,344965,333607,313302,321353,332358
 "22025" ,"Catahoula, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",10767,10635,10542,10448,10258,10423,10481,10567,10471,10378,10284,10246,10255,10140,10038,9910,9875
 "22025" ,"Catahoula, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19013,17925,20669,20911,23568,23855,25294,23573,26427,28929,30872,32226,33639,32900,31212,32427,33657
 "22027" ,"Claiborne, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",342066,351496,362271,389865,408095,415598,437570,484329,470084,490303,504236,537441,555685,577920,555569,527885,533240
 "22027" ,"Claiborne, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",16810,16728,16825,16855,16908,17109,17149,17169,17230,17175,16936,16872,16671,16411,16266,16164,15969
 "22027" ,"Claiborne, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20349,21012,21532,23131,24136,24291,25516,28210,27283,28547,29773,31854,33332,35215,34155,32658,33392
