GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23000" ,"Maine",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",36999715,38470958,40116605,42161695,43169921,45529112,47261815,49163504,49084869,50253606,52255645,53369870,53315835,55666566,57977802,59577149,62059956
 "23000" ,"Maine",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327568,1327968,1328101,1327975,1328903,1327787,1330232,1335907
 "23000" ,"Maine",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28778,29685,30705,32094,32735,34397,35614,36951,36917,37854,39350,40185,40148,41889,43665,44787,46455
 "23001" ,"Androscoggin, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2734944,2895797,3032318,3114809,3178102,3330745,3476906,3621974,3624099,3658554,3756958,3822381,3793494,3900699,4056671,4116134,4292403
 "23001" ,"Androscoggin, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",104260,105063,106140,106867,107352,107932,107739,108284,107830,107690,107395,107495,107271,107290,107104,107269,107651
 "23001" ,"Androscoggin, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26232,27562,28569,29147,29604,30860,32272,33449,33609,33973,34983,35559,35364,36357,37876,38372,39873
 "23003" ,"Aroostook, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1710236,1802526,1872143,1943658,2054829,2122876,2198778,2271616,2340981,2375046,2438093,2468652,2425643,2475626,2535152,2573667,2663960
 "23003" ,"Aroostook, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",72962,72942,72944,72959,72881,72827,72711,72542,72258,71697,71373,70771,70094,69513,68824,68116,67653
 "23003" ,"Aroostook, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23440,24712,25665,26640,28194,29150,30240,31314,32398,33126,34160,34882,34606,35614,36835,37784,39377
 "23005" ,"Cumberland, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9419546,9712119,10231323,10869105,11085763,11926901,12367768,12826626,12494708,12952497,13604869,14073112,14071197,14889019,15703697,16355579,17156159
 "23005" ,"Cumberland, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",268391,270533,273041,274920,276275,277084,278781,280681,281969,281435,282599,283837,285624,287477,289361,290905,292500
 "23005" ,"Cumberland, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35096,35900,37472,39536,40126,43044,44364,45698,44312,46023,48142,49582,49265,51792,54270,56223,58654
 "23007" ,"Franklin, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",692865,727267,757857,801234,811955,838004,872915,919270,933021,948017,1013166,1027645,1028759,1062242,1080743,1082629,1118992
 "23007" ,"Franklin, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",29631,30019,30026,30096,30226,30528,30596,30652,30779,30715,30731,30651,30519,30236,30072,30071,29988
 "23007" ,"Franklin, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23383,24227,25240,26623,26863,27450,28530,29991,30314,30865,32969,33527,33709,35132,35939,36002,37315
 "23009" ,"Hancock, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1652489,1689421,1730489,1842643,1846846,1942333,1978031,2051989,2079391,2166398,2237135,2272065,2270340,2417727,2543835,2595107,2684305
 "23009" ,"Hancock, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",52109,52327,53030,53613,53745,54009,54300,54371,54499,54358,54523,54510,54622,54519,54304,54398,54497
 "23009" ,"Hancock, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31712,32286,32632,34369,34363,35963,36428,37741,38155,39854,41031,41682,41565,44347,46844,47706,49256
 "23011" ,"Kennebec, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3305249,3470709,3602299,3729734,3833453,4066877,4283459,4476023,4490180,4562073,4681114,4707326,4733796,4858659,4980418,5089113,5273876
 "23011" ,"Kennebec, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",118024,118611,119538,120303,120957,121508,121741,122147,122084,122072,121765,121607,121171,121144,120983,121328,121821
 "23011" ,"Kennebec, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28005,29261,30135,31003,31693,33470,35185,36645,36779,37372,38444,38709,39067,40106,41166,41945,43292
 "23013" ,"Knox, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1286914,1361158,1411691,1447402,1455641,1505280,1501665,1526954,1482015,1512552,1593569,1668687,1615725,1697219,1807307,1870095,1949917
 "23013" ,"Knox, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",39884,40258,40393,40514,40571,40417,40297,40225,39924,39730,39664,39621,39633,39746,39675,39655,39790
 "23013" ,"Knox, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",32266,33811,34949,35726,35879,37244,37265,37960,37121,38071,40177,42116,40767,42702,45553,47159,49005
 "23015" ,"Lincoln, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1027370,1061502,1099054,1183211,1180884,1246106,1300380,1350229,1324253,1361900,1414809,1455278,1445433,1503870,1563371,1602610,1662948
 "23015" ,"Lincoln, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",33968,34206,34495,34827,34864,34904,34899,34768,34627,34395,34274,34169,34102,34038,33770,33993,34204
 "23015" ,"Lincoln, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30245,31033,31861,33974,33871,35701,37261,38835,38243,39596,41279,42591,42386,44182,46295,47145,48619
 "23017" ,"Oxford, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1294185,1361145,1434323,1475083,1522592,1584157,1671598,1767157,1748134,1796000,1844228,1853671,1835032,1899340,1958357,2001204,2081526
 "23017" ,"Oxford, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",55157,55843,56206,56763,57235,57556,57966,58138,57923,57779,57755,57471,57326,57223,57068,57096,57439
 "23017" ,"Oxford, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23464,24374,25519,25987,26602,27524,28838,30396,30180,31084,31932,32254,32010,33192,34316,35050,36239
 "23019" ,"Penobscot, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3754533,3938706,4049050,4205160,4370689,4549950,4726866,4969125,5101812,5128607,5313807,5379496,5389140,5583460,5759313,5853366,6060742
 "23019" ,"Penobscot, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",146110,147298,148759,148814,149726,151446,152232,153372,153770,153841,153713,153372,153075,152941,151934,151515,151957
 "23019" ,"Penobscot, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25697,26740,27219,28258,29191,30043,31050,32399,33178,33337,34570,35075,35206,36507,37907,38632,39885
 "23021" ,"Piscataquis, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",393289,404652,419695,437299,453945,463624,481397,511022,533341,543011,564737,571329,565586,578310,593205,589653,607593
 "23021" ,"Piscataquis, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",17203,17269,17433,17493,17614,17597,17660,17534,17433,17550,17360,17263,17176,17040,16935,16876,16773
 "23021" ,"Piscataquis, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22862,23432,24075,24999,25772,26347,27259,29145,30594,30941,32531,33096,32929,33938,35028,34940,36224
 "23023" ,"Sagadahoc, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1017499,1052791,1106296,1176899,1193362,1259066,1323570,1370691,1357664,1389098,1440666,1480962,1487930,1565238,1622870,1677179,1758255
 "23023" ,"Sagadahoc, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",35323,35545,35966,36100,35813,35895,35890,35860,35567,35235,35123,35122,35029,35079,35113,35133,35392
 "23023" ,"Sagadahoc, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28806,29619,30759,32601,33322,35076,36879,38223,38172,39424,41018,42166,42477,44620,46218,47738,49679
 "23025" ,"Somerset, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1185017,1219585,1284670,1342523,1391725,1440926,1485649,1600685,1652757,1682025,1719516,1698542,1681893,1756042,1807947,1817605,1844080
 "23025" ,"Somerset, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",50871,51017,51336,51328,51600,52195,52459,52316,52104,52219,51925,51810,51701,51236,50745,50663,50626
 "23025" ,"Somerset, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23295,23905,25025,26156,26971,27607,28320,30596,31720,32211,33115,32784,32531,34274,35628,35876,36426
 "23027" ,"Waldo, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",921951,951717,991497,1050871,1069484,1120040,1163366,1221522,1235986,1264219,1321665,1347276,1343098,1409558,1448672,1478627,1540750
 "23027" ,"Waldo, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",37039,37584,37952,38209,38410,38763,38751,38680,38706,38816,38846,38938,39010,39000,39134,39425,39832
 "23027" ,"Waldo, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24891,25322,26125,27503,27844,28895,30022,31580,31933,32570,34023,34601,34430,36143,37018,37505,38681
 "23029" ,"Washington, ME",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",807936,825142,860477,883864,905859,925304,945338,981455,1005332,1048182,1089686,1112552,1107037,1142768,1208777,1209775,1225791
 "23029" ,"Washington, ME",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",33499,33345,33403,33474,33319,33323,33424,33289,32925,32827,32715,32551,32276,31928,31747,31566,31593
 "23029" ,"Washington, ME",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24118,24746,25760,26404,27187,27768,28283,29483,30534,31930,33308,34179,34299,35792,38075,38325,38799
