GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "28000" ,"Mississippi",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",65233626,66372361,68980332,72896083,77774127,81068836,86109772,90038295,88579695,91929304,95844450,99410409,101137034,103504662,104892946,106914943,109324138
 "28000" ,"Mississippi",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970437,2977452,2982963,2987721,2988578,2985297,2985415,2984100
 "28000" ,"Mississippi",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22865,23218,24049,25232,26764,27907,29406,30544,29938,30948,32190,33326,33851,34633,35137,35812,36636
 "28001" ,"Adams, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",752485,780216,755573,764622,814533,892210,908883,977024,909985,943035,998787,1034276,1056188,1082938,1035488,1020741,1026156
 "28001" ,"Adams, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",33945,33730,33482,32785,32674,33220,32889,32629,32305,32566,32413,32175,32111,31962,31400,31440,31003
 "28001" ,"Adams, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22168,23131,22567,23322,24929,26858,27635,29943,28169,28958,30814,32145,32892,33882,32977,32466,33099
 "28003" ,"Alcorn, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",730083,735058,749416,800275,831827,864466,899631,955897,968565,1018687,1077178,1125595,1152591,1179996,1217167,1245268,1289112
 "28003" ,"Alcorn, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",34746,34946,35045,35448,35688,36183,36608,36793,36868,37103,37269,37201,37274,37235,37250,37240,37210
 "28003" ,"Alcorn, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21012,21034,21384,22576,23308,23891,24575,25980,26271,27456,28903,30257,30922,31691,32676,33439,34644
 "28005" ,"Amite, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",258072,257122,262412,279724,294803,304940,318004,339467,329924,335485,342914,349521,364513,378349,378469,380126,392609
 "28005" ,"Amite, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13471,13401,13415,13337,13396,13586,13400,13324,13171,13130,13133,12931,12850,12598,12546,12430,12447
 "28005" ,"Amite, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19158,19187,19561,20974,22007,22445,23732,25478,25049,25551,26111,27030,28367,30032,30167,30581,31542
 "28007" ,"Attala, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",372962,439718,421863,418383,431622,465568,492557,530229,535380,549533,589074,582818,593733,583560,588319,599039,609777
 "28007" ,"Attala, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",19595,19549,19469,19330,19265,19431,19511,19622,19611,19488,19389,19149,19117,18824,18671,18566,18477
 "28007" ,"Attala, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19034,22493,21668,21644,22404,23960,25245,27022,27300,28199,30382,30436,31058,31001,31510,32265,33002
 "28009" ,"Benton, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",140601,142862,152990,161605,167783,176789,182450,196281,192749,196832,209183,216776,218938,222369,228766,234386,241235
 "28009" ,"Benton, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8006,8004,8073,8146,8307,8479,8603,8769,8689,8695,8715,8644,8495,8298,8161,8265,8312
 "28009" ,"Benton, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17562,17849,18951,19839,20198,20850,21208,22384,22183,22637,24003,25078,25773,26798,28032,28359,29022
 "28011" ,"Bolivar, MS",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",822378,768842,820826,859383,870408,912847,981801,972325,979302,1015289,1067272,1107447,1139145,1101885,1116583,1161244,1154211
