GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30000" ,"Montana",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",21862017,22490762,24082138,25995029,27955582,30322712,32669862,34418881,33729814,35558220,38051895,40442780,40666033,42725822,44864716,45747225,47677145
 "30000" ,"Montana",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",906961,911667,919630,930009,940102,952692,964706,976415,983982,990507,996866,1003522,1011921,1019931,1028317,1038656,1050493
 "30000" ,"Montana",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24105,24670,26187,27951,29737,31828,33865,35250,34279,35899,38172,40301,40187,41891,43629,44045,45385
 "30001" ,"Beaverhead, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",207779,207175,218121,229777,240388,241224,266671,281977,280943,288798,313485,340819,354991,383122,414579,419544,418689
 "30001" ,"Beaverhead, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",9058,9018,8924,8908,8904,9012,9028,9166,9200,9253,9205,9356,9301,9333,9288,9444,9434
 "30001" ,"Beaverhead, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22939,22973,24442,25794,26998,26767,29538,30763,30537,31211,34056,36428,38167,41050,44636,44424,44381
 "30003" ,"Big Horn, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",220189,217364,246402,260490,278108,266481,288929,306721,305551,319480,341638,343289,336256,342219,357262,371032,383404
 "30003" ,"Big Horn, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",12783,12713,12652,12731,12634,12540,12549,12564,12747,12912,13054,12996,13116,13327,13277,13371,13360
 "30003" ,"Big Horn, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17225,17098,19475,20461,22013,21250,23024,24413,23970,24743,26171,26415,25637,25679,26908,27749,28698
 "30005" ,"Blaine, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",116376,108669,119970,134883,142416,133181,151226,158824,165482,174046,186863,186793,199382,193970,197884,194268,193257
 "30005" ,"Blaine, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",6748,6769,6699,6571,6592,6536,6472,6401,6445,6503,6573,6656,6596,6650,6618,6657,6708
 "30005" ,"Blaine, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17246,16054,17909,20527,21604,20377,23366,24812,25676,26764,28429,28064,30228,29168,29901,29183,28810
 "30007" ,"Broadwater, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",88808,91055,98097,110313,115956,122620,142295,174175,171999,173591,190949,186820,202201,201007,208536,220540,229826
 "30007" ,"Broadwater, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",4438,4478,4562,4711,4775,4958,5089,5261,5496,5637,5729,5763,5681,5657,5715,5788,5936
 "30007" ,"Broadwater, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20011,20334,21503,23416,24284,24732,27961,33107,31295,30795,33330,32417,35593,35532,36489,38103,38717
 "30009" ,"Carbon, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",244660,245639,262062,299464,315520,324213,335986,345695,330747,355311,391582,414849,418316,442026,457875,467969,486068
 "30009" ,"Carbon, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",9665,9714,9747,9796,9921,9916,9973,9965,10033,10062,10090,10135,10324,10423,10389,10498,10696
 "30009" ,"Carbon, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25314,25287,26886,30570,31803,32696,33690,34691,32966,35312,38809,40932,40519,42409,44073,44577,45444
 "30011" ,"Carter, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",31085,24199,28969,30761,34846,27678,36311,38725,33036,34698,40055,55457,58943,65283,69871,60156,54830
 "30011" ,"Carter, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",1337,1319,1290,1284,1258,1227,1216,1172,1180,1160,1136,1157,1153,1151,1147,1177,1222
 "30011" ,"Carter, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23250,18346,22457,23957,27700,22557,29861,33042,27997,29912,35260,47932,51121,56719,60916,51110,44869
 "30013" ,"Cascade, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2069433,2152842,2236762,2364363,2460353,2666746,2793119,2917524,2949357,3125087,3229267,3296474,3272559,3431157,3538787,3604156,3752776
 "30013" ,"Cascade, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",80055,79848,79633,80198,80041,79984,80099,80529,80680,81491,81674,81596,82119,81991,81829,81488,81654
 "30013" ,"Cascade, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25850,26962,28088,29482,30739,33341,34871,36229,36556,38349,39538,40400,39851,41848,43246,44229,45959
 "30015" ,"Chouteau, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",113370,121776,138336,141736,142691,138737,161870,189469,157908,176770,205054,210981,204200,176243,189013,184543,190626
 "30015" ,"Chouteau, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",5899,5811,5775,5729,5708,5709,5746,5774,5793,5808,5808,5930,5843,5889,5767,5794,5765
 "30015" ,"Chouteau, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19219,20956,23954,24740,24998,24301,28171,32814,27258,30436,35305,35579,34948,29927,32775,31851,33066
 "30017" ,"Custer, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",274290,273631,299863,307705,317313,337351,365958,380548,368756,412510,426716,455806,477583,498233,519188,497358,511970
 "30017" ,"Custer, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",11484,11510,11438,11510,11423,11395,11480,11515,11646,11692,11755,11795,11864,12002,12069,11821,11721
 "30017" ,"Custer, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23885,23773,26216,26734,27778,29605,31878,33048,31664,35281,36301,38644,40255,41512,43018,42074,43680
