GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "37000" ,"North Carolina",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",228431654,231805733,241164507,261528394,281072758,305336603,328910081,350372649,337787031,340764297,354294372,379031187,375057001,397410713,419888909,433766368,454306904
 "37000" ,"North Carolina",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574247,9662940,9755299,9849812,9941160,10041769,10156689,10273419
 "37000" ,"North Carolina",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27823,27841,28633,30577,32287,34241,36072,37636,35746,35592,36665,38854,38078,39976,41814,42707,44222
 "37001" ,"Alamance, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3588562,3650103,3766080,3848228,4004478,4346676,4653404,4849735,4720490,4834308,5042233,5246696,5259359,5524438,5784891,5994562,6307062
 "37001" ,"Alamance, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",133346,135239,136009,137619,139311,141462,144712,147704,149954,151490,152857,153471,154417,155698,157389,159325,162391
 "37001" ,"Alamance, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26912,26990,27690,27963,28745,30727,32156,32834,31480,31912,32987,34187,34059,35482,36755,37625,38839
 "37003" ,"Alexander, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",844363,829232,840175,910068,945795,985710,1025408,1013304,1000983,1026376,1044798,1090200,1123223,1200423,1263291,1266176,1336291
 "37003" ,"Alexander, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",34187,34665,34998,35343,35786,36243,36609,36840,37053,37241,37039,36940,37091,37092,37058,37270,37286
 "37003" ,"Alexander, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24698,23921,24006,25750,26429,27197,28010,27506,27015,27560,28208,29513,30283,32363,34090,33973,35839
 "37005" ,"Alleghany, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",266595,265624,265952,277305,287977,286227,299802,311045,315993,319587,329518,338334,345334,369905,393460,397566,417372
 "37005" ,"Alleghany, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",10740,10740,10776,10790,10788,10940,11061,11131,11125,11141,11025,10956,10920,10911,10869,10945,11031
 "37005" ,"Alleghany, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24823,24732,24680,25700,26694,26163,27104,27944,28404,28686,29888,30881,31624,33902,36200,36324,37836
 "37007" ,"Anson, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",583770,554720,560289,609495,633856,668785,709296,712410,691796,717325,719850,745084,744210,794734,818298,798805,834169
 "37007" ,"Anson, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25553,25723,25749,26386,26585,26599,26664,26837,26917,26851,26517,26322,25975,25978,25594,25119,24991
 "37007" ,"Anson, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22845,21565,21760,23099,23843,25143,26601,26546,25701,26715,27147,28307,28651,30593,31972,31801,33379
 "37009" ,"Ashe, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",586680,586635,594110,625653,642824,683430,725112,759299,777215,786285,796414,838282,834640,861832,893950,920053,962567
 "37009" ,"Ashe, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",24750,25029,25288,25684,25838,26134,26506,26858,27144,27231,27008,26957,26889,26838,26727,26754,26957
 "37009" ,"Ashe, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23704,23438,23494,24360,24879,26151,27357,28271,28633,28875,29488,31097,31040,32112,33447,34389,35707
 "37011" ,"Avery, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",401828,400514,405437,416181,434108,433647,469552,468692,482420,482473,497886,518130,513828,549541,571947,588346,611744
 "37011" ,"Avery, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",17706,17867,17896,17971,17945,18104,17949,18024,17925,17761,17728,17575,17604,17597,17440,17500,17536
 "37011" ,"Avery, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22694,22416,22655,23158,24191,23953,26160,26004,26913,27165,28085,29481,29188,31229,32795,33620,34885
 "37013" ,"Beaufort, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1081317,1092892,1161760,1216471,1300743,1385435,1485811,1546520,1541567,1589291,1633200,1736427,1750545,1778951,1830103,1858493,1927100
 "37013" ,"Beaufort, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",45084,45216,45418,45618,46059,46622,46702,47297,47485,47799,47663,47436,47391,47350,47389,47361,47088
 "37013" ,"Beaufort, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23984,24170,25579,26666,28241,29716,31815,32698,32464,33249,34266,36606,36938,37570,38619,39241,40926
 "37015" ,"Bertie, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",436514,427981,441717,464853,492387,507052,549631,572876,592605,591385,579017,619343,616740,629103,639187,630665,657691
 "37015" ,"Bertie, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",19829,19841,19897,20018,20057,19936,20927,21121,21216,21250,20860,20502,20350,20353,20188,19449,19224
 "37015" ,"Bertie, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22014,21571,22200,23222,24549,25434,26264,27124,27932,27830,27757,30209,30307,30910,31662,32427,34212
 "37017" ,"Bladen, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",751160,715851,756514,812101,837480,842010,890114,957039,976923,1024327,1027040,1046411,1062272,1078063,1092232,1099130,1152941
 "37017" ,"Bladen, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",32714,32782,33129,33684,33934,34114,34285,34665,34852,35194,34920,34866,34704,34462,34211,33796,33478
 "37017" ,"Bladen, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22961,21837,22835,24109,24680,24682,25962,27608,28031,29105,29411,30012,30609,31283,31926,32522,34439
 "37019" ,"Brunswick, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1850677,1873600,2030507,2373369,2689566,2991335,3235619,3402891,3375074,3442666,3609483,3803731,3980110,4324934,4695060,5070283,5378884
