GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "31000" ,"Nebraska",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",52059513,52986800,56258157,58622012,60704758,63574961,68559242,72396883,71199670,74787258,83473721,86117825,86682705,91844560,95454467,94730785,97556547
 "31000" ,"Nebraska",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829956,1841641,1854862,1867414,1880920,1893564,1907603,1920076
 "31000" ,"Nebraska",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30270,30658,32358,33510,34462,35863,38442,40302,39279,40868,45326,46428,46419,48830,50410,49660,50809
 "31001" ,"Adams, NE",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",852950,862950,911943,909383,964442,993665,1093345,1134328,1126083,1151348,1280481,1357166,1350430,1418611,1479964,1443591,1493859
 "31001" ,"Adams, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",31021,30716,30693,30740,30987,30910,30892,31160,31280,31324,31206,31369,31547,31387,31549,31657,31678
 "31001" ,"Adams, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27496,28094,29712,29583,31124,32147,35392,36403,36000,36756,41033,43265,42807,45197,46910,45601,47158
 "31003" ,"Antelope, NE",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",185687,179256,216486,217944,218575,196844,234822,241867,244456,270291,357066,339863,346145,345683,336024,319067,335166
 "31003" ,"Antelope, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",7242,7229,7172,7063,6994,6836,6767,6704,6739,6679,6620,6550,6471,6422,6419,6356,6362
 "31003" ,"Antelope, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25640,24797,30185,30857,31252,28795,34701,36078,36275,40469,53937,51887,53492,53828,52348,50199,52682
 "31005" ,"Arthur, NE",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8634,9643,11964,11950,11936,12501,12442,12215,11505,13141,17548,12249,14128,20991,25731,19386,19764
 "31005" ,"Arthur, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",423,421,439,433,428,450,457,453,442,465,468,479,454,452,452,470,457
 "31005" ,"Arthur, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20411,22905,27253,27598,27888,27780,27225,26965,26029,28260,37496,25572,31119,46440,56927,41247,43247
 "31007" ,"Banner, NE",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19623,17915,27954,24582,29566,21786,23781,26372,23166,30847,47796,38327,42548,56064,49209,50190,41557
 "31007" ,"Banner, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",808,769,763,749,731,733,715,677,686,692,656,685,679,669,715,724,742
