GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "33000" ,"New Hampshire",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",46376182,47155617,48122293,51035366,52919603,56713350,58904397,60395578,59597335,62306285,65443284,68557565,68116942,70506468,73430001,76247448,80122027
 "33000" ,"New Hampshire",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316700,1318345,1320923,1322622,1328684,1330134,1335015,1342795
 "33000" ,"New Hampshire",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",36938,37157,37600,39559,40755,43346,44878,45897,45283,47320,49640,51901,51501,53065,55205,57114,59668
 "33001" ,"Belknap, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1982546,2023557,2076955,2207866,2271276,2404069,2524840,2617436,2579990,2664096,2833472,3003805,3027242,3151032,3321434,3429665,3588289
 "33001" ,"Belknap, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",57597,58609,59497,60170,60287,60105,60109,60239,60171,60094,60265,60327,60106,60172,60248,60606,60785
 "33001" ,"Belknap, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",34421,34526,34909,36694,37674,39998,42004,43451,42878,44332,47017,49792,50365,52367,55129,56590,59032
 "33003" ,"Carroll, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1588386,1647672,1645945,1744174,1789151,1872506,1922205,2000876,1981124,2049957,2170191,2291051,2310896,2387368,2489331,2593769,2698567
 "33003" ,"Carroll, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",44200,45074,45697,46496,46652,47421,47829,48013,47763,47833,47668,47657,47470,47369,47320,47399,48064
 "33003" ,"Carroll, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35936,36555,36019,37512,38351,39487,40189,41674,41478,42857,45527,48074,48681,50399,52606,54722,56145
 "33005" ,"Cheshire, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2217616,2298672,2352165,2488460,2612534,2880418,2938640,3088389,3052165,3144646,3286114,3400279,3401444,3492345,3667676,3722299,3885561
 "33005" ,"Cheshire, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",74372,75047,76135,76709,77061,77658,77745,77472,77302,77050,76874,76802,76590,76263,76036,75697,75960
 "33005" ,"Cheshire, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29818,30630,30895,32440,33902,37091,37798,39865,39484,40813,42747,44273,44411,45793,48236,49174,51153
 "33007" ,"Coos, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",897088,914712,965084,1012206,1023270,1036622,1072448,1116864,1126181,1134799,1156295,1168726,1179751,1207772,1251280,1283809,1324403
 "33007" ,"Coos, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",33113,33234,33462,33589,33845,33814,33751,33488,33224,32974,32501,31973,31946,32770,32322,31923,31634
 "33007" ,"Coos, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27092,27523,28841,30135,30234,30657,31775,33351,33897,34415,35577,36554,36930,36856,38713,40216,41866
 "33009" ,"Grafton, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2929061,2996748,3122484,3308449,3466449,3690281,3796411,3883128,3854290,4098223,4224343,4454726,4462600,4735814,4977327,5140210,5305564
 "33009" ,"Grafton, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",82233,83152,84211,85312,86287,87236,87764,88745,88926,89107,89066,89251,89447,89425,88831,89311,89386
 "33009" ,"Grafton, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35619,36039,37079,38781,40173,42302,43257,43756,43343,45992,47429,49912,49891,52959,56031,57554,59356
 "33011" ,"Hillsborough, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",14846851,14919866,15347687,16370678,16767811,17928326,18836632,19381634,18878448,19345988,20494600,21521516,21244073,21793706,22550386,23398126,24608221
 "33011" ,"Hillsborough, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",387414,389665,391461,394428,396381,398169,398843,399556,400148,401038,401829,402715,403371,405062,406009,407718,409697
 "33011" ,"Hillsborough, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",38323,38289,39206,41505,42302,45027,47228,48508,47179,48240,51003,53441,52666,53803,55542,57388,60064
 "33013" ,"Merrimack, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5724525,5879134,5705483,5933511,6197133,6981927,7000783,7072286,7311809,7947781,7946795,8092387,7731422,7705938,7741040,8080825,8497495
