GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "36000" ,"New York",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",709931446,707720011,718701935,753191245,787298364,847001865,911071359,927177224,914586318,954364506,1009303325,1065474040,1081132827,1125896581,1172712896,1208345688,1281082420
 "36000" ,"New York",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19405185,19526372,19625409,19712514,19773580,19819347,19836286,19849399
 "36000" ,"New York",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",37203,36980,37479,39287,41150,44335,47619,48259,47371,49181,51689,54291,54845,56939,59170,60916,64540
 "36001" ,"Albany, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10569749,10511486,10949760,11318871,11617274,12118311,12556545,13251638,13510263,14198909,14790454,15424467,15688319,16708650,17143924,17349277,17972372
 "36001" ,"Albany, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",296232,298283,301085,302173,302791,303997,303858,303739,304733,304107,304836,306206,307414,308195,308598,309080,309612
 "36001" ,"Albany, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35681,35240,36368,37458,38367,39863,41324,43628,44335,46691,48519,50373,51033,54215,55554,56132,58048
 "36003" ,"Allegany, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1011430,1032244,1067336,1126088,1154710,1186615,1229156,1353381,1343051,1383463,1414613,1450862,1441751,1505925,1534075,1532695,1591664
 "36003" ,"Allegany, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",50079,50014,50165,50311,49768,49359,49079,49177,48969,48968,48803,48226,47932,47694,47372,47110,46894
 "36003" ,"Allegany, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20197,20639,21277,22383,23202,24040,25044,27521,27427,28252,28986,30085,30079,31575,32384,32534,33942
 "36005" ,"Bronx, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29174284,29910472,30994636,32796710,33234952,35476689,38294597,38548675,39689085,41519082,42727957,43172287,43913268,45624055,47869520,48931050,52320600
 "36005" ,"Bronx, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",1346555,1358739,1362373,1358963,1351736,1348164,1354056,1363488,1376261,1388122,1400899,1417864,1432881,1445800,1460412,1468976,1471160
 "36005" ,"Bronx, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21666,22013,22750,24134,24587,26315,28281,28272,28838,29910,30500,30449,30647,31556,32778,33310,35564
 "36007" ,"Broome, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5341008,5449628,5473271,5683870,5745022,6087656,6473525,6837714,6958126,7145340,7324744,7536240,7519867,7576994,7833881,7917000,8292672
 "36007" ,"Broome, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",200868,201438,201037,200974,200477,200905,200877,201029,200935,200509,199449,198783,198212,197649,196292,194830,193639
 "36007" ,"Broome, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26590,27054,27225,28282,28657,30301,32226,34014,34629,35636,36725,37912,37939,38336,39909,40635,42825
 "36009" ,"Cattaraugus, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1924639,1988743,2080892,2189065,2205849,2282586,2370945,2508064,2563100,2669083,2662704,2731878,2731071,2802175,2872627,2867482,2989066
 "36009" ,"Cattaraugus, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",83346,83301,83335,82864,82039,81342,81056,80761,80491,80232,79829,79375,79033,78726,78006,77761,77348
 "36009" ,"Cattaraugus, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23092,23874,24970,26418,26888,28062,29251,31055,31843,33267,33355,34417,34556,35594,36826,36876,38644
 "36011" ,"Cayuga, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1969373,2026618,2129913,2190687,2199774,2250955,2418217,2509833,2505308,2610232,2759395,2876275,2909926,2979957,3004418,3033120,3165964
 "36011" ,"Cayuga, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",81313,81401,81395,81284,81104,80892,80629,80482,80172,79889,79689,79516,79115,78800,78319,77757,77603
