GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "39000" ,"Ohio",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",334714304,339907454,349796068,363250160,374067981,393111152,409695749,422895323,410863852,423062081,451900573,469903864,476450081,496513465,515904883,525056499,544828473
 "39000" ,"Ohio",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539282,11543332,11546969,11567845,11593741,11606027,11622554,11658609
 "39000" ,"Ohio",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29393,29796,30591,31719,32632,34240,35624,36724,35638,36663,39148,40695,41187,42826,44451,45176,46732
 "39001" ,"Adams, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",597383,586302,606937,641938,639673,657691,696872,711124,723397,740469,800654,795992,809496,850045,882751,895917,922835
 "39001" ,"Adams, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",27522,27817,28111,28328,28522,28615,28538,28686,28500,28547,28466,28300,28096,28063,27914,27832,27726
 "39001" ,"Adams, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21706,21077,21591,22661,22427,22984,24419,24790,25382,25939,28127,28127,28812,30291,31624,32190,33284
 "39003" ,"Allen, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2737251,2795584,2876216,2942437,3013752,3164347,3318085,3400437,3402639,3491317,3635704,3748688,3733234,3857927,3990098,4057889,4223346
 "39003" ,"Allen, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",108523,108518,107418,106826,106861,106716,106717,106773,106518,106366,105975,105233,105025,104843,104093,103626,103198
 "39003" ,"Allen, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25223,25761,26776,27544,28203,29652,31092,31847,31944,32824,34307,35623,35546,36797,38332,39159,40925
 "39005" ,"Ashland, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1254853,1275183,1315866,1359421,1405086,1439191,1519961,1573359,1526522,1567937,1670005,1695744,1758588,1829589,1885793,1895609,1976587
 "39005" ,"Ashland, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",52560,52595,52867,52852,53048,53231,53544,53499,53305,53324,53247,53233,53118,53107,53224,53417,53628
 "39005" ,"Ashland, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23875,24245,24890,25721,26487,27037,28387,29409,28638,29404,31363,31855,33107,34451,35431,35487,36857
 "39007" ,"Ashtabula, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2409793,2464152,2546152,2625738,2687208,2763354,2871251,2992599,2923075,3007723,3186544,3212994,3240849,3375749,3468112,3496248,3616326
 "39007" ,"Ashtabula, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",102450,102577,102667,102648,102638,102340,102156,101826,101584,101397,101060,100227,99716,99021,98396,98169,97807
 "39007" ,"Ashtabula, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23522,24022,24800,25580,26181,27002,28107,29389,28775,29663,31531,32057,32501,34091,35246,35615,36974
 "39009" ,"Athens, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1257033,1309368,1353712,1367337,1403799,1448745,1530601,1613276,1686979,1785168,1867498,1881617,1877335,1969863,2048036,2088521,2171713
 "39009" ,"Athens, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",62997,63401,63827,63230,64075,64237,64102,64546,64618,65178,65080,64590,64456,64649,65793,66320,66597
 "39009" ,"Athens, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19954,20652,21209,21625,21909,22553,23878,24994,26107,27389,28695,29132,29126,30470,31128,31492,32610
 "39011" ,"Auglaize, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1303599,1300492,1357935,1412188,1429036,1473723,1560333,1622242,1556610,1628576,1767852,1849982,1853381,1946868,1967673,2016572,2102659
 "39011" ,"Auglaize, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",46137,45943,45872,45932,46166,46034,45977,46167,45996,45931,45767,45793,45814,45753,45749,45797,45778
 "39011" ,"Auglaize, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28255,28307,29603,30745,30954,32014,33937,35139,33842,35457,38627,40399,40454,42552,43010,44033,45932
 "39013" ,"Belmont, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1647810,1702482,1752244,1767026,1812072,1889559,1981918,2110010,2099009,2149815,2264173,2333421,2384961,2509416,2562173,2516300,2697089
 "39013" ,"Belmont, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",69901,70293,70219,70241,70203,70469,70430,70356,70439,70340,70117,69700,69555,69348,68943,68568,68029
 "39013" ,"Belmont, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23573,24220,24954,25157,25812,26814,28140,29990,29799,30563,32291,33478,34289,36186,37164,36698,39646
 "39015" ,"Brown, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",975572,993063,1035662,1092439,1130679,1165788,1229469,1259248,1255169,1280893,1349750,1351458,1365115,1401293,1445717,1491497,1540886
 "39015" ,"Brown, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",42839,43368,43794,43995,44161,44334,44490,44668,44740,44880,44639,44294,44126,43944,43703,43644,43576
 "39015" ,"Brown, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22773,22899,23648,24831,25604,26296,27635,28191,28055,28540,30237,30511,30937,31888,33080,34174,35361
 "39017" ,"Butler, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10149705,10377272,10830002,11208901,11658883,12193045,12731253,13037721,12811044,13092477,13725938,14187238,14446580,15220917,15919814,16411074,17089200
 "39017" ,"Butler, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",336679,339514,343022,346655,350732,356691,361192,364179,366633,369088,370049,370432,371017,373388,375569,377933,380604
 "39017" ,"Butler, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30147,30565,31572,32334,33242,34184,35248,35800,34942,35473,37092,38299,38938,40764,42389,43423,44900
 "39019" ,"Carroll, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",652651,671440,701466,740377,747932,780014,812180,833911,807610,852080,908051,928610,956752,990296,993288,984592,1012130
 "39019" ,"Carroll, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",28961,29172,29325,29297,29118,29163,29062,28999,28917,28848,28821,28540,28256,28131,27716,27637,27385
 "39019" ,"Carroll, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22536,23017,23920,25271,25686,26747,27946,28757,27929,29537,31507,32537,33860,35203,35838,35626,36959
 "39021" ,"Champaign, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1023302,1011326,1046349,1083500,1101735,1164401,1205632,1249214,1216170,1236944,1312558,1349516,1409457,1424613,1449789,1465569,1531282
 "39021" ,"Champaign, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",39047,39280,39395,39565,39592,40018,40127,40263,40265,40072,39811,39561,39447,39061,38941,38737,38840
 "39021" ,"Champaign, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26207,25747,26560,27385,27827,29097,30045,31026,30204,30868,32970,34112,35730,36471,37230,37834,39425
 "39023" ,"Clark, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3857353,3841037,3907167,3977704,4052115,4212231,4322493,4428930,4398826,4458378,4676837,4740964,4793269,4917178,5051817,5122686,5286633
