GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "40000" ,"Oklahoma",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",88354068,90233074,94303299,101714386,111052252,123411849,127818682,141463858,131404805,137327475,147778317,158235715,165860357,176376708,172636230,165106975,174435402
 "40000" ,"Oklahoma",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759529,3785232,3815298,3849840,3875008,3904353,3921207,3930864
 "40000" ,"Oklahoma",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25484,25862,26906,28853,31295,34337,35170,38557,35347,36528,39041,41474,43082,45516,44216,42106,44376
 "40001" ,"Adair, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",363326,382730,384303,400693,424962,442806,464325,473866,486237,525107,549008,556929,567889,583118,614916,613538,629991
 "40001" ,"Adair, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",21101,21271,21445,21589,21887,22215,22345,22346,22477,22738,22559,22313,22309,22240,22109,22111,21909
 "40001" ,"Adair, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17218,17993,17920,18560,19416,19933,20780,21206,21633,23094,24337,24960,25456,26219,27813,27748,28755
 "40003" ,"Alfalfa, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",132363,127995,140038,135321,133692,133547,135592,175696,151023,174963,209737,243887,226382,273616,256850,225136,226290
 "40003" ,"Alfalfa, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",5933,5894,5827,5785,5706,5639,5618,5618,5585,5629,5643,5663,5850,5813,5901,5914,5907
 "40003" ,"Alfalfa, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22310,21716,24033,23392,23430,23683,24135,31274,27041,31082,37168,43067,38698,47070,43527,38068,38309
 "40005" ,"Atoka, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",228503,248089,256196,258385,278192,289619,315609,327024,341629,355756,372404,387088,398745,412525,419238,418459,443706
 "40005" ,"Atoka, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",13816,13836,13973,14046,14034,14013,14118,14220,14155,14217,14163,14025,13892,13917,13875,13925,13887
 "40005" ,"Atoka, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",16539,17931,18335,18396,19823,20668,22355,22997,24135,25023,26294,27600,28703,29642,30215,30051,31951
 "40007" ,"Beaver, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",146945,134826,147478,150484,166225,160174,175568,203783,174508,218602,268808,286691,283627,300703,278658,240167,256250
 "40007" ,"Beaver, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",5657,5617,5609,5577,5569,5514,5571,5521,5562,5647,5635,5583,5558,5519,5435,5400,5315
 "40007" ,"Beaver, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25976,24003,26293,26983,29848,29049,31515,36911,31375,38711,47703,51351,51030,54485,51271,44475,48213
 "40009" ,"Beckham, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",393148,399095,423939,448709,506673,564034,627271,692479,632911,693851,821985,937235,984064,1046867,889061,757095,793731
 "40009" ,"Beckham, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",19937,20142,19663,18580,19151,20040,21855,22817,22369,22058,22300,23062,23468,23600,23563,22432,21793
 "40009" ,"Beckham, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19720,19814,21560,24150,26457,28145,28701,30349,28294,31456,36860,40640,41932,44359,37731,33751,36421
 "40011" ,"Blaine, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",216295,219219,230682,236033,258742,274438,273802,328935,284009,308476,331370,350691,329780,374180,366985,345041,361841
 "40011" ,"Blaine, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",11915,11574,11196,12277,12264,11965,12010,12019,11896,9903,9667,9786,9769,9823,9739,9571,9498
 "40011" ,"Blaine, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18153,18941,20604,19226,21098,22937,22798,27368,23874,31150,34278,35836,33758,38092,37682,36051,38097
 "40013" ,"Bryan, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",778704,792036,809087,845299,878359,947507,1027579,1076341,1132163,1148052,1176663,1240677,1293998,1365076,1411813,1478964,1553201
 "40013" ,"Bryan, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",36577,37003,37260,37887,38309,39739,40350,41453,41859,42582,43127,43434,44101,44458,44971,45492,46319
 "40013" ,"Bryan, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21289,21405,21715,22311,22928,23843,25467,25965,27047,26961,27284,28565,29342,30705,31394,32510,33533
 "40015" ,"Caddo, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",566919,604011,609311,604979,623050,637801,693901,740796,747966,788995,854228,905250,940429,991343,968315,907304,988563
 "40015" ,"Caddo, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",29677,29532,29550,29470,29202,29087,27932,28612,29459,29704,29609,29740,29597,29455,29418,29542,29173
 "40015" ,"Caddo, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19103,20453,20620,20529,21336,21927,24843,25891,25390,26562,28850,30439,31774,33656,32916,30712,33886
 "40017" ,"Canadian, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2350594,2447624,2504427,2736283,2971493,3350073,3647140,4081825,3983300,4208050,4607620,5009820,5260545,5645075,5728247,5746636,5968893
 "40017" ,"Canadian, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",89931,91507,93449,96101,99176,102876,106804,109969,113186,116338,119362,122495,125938,129327,133118,136303,139926
 "40017" ,"Canadian, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26138,26748,26800,28473,29962,32564,34148,37118,35193,36171,38602,40898,41771,43650,43031,42161,42657
 "40019" ,"Carter, OK",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1034622,1047744,1119598,1181323,1298917,1384391,1464565,1667999,1564821,1659877,1756538,1906900,1919587,2058852,1977521,1930590,1962637
