GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45000" ,"South Carolina",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",104652305,107527007,111166365,117506671,124488686,134578917,143317277,149235554,145609080,150451812,159091031,167538766,169973991,181107914,192879481,199941701,209179573
 "45000" ,"South Carolina",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635834,4672744,4719009,4765862,4824758,4892423,4959822,5024369
 "45000" ,"South Carolina",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25745,26176,26785,27905,29153,30882,32249,32951,31724,32454,34047,35503,35665,37537,39424,40312,41633
 "45001" ,"Abbeville, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",610882,566421,535561,570767,581642,604466,625881,660785,658319,674204,694149,689389,702030,731558,767088,785632,816920
 "45001" ,"Abbeville, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",26330,26311,26306,26235,25995,25821,25745,25699,25614,25328,25082,25019,24901,24800,24802,24717,24722
 "45001" ,"Abbeville, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23201,21528,20359,21756,22375,23410,24311,25712,25702,26619,27675,27555,28193,29498,30928,31785,33044
 "45003" ,"Aiken, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3687520,3832328,3982305,4119904,4321058,4570336,4857587,5096887,5183376,5375834,5672233,5787496,5781645,6049005,6400812,6560684,6837409
 "45003" ,"Aiken, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",143676,145226,146793,148746,150152,152577,154814,156896,158499,160527,161591,162938,163708,164176,165550,166922,168179
 "45003" ,"Aiken, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25666,26389,27129,27698,28778,29954,31377,32486,32703,33489,35102,35520,35317,36845,38664,39304,40656
 "45005" ,"Allendale, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",190801,190011,194325,202293,214108,228353,234104,246175,255020,270761,271489,271788,254238,258287,261232,267290,278574
 "45005" ,"Allendale, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",11022,11114,11092,11049,11021,10882,10787,10803,10619,10354,10234,9984,9826,9701,9420,9059,9002
 "45005" ,"Allendale, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17311,17097,17519,18309,19427,20984,21702,22788,24015,26150,26528,27222,25874,26625,27732,29505,30946
 "45007" ,"Anderson, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4212068,4267550,4377298,4526212,4728614,5016759,5328175,5612242,5498427,5727373,5989954,6135130,6298003,6664053,7007644,7253849,7606777
 "45007" ,"Anderson, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",168881,170287,171862,173539,175467,178579,181543,184520,186544,187289,188366,189044,190236,191987,193921,195968,198759
 "45007" ,"Anderson, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24941,25061,25470,26082,26949,28093,29349,30415,29475,30580,31800,32453,33106,34711,36137,37015,38271
 "45009" ,"Bamberg, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",309796,318203,328379,351934,363953,395887,405378,413904,411167,422333,438000,431776,428367,454468,445664,454671,458481
 "45009" ,"Bamberg, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",16580,16548,16342,16322,16360,16392,16226,16104,16022,15972,15833,15709,15415,15173,14711,14530,14381
 "45009" ,"Bamberg, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18685,19229,20094,21562,22247,24151,24983,25702,25663,26442,27664,27486,27789,29952,30295,31292,31881
 "45011" ,"Barnwell, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",469163,471960,484125,499267,518483,544663,562034,584968,599336,606929,634922,631371,636656,659911,669518,678338,692178
 "45011" ,"Barnwell, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23406,23177,23211,22980,22965,22886,22851,22761,22611,22637,22458,22357,22211,22022,21773,21591,21345
 "45011" ,"Barnwell, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20045,20363,20858,21726,22577,23799,24596,25700,26506,26811,28272,28240,28664,29966,30750,31418,32428
 "45013" ,"Beaufort, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4376949,4481383,4719593,5228360,5739905,6499866,6965062,7098047,6819562,6628911,7075449,7510475,7708470,8460633,9136079,9470855,9858499
 "45013" ,"Beaufort, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",125550,129290,130998,136331,141498,147213,151411,156399,159737,162845,163914,167502,171108,175233,179896,183497,186844
 "45013" ,"Beaufort, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",34862,34661,36028,38350,40565,44153,46001,45384,42692,40707,43166,44838,45050,48282,50785,51613,52763
 "45015" ,"Berkeley, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3128431,3328299,3527440,3771311,4065254,4495584,4851552,5113869,4935654,5323239,5835283,6105329,6293183,6761542,7209800,7657820,8168869
 "45015" ,"Berkeley, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",145153,146733,148035,151789,153489,159501,164913,171099,175092,178977,183155,188980,193390,197612,202358,211863,217937
 "45015" ,"Berkeley, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21553,22683,23828,24846,26486,28185,29419,29888,28189,29743,31860,32307,32541,34216,35629,36145,37483
 "45017" ,"Calhoun, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",363080,361947,382499,401413,423729,436977,446938,456120,450781,453126,475374,471374,480154,483888,501553,520081,540909
 "45017" ,"Calhoun, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",15301,15257,15309,15247,15212,15229,15260,15175,15268,15094,15094,14871,14989,14840,14757,14751,14704
 "45017" ,"Calhoun, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23729,23723,24985,26327,27855,28694,29288,30057,29525,30020,31494,31698,32034,32607,33987,35257,36787
 "45019" ,"Charleston, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9391523,9770937,10211997,11009279,12039869,13078854,14089794,14042806,13538923,14603933,15896249,18045762,17596092,19307214,20952296,21964429,22994624
 "45019" ,"Charleston, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",313065,317379,321222,328105,331589,334826,337147,341921,346795,351023,357492,364921,371986,379912,389329,396570,401438
 "45019" ,"Charleston, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29999,30786,31791,33554,36310,39062,41791,41070,39040,41604,44466,49451,47303,50820,53816,55386,57281
