GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "46000" ,"South Dakota",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20982544,21003482,22919639,24593233,26055070,27503880,30539774,32632754,31681752,33512286,36635975,37522187,37990711,39823286,41550298,41788577,42455313
 "46000" ,"South Dakota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",757972,760020,763729,770396,775493,783033,791623,799124,807067,816227,823338,832576,842513,849455,854036,861542,869666
 "46000" ,"South Dakota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27682,27635,30010,31923,33598,35125,38579,40836,39255,41058,44497,45068,45092,46881,48652,48504,48818
 "46003" ,"Aurora, SD",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",78446,71082,98779,95527,81379,82141,112470,124578,104340,101227,138917,111629,140002,132215,118395,110802,118505
 "46003" ,"Aurora, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2946,2869,2862,2860,2789,2775,2745,2750,2712,2701,2716,2760,2717,2747,2742,2750,2738
 "46003" ,"Aurora, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26628,24776,34514,33401,29179,29600,40973,45301,38473,37478,51148,40445,51528,48131,43178,40292,43282
 "46005" ,"Beadle, SD",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",474937,450548,481648,530341,538988,566811,646711,762150,702805,674138,857631,777626,805297,848518,901215,884027,862440
 "46005" ,"Beadle, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",16952,16767,16504,16370,16304,16149,16489,16810,17288,17413,17693,17940,18269,18144,18160,18087,18157
 "46005" ,"Beadle, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28017,26871,29184,32397,33059,35099,39221,45339,40653,38715,48473,43346,44080,46766,49626,48876,47499
 "46007" ,"Bennett, SD",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",74050,66036,80217,76641,89827,78915,84605,89780,88636,89379,92360,101680,88825,96736,98737,93370,101144
 "46007" ,"Bennett, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3518,3519,3513,3519,3547,3475,3466,3429,3397,3451,3449,3449,3461,3435,3401,3447,3454
 "46007" ,"Bennett, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21049,18766,22834,21779,25325,22709,24410,26183,26092,25899,26779,29481,25665,28162,29032,27087,29283
 "46009" ,"Bon Homme, SD",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",169422,155369,187723,200738,187107,193806,211055,219577,214547,225676,267762,253364,258737,248164,255306,238638,250007
 "46009" ,"Bon Homme, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",7169,7091,7074,7014,6985,7174,7060,7040,7049,7058,7009,7023,6983,6981,6946,6968,6984
 "46009" ,"Bon Homme, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23633,21911,26537,28620,26787,27015,29894,31190,30437,31974,38203,36076,37052,35548,36756,34248,35797
 "46011" ,"Brookings, SD",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",706540,708056,758515,811296,854041,898699,1026442,1111804,1109347,1129762,1262416,1307463,1327498,1403244,1479402,1509666,1533749
 "46011" ,"Brookings, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",28565,28913,29171,29393,29485,30323,30831,31363,31729,32000,32138,32710,33065,33302,33808,34057,34255
 "46011" ,"Brookings, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24734,24489,26002,27602,28965,29638,33293,35450,34963,35305,39281,39971,40148,42137,43759,44328,44774
