GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "48000" ,"Texas",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",625351776,632485656,655821615,686873443,747110864,820054905,871849676,956545543,911226962,966900333,1058034189,1133801108,1160361606,1250849527,1282379851,1287687296,1340568414
 "48000" ,"Texas",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25241648,25644424,26078327,26479279,26954436,27454880,27904862,28304596
 "48000" ,"Texas",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29332,29160,29768,30672,32799,35106,36583,39349,36740,38306,41258,43477,43821,46406,46709,46146,47362
 "48001" ,"Anderson, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1030184,1047821,1082875,1119799,1188813,1274139,1384381,1503087,1476138,1563308,1644218,1717742,1741758,1791659,1841435,1910130,1926333
 "48001" ,"Anderson, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",54263,54740,56068,56245,56873,57386,57870,57963,58410,58495,58379,58036,57960,57837,57641,57558,57741
 "48001" ,"Anderson, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18985,19142,19314,19909,20903,22203,23922,25932,25272,26725,28165,29598,30051,30978,31947,33186,33362
 "48003" ,"Andrews, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",298518,299328,323084,344153,379420,433032,471737,563196,497715,540329,657133,775017,843304,946718,829270,728642,763902
 "48003" ,"Andrews, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",12856,13022,12976,13006,13016,13195,13513,14099,14601,14847,15386,16106,16788,17448,18092,17837,17722
 "48003" ,"Andrews, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23220,22986,24899,26461,29150,32818,34910,39946,34088,36393,42710,48120,50233,54259,45836,40850,43105
 "48005" ,"Angelina, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1903686,1959395,2036544,2112269,2206896,2360893,2513351,2657994,2623389,2721392,2904032,3081076,3035372,3265174,3351891,3292273,3297553
 "48005" ,"Angelina, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",80273,80803,81510,82070,82553,83810,84518,84961,86029,86903,87282,87496,87365,87601,87901,87830,87805
 "48005" ,"Angelina, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23715,24249,24985,25737,26733,28170,29737,31285,30494,31315,33272,35214,34744,37273,38133,37485,37555
 "48007" ,"Aransas, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",558323,566423,586137,635120,696800,745324,785170,832049,819564,869502,936968,1039579,1081516,1143055,1173424,1107668,1146138
 "48007" ,"Aransas, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",22287,22616,22843,23067,23561,23395,23172,23225,23291,23181,23228,23462,23897,24581,24834,25275,25572
 "48007" ,"Aransas, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25052,25045,25659,27534,29574,31858,33884,35826,35188,37509,40338,44309,45257,46502,47251,43825,44820
 "48009" ,"Archer, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",247777,254353,260844,264630,270837,301030,318312,362765,335138,355184,374018,401881,419243,440801,405667,406544,414992
 "48009" ,"Archer, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",8849,8942,9013,9078,9068,9063,9026,9104,9023,9112,8834,8808,8793,8835,8755,8774,8809
 "48009" ,"Archer, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28001,28445,28941,29151,29867,33215,35266,39847,37143,38980,42338,45627,47679,49893,46335,46335,47110
 "48011" ,"Armstrong, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",56898,59971,66032,69915,71467,71705,79038,76306,70586,76415,75010,72737,82770,83666,84061,85114,85048
 "48011" ,"Armstrong, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",2128,2036,2001,2023,2037,1989,1936,1936,1911,1902,1937,1955,1940,1917,1902,1856,1879
 "48011" ,"Armstrong, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26738,29455,33000,34560,35084,36051,40825,39414,36937,40176,38725,37206,42665,43644,44196,45859,45262
 "48013" ,"Atascosa, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",812361,846170,872104,906195,969374,1058504,1130117,1209399,1196208,1294237,1450641,1582606,1672557,1806653,1725230,1652769,1683594
 "48013" ,"Atascosa, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",39828,40767,41306,42109,42495,43059,43611,43947,44623,44950,45483,46415,46997,47700,48349,48666,48981
 "48013" ,"Atascosa, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20397,20756,21113,21520,22811,24583,25914,27519,26807,28793,31894,34097,35589,37875,35683,33961,34372
 "48015" ,"Austin, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",704015,720286,754668,796999,884192,1004767,1083946,1190771,1102030,1115335,1178450,1331630,1319531,1423173,1498477,1453991,1467332
 "48015" ,"Austin, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",24341,24818,25388,25976,26331,26828,27454,27935,28254,28357,28570,28516,28651,28940,29447,29637,29786
 "48015" ,"Austin, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28923,29023,29725,30682,33580,37452,39482,42626,39004,39332,41248,46698,46055,49177,50887,49060,49262
 "48017" ,"Bailey, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",167866,155188,165864,167670,189292,190158,195372,203945,187944,226072,244074,253881,258584,300813,322727,281238,316051
 "48017" ,"Bailey, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",6636,6637,6791,6945,7024,7001,6927,6979,7050,7153,7159,7107,7097,6939,7199,7180,7077
 "48017" ,"Bailey, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25296,23382,24424,24143,26949,27162,28204,29223,26659,31605,34093,35723,36436,43351,44829,39170,44659
 "48019" ,"Bandera, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",485457,491561,509886,537420,579984,618220,650204,708129,682800,676632,733720,794006,813709,858028,876308,904915,946129
 "48019" ,"Bandera, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",18125,18652,19044,19226,19428,19775,20254,20407,20365,20557,20538,20595,20561,20814,21146,21710,22351
 "48019" ,"Bandera, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26784,26354,26774,27953,29853,31263,32102,34700,33528,32915,35725,38553,39575,41224,41441,41682,42330
 "48021" ,"Bastrop, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1429768,1470582,1537019,1586445,1700932,1811263,1950212,2055732,2055963,2130395,2199078,2278804,2329554,2492357,2693653,2793868,2964012
 "48021" ,"Bastrop, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",61106,63508,65825,67122,68233,69720,71348,72389,73587,74317,75090,74799,75896,77919,80198,82754,84761
 "48021" ,"Bastrop, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23398,23156,23350,23635,24928,25979,27334,28398,27939,28666,29286,30466,30694,31987,33588,33761,34969
 "48023" ,"Baylor, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",98156,99131,107024,107861,106596,111629,114376,125909,117769,120890,128516,129907,132108,139701,143111,136785,141987
 "48023" ,"Baylor, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",3930,3897,3941,3955,3877,3870,3905,3747,3726,3708,3695,3590,3577,3567,3649,3638,3581
 "48023" ,"Baylor, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24976,25438,27157,27272,27494,28845,29290,33603,31607,32602,34781,36186,36933,39165,39219,37599,39650
 "48025" ,"Bee, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",507472,507572,548977,566804,610632,639349,670297,805171,729546,807792,822267,905358,955886,984145,902742,867470,881725
 "48025" ,"Bee, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",31695,31804,32620,32352,32101,31977,31936,31814,31864,31863,32312,32474,32803,32837,32609,32835,32563
 "48025" ,"Bee, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",16011,15959,16829,17520,19022,19994,20989,25309,22896,25352,25448,27879,29140,29971,27684,26419,27078
 "48027" ,"Bell, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6349641,6754658,7279653,7683608,8462224,9424053,10482852,11553463,11868781,12137263,12781323,12926395,12751434,13155069,13826273,13993757,14617434
 "48027" ,"Bell, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",244299,249671,252922,258138,266017,273771,287752,297873,301050,312854,315809,324989,327150,330248,336094,341203,347833
 "48027" ,"Bell, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25991,27054,28782,29766,31811,34423,36430,38787,39425,38795,40472,39775,38977,39834,41138,41013,42024
 "48029" ,"Bexar, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",39548852,40631063,43121614,44860358,48067656,52431598,55458567,59596002,57580676,61125160,66760660,68745923,71213358,77717978,80779139,82381926,85782196
 "48029" ,"Bexar, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1419020,1446755,1469623,1500919,1529270,1573935,1615210,1651709,1685628,1722797,1755124,1788244,1821250,1857635,1894811,1927747,1958578
 "48029" ,"Bexar, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27871,28084,29342,29889,31432,33312,34335,36081,34160,35480,38038,38443,39101,41837,42632,42735,43798
 "48031" ,"Blanco, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",257235,265740,269231,287033,315135,350542,395393,471476,492748,431256,436507,455804,467340,501192,525322,545640,569421
 "48031" ,"Blanco, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",8776,8950,9096,9337,9554,9686,9835,10061,10315,10509,10569,10614,10636,10804,11038,11341,11626
 "48031" ,"Blanco, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29311,29692,29599,30741,32985,36191,40203,46862,47770,41037,41301,42944,43939,46389,47592,48112,48978
 "48033" ,"Borden, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",15344,19283,22917,22525,26604,18464,24949,24694,21192,30554,31613,34053,37743,33461,39581,34963,34845
 "48033" ,"Borden, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",677,685,666,671,638,634,597,612,618,646,632,614,646,666,656,660,673
 "48033" ,"Borden, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22665,28150,34410,33569,41699,29123,41791,40350,34291,47297,50021,55461,58426,50242,60337,52974,51776
