GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "49000" ,"Utah",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",57414084,59048775,61152585,65206580,71386870,79437884,86368525,90567138,86896455,89346024,96312302,103227839,106612905,113230001,121876444,128407025,134803819
 "49000" ,"Utah",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775260,2815430,2854222,2899961,2938671,2984917,3044321,3101833
 "49000" ,"Utah",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25141,25399,25911,27152,29046,31454,33247,34009,31907,32194,34209,36167,36764,38531,40831,42179,43459
 "49001" ,"Beaver, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",153464,137386,137424,159800,159951,141996,156563,163701,180877,182478,190971,196416,212982,214685,192192,182655,187516
 "49001" ,"Beaver, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",5999,6058,6039,6077,6192,6281,6266,6413,6552,6655,6558,6505,6462,6426,6344,6454,6386
 "49001" ,"Beaver, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25582,22678,22756,26296,25832,22607,24986,25526,27606,27420,29120,30195,32959,33409,30295,28301,29364
 "49003" ,"Box Elder, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",952947,958794,1006800,1055116,1106158,1186183,1324367,1414321,1389376,1409185,1482795,1522962,1596775,1683585,1747439,1819972,1922620
 "49003" ,"Box Elder, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",43362,44038,44548,44666,45090,45948,47193,48437,49372,50167,50240,50201,50734,51302,51821,52974,54079
 "49003" ,"Box Elder, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21977,21772,22600,23622,24532,25816,28063,29199,28141,28090,29514,30337,31473,32817,33721,34356,35552
 "49005" ,"Cache, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1929245,1985807,2114619,2288390,2355536,2501136,2726345,3022300,3049968,3233610,3475344,3619585,3637163,3837939,4121947,4339248,4585177
 "49005" ,"Cache, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",92831,95493,97101,98854,100501,101236,103624,106824,110291,113375,114810,115858,117043,117867,119748,122342,124438
 "49005" ,"Cache, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20782,20795,21778,23149,23438,24706,26310,28292,27654,28521,30270,31242,31075,32562,34422,35468,36847
 "49007" ,"Carbon, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",463365,467141,472802,494580,534959,575633,601425,641429,638305,669775,718290,690797,687372,703423,717960,705421,721946
 "49007" ,"Carbon, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",19937,20114,20146,20026,19870,20072,20554,20596,21143,21404,21306,21230,20908,20621,20366,20371,20295
 "49007" ,"Carbon, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23241,23225,23469,24697,26923,28678,29261,31143,30190,31292,33713,32539,32876,34112,35253,34629,35573
 "49009" ,"Daggett, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",21726,23231,24446,24468,26466,26680,30933,33523,33842,33711,36045,38502,39579,39312,42348,40041,40221
 "49009" ,"Daggett, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",929,907,914,952,967,984,974,993,1037,1077,1162,1094,1139,1123,1106,1081,1029
 "49009" ,"Daggett, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23386,25613,26746,25702,27369,27114,31759,33759,32635,31301,31020,35194,34749,35006,38289,37041,39087
 "49011" ,"Davis, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6610599,6849438,7173071,7565923,8212888,9049838,9881957,10267853,9995426,10245199,11052382,11892004,12121270,12762021,13645145,14557301,15332970
 "49011" ,"Davis, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",244687,249676,255582,262189,269208,278800,288236,295801,301965,307898,311899,315911,322306,328778,334834,341329,347637
 "49011" ,"Davis, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27017,27433,28066,28857,30508,32460,34284,34712,33101,33275,35436,37644,37608,38817,40752,42649,44106
 "49013" ,"Duchesne, UT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",328255,327013,333631,347855,384765,436948,502139,600620,558014,566238,652027,725156,768561,822413,739553,666021,678442
 "49013" ,"Duchesne, UT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",14652,14969,15002,15101,15473,15823,16651,17412,18536,18647,18705,19013,19973,20214,20766,20315,20026
 "49013" ,"Duchesne, UT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22403,21846,22239,23035,24867,27615,30157,34495,30104,30366,34858,38140,38480,40685,35614,32785,33878
