GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "51000" ,"Virginia",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",244136715,250928132,265980394,284957124,304720531,326171579,343287848,356434411,348944176,364382497,386298008,404772481,402064568,420235927,440823733,448683501,466743276
 "51000" ,"Virginia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8025206,8107548,8188656,8261689,8316902,8366767,8414380,8470020
 "51000" ,"Virginia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",33916,34436,36104,38118,40216,42505,44289,45501,44026,45405,47647,49431,48666,50528,52687,53323,55105
 "51001" ,"Accomack, VA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",797082,826593,880730,919977,954270,979322,1033614,1090928,1089574,1112288,1129193,1181700,1188926,1227111,1277179,1283155,1324623
 "51001" ,"Accomack, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",37742,37308,36742,36310,35835,35192,34553,33970,33415,33147,33222,33264,32963,32965,32911,32818,32545
 "51001" ,"Accomack, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21119,22156,23971,25337,26630,27828,29914,32114,32607,33556,33989,35525,36069,37225,38807,39099,40701
 "51007" ,"Amelia, VA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",291208,291485,304204,339223,362519,386601,417032,419202,403821,427150,437215,459614,493801,509705,535479,538046,560273
 "51007" ,"Amelia, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",11481,11540,11544,11712,11943,12250,12447,12563,12594,12746,12752,12747,12659,12717,12784,12830,13020
 "51007" ,"Amelia, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25364,25259,26352,28964,30354,31559,33505,33368,32065,33512,34286,36057,39008,40081,41887,41937,43032
 "51009" ,"Amherst, VA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",711940,720627,742581,785527,826061,878388,916393,963071,963161,967294,994855,1024298,1015639,1056441,1090392,1099277,1137138
 "51009" ,"Amherst, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",31953,31775,31810,31783,31955,32094,32203,32510,32447,32388,32110,32436,32156,32039,31638,31667,31594
