GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "53000" ,"Washington",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",199075219,202861517,210864222,225994043,235226474,256517351,278655913,292344351,279037778,286732273,303939314,328949369,335890860,362951551,384651032,404232131,428765189
 "53000" ,"Washington",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6741386,6819155,6890899,6963410,7046931,7152818,7280934,7405743
 "53000" ,"Washington",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",33258,33518,34545,36577,37592,40265,43125,44550,41851,42533,44571,47737,48237,51505,53776,55519,57896
 "53001" ,"Adams, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",351235,369569,398764,402999,404548,429813,497549,549606,550083,587599,655986,705957,715813,747568,847701,783339,811517
 "53001" ,"Adams, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",16259,16445,16612,16664,16918,16997,17413,17782,18405,18789,18891,18978,19142,19196,19201,19262,19506
 "53001" ,"Adams, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21602,22473,24005,24184,23912,25288,28573,30908,29888,31274,34725,37199,37395,38944,44149,40668,41603
 "53003" ,"Asotin, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",531473,543083,565831,586235,600683,648736,693121,743016,743825,776679,813162,838387,851892,894590,923832,965137,1010645
 "53003" ,"Asotin, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",20447,20490,20487,20783,20908,21133,21188,21393,21415,21725,21968,21908,22127,22192,22133,22310,22535
 "53003" ,"Asotin, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25993,26505,27619,28207,28730,30698,32713,34732,34734,35750,37016,38269,38500,40311,41740,43260,44848
 "53005" ,"Benton, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4254116,4494299,4765209,5032935,5149674,5291833,5772490,6282453,6586643,7216864,7633386,7559526,7484079,7774240,8449267,8700510,9034074
