GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "54000" ,"West Virginia",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",42849799,44286601,44871402,46485544,48840352,52178763,54198610,57652410,58149798,60061547,63448690,65251759,64792619,66679676,67736679,67582876,69872741
 "54000" ,"West Virginia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854315,1854891,1855360,1852333,1847624,1839767,1828637,1815857
 "54000" ,"West Virginia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23786,24530,24759,25592,26828,28546,29551,31328,31470,32390,34206,35169,34979,36089,36818,36958,38479
 "54001" ,"Barbour, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",278254,295083,304666,318637,334786,364937,386704,414389,424607,439133,459299,484959,478018,486746,488701,486174,502693
 "54001" ,"Barbour, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",15436,15569,15639,15629,15722,15922,16036,16241,16479,16612,16598,16869,16863,16902,16970,16720,16497
 "54001" ,"Barbour, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18026,18953,19481,20388,21294,22920,24115,25515,25767,26435,27672,28749,28347,28798,28798,29077,30472
 "54003" ,"Berkeley, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1945540,2089731,2257585,2433853,2690124,2953195,3129290,3315985,3340827,3490501,3660080,3802269,3847532,3990186,4168221,4353239,4540418
 "54003" ,"Berkeley, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",78428,80875,84524,88258,92114,96318,99132,101629,102830,104617,105608,106824,108335,110026,111497,113270,114920
 "54003" ,"Berkeley, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24807,25839,26709,27577,29204,30661,31567,32628,32489,33365,34657,35594,35515,36266,37384,38432,39509
 "54005" ,"Boone, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",483969,507209,519958,538925,572412,620278,654359,729160,721678,742076,797566,783567,735552,724301,711499,688783,701048
 "54005" ,"Boone, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25372,25505,25545,25455,25311,25101,25115,24794,24766,24606,24408,24356,24089,23708,23241,22795,22349
 "54005" ,"Boone, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19075,19887,20355,21172,22615,24711,26055,29409,29140,30158,32676,32171,30535,30551,30614,30216,31368
 "54007" ,"Braxton, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",245498,258453,266399,280301,290535,310563,330118,357569,360688,375970,405049,429486,415575,424550,437554,423834,432895
 "54007" ,"Braxton, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",14702,14667,14632,14696,14682,14585,14585,14587,14512,14545,14530,14449,14382,14400,14366,14341,14237
 "54007" ,"Braxton, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",16698,17621,18207,19073,19789,21293,22634,24513,24854,25849,27877,29724,28895,29483,30458,29554,30406
 "54009" ,"Brooke, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",611644,618972,606607,618121,628865,665272,689943,736029,724880,744802,791760,817907,819423,858671,875348,860350,885527
 "54009" ,"Brooke, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",25237,25156,25094,24867,24703,24399,24235,24168,24153,23999,23828,23691,23604,23382,23200,22707,22443
 "54009" ,"Brooke, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24236,24605,24173,24857,25457,27266,28469,30455,30012,31035,33228,34524,34715,36724,37731,37889,39457
 "54011" ,"Cabell, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2453808,2546080,2575221,2587290,2666623,2830863,3005879,3208907,3232645,3317985,3452377,3539218,3511397,3629317,3711168,3692542,3735166
 "54011" ,"Cabell, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",96035,95741,95554,95239,94821,94943,95059,95209,96040,96349,96506,96819,96895,96514,96462,95669,94958
