GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "02000" ,"Alaska",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",21181698,22201930,23190634,24270355,25888513,27606973,29712529,32701876,32749086,35162893,37580637,38822647,38502520,40935223,42290967,41461355,42300914
 "02000" ,"Alaska",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",14428713,15403759,16360737,17307457,18492156,19547294,20623590,21713834,22704951,24123483,25735110,26752580,26546668,27384638,28189522,27255978,27503655
 "02000" ,"Alaska",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",3219533,3307396,3245861,3208408,3404452,3615466,4083818,5461349,4747674,5335970,5538495,5402297,5413463,6529101,6676799,6650187,6958171
 "02000" ,"Alaska",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",293321,320448,333873,353643,381189,397842,421598,455497,585525,773428,809020,837990,842011,890336,827035,844647,871847
 "02000" ,"Alaska",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",110282,159053,166493,123531,107200,96502,90406,111172,215450,270610,266455,232628,197828,115781,94932,109293,91413
 "02000" ,"Alaska",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",2815930,2827895,2745495,2731234,2916063,3121122,3571814,4894680,3946699,4291932,4463020,4331679,4373624,5522984,5754832,5696247,5994911
 "02000" ,"Alaska",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",3533452,3490775,3584036,3754490,3991905,4444213,5005121,5526693,5296461,5703440,6307032,6667770,6542389,7021484,7424646,7555190,7839088
 "02000" ,"Alaska",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",633714,642337,648414,659286,666946,675302,680300,687455,698895,714015,722259,730825,736760,736759,737979,741522,739795
 "02000" ,"Alaska",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",33425,34564,35765,36813,38817,40881,43676,47569,46858,49247,52032,53122,52259,55561,57306,55914,57179
 "02000" ,"Alaska",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",22768,23981,25232,26252,27727,28946,30315,31586,32487,33786,35631,36606,36032,37169,38198,36757,37177
 "02000" ,"Alaska",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",5080,5149,5006,4866,5105,5354,6003,7944,6793,7473,7668,7392,7348,8862,9047,8968,9406
 "02000" ,"Alaska",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",463,499,515,536,572,589,620,663,838,1083,1120,1147,1143,1208,1121,1139,1178
