GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "01000" ,"Alabama",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",112312142,115166086,120209889,128669896,136215282,144914255,152210645,157479528,155254669,161965527,167675590,172427855,174118716,180220290,187301605,190991192,198916425
 "01000" ,"Alabama",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",72434852,74535793,77532782,82722700,87393268,92166093,95066058,95443119,93652679,96225758,100189427,103069413,104659931,107423275,110895425,112833248,117833619
 "01000" ,"Alabama",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",19206845,20554051,21812339,23106865,24851163,26763892,28811479,32178778,34676799,37978340,38720356,38861712,39709361,41354786,43042132,44087660,45594113
 "01000" ,"Alabama",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",2014629,2255903,2460555,2650900,2859751,2874821,3274219,3470095,4074093,4563700,4824128,4743390,4787632,4761312,4735839,4639926,4502790
 "01000" ,"Alabama",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",326649,419003,411239,283563,245300,233133,252595,419432,1094547,1163627,929857,658060,465272,269000,230188,220286,184941
 "01000" ,"Alabama",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",16865567,17879145,18940545,20172402,21746112,23655938,25284665,28289251,29508159,32251013,32966371,33460262,34456457,36324474,38076105,39227448,40906382
 "01000" ,"Alabama",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",20670445,20076242,20864768,22840331,23970851,25984270,28333108,29857631,26925191,27761429,28765807,30496730,29749424,31442229,33364048,34070284,35488693
 "01000" ,"Alabama",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747
 "01000" ,"Alabama",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",25139,25706,26693,28399,29808,31306,32573,33377,32631,33844,34942,35818,36067,37235,38612,39294,40805
 "01000" ,"Alabama",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",16213,16637,17216,18258,19124,19911,20344,20229,19683,20107,20879,21411,21679,22195,22861,23214,24172
 "01000" ,"Alabama",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4299,4588,4843,5100,5438,5782,6166,6820,7288,7936,8069,8073,8225,8544,8873,9071,9353
 "01000" ,"Alabama",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",451,504,546,585,626,621,701,735,856,954,1005,985,992,984,976,955,924
 "01000" ,"Alabama",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",73,94,91,63,54,50,54,89,230,243,194,137,96,56,47,45,38
 "01000" ,"Alabama",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3775,3991,4206,4452,4759,5110,5411,5996,6202,6739,6870,6951,7137,7505,7849,8071,8391
 "01000" ,"Alabama",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",4627,4481,4633,5041,5245,5613,6063,6328,5659,5801,5995,6335,6162,6496,6878,7010,7280
