GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "04000" ,"Arizona",6,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",140805569,145930328,154810692,169309942,188149041,209009703,220652427,223221865,211397715,215012419,225853155,236455566,242571877,257066980,270806695,280988093,296648898
 "04000" ,"Arizona",6,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",93636627,96882222,102267294,112030549,123338923,136945876,142746970,140166866,129713463,130278677,137561378,144295795,148878752,155426212,162646484,169713136,180301689
 "04000" ,"Arizona",6,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",19312672,21513578,23475071,25775134,28487194,31132132,33783999,39360187,44010475,47885742,47822912,47852141,49536829,52643886,54927044,56404558,58882102
 "04000" ,"Arizona",6,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1604640,1925751,2177853,2376739,2629586,2722665,2941983,3307247,4223914,4646340,4893130,5002707,5025237,4986988,4925949,4893215,4780099
 "04000" ,"Arizona",6,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",297293,503936,511722,358779,293710,252214,312136,564187,1627144,1901114,1325056,931609,591793,393244,351209,335040,308654
 "04000" ,"Arizona",6,CAINC30,80,"...","  Retirement and other","Thousands of dollars",17410739,19083891,20785496,23039616,25563898,28157253,30529880,35488753,38159417,41338288,41604726,41917825,43919799,47263654,49649886,51176303,53793349
 "04000" ,"Arizona",6,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",27856270,27534528,29068327,31504259,36322924,40931695,44121458,43694812,37673777,36848000,40468865,44307630,44156296,48996882,53233167,54870399,57465107
 "04000" ,"Arizona",6,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
 "04000" ,"Arizona",6,CAINC30,110,"..."," Per capita personal income 4/","Dollars",26701,27043,28094,29954,32222,34667,35776,35543,33327,33559,34932,36132,36664,38331,39811,40672,42280
 "04000" ,"Arizona",6,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",17756,17954,18559,19820,21123,22714,23144,22318,20449,20334,21276,22049,22502,23176,23911,24565,25698
 "04000" ,"Arizona",6,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3662,3987,4260,4560,4879,5164,5478,6267,6938,7474,7397,7312,7487,7850,8075,8164,8392
 "04000" ,"Arizona",6,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",304,357,395,420,450,452,477,527,666,725,757,764,760,744,724,708,681
 "04000" ,"Arizona",6,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",56,93,93,63,50,42,51,90,257,297,205,142,89,59,52,48,44
 "04000" ,"Arizona",6,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3302,3537,3772,4076,4378,4670,4950,5651,6016,6452,6435,6405,6638,7048,7299,7408,7667
 "04000" ,"Arizona",6,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5282,5103,5275,5574,6221,6789,7154,6957,5939,5751,6259,6771,6674,7306,7826,7942,8190
 "04000" ,"Arizona",6,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",104944956,108532134,114295135,124975811,137528773,152576251,159264708,156856419,145557336,146275244,152291732,159469640,166847274,173963685,182165548,190107230,202015520
 "04000" ,"Arizona",6,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",79484246,81178177,85001248,92157429,101120355,111470425,117290411,117223908,109645484,109158485,113496912,118948346,122598769,127740732,134028793,139243494,147391459
 "04000" ,"Arizona",6,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",15988220,16860896,17674033,18963038,20640034,23073344,25287184,26642438,25469271,25432885,26159838,26308623,27825941,28867258,29556850,31029929,32486015
 "04000" ,"Arizona",6,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",10193888,10874298,11489544,12288431,13376690,15134466,16826884,18064049,17398555,17335259,17757416,17603625,18830281,19691072,19915987,21026210,21926136
 "04000" ,"Arizona",6,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",5794332,5986598,6184489,6674607,7263344,7938878,8460300,8578389,8070716,8097626,8402422,8704998,8995660,9176186,9640863,10003719,10559879
 "04000" ,"Arizona",6,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",9472490,10493061,11619854,13855344,15768384,18032482,16687113,12990073,10442581,11683874,12634982,14212671,16422564,17355695,18579905,19833807,22138046
 "04000" ,"Arizona",6,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",373110,342035,351307,626660,546569,293491,358543,164489,-23768,216837,718669,363147,701732,502427,883950,966957,1310473
 "04000" ,"Arizona",6,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",9099380,10151026,11268547,13228684,15221815,17738991,16328570,12825584,10466349,11467037,11916313,13849524,15720832,16853268,17695955,18866850,20827573
 "04000" ,"Arizona",6,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",2829002,2847095,2917121,3041476,3219820,3375218,3465075,3402808,3228493,3181571,3239045,3295537,3371219,3448834,3548679,3646813,3727687
 "04000" ,"Arizona",6,CAINC30,250,"..."," Wage and salary employment","Number of jobs",2352082,2356072,2393694,2479989,2610087,2738783,2773088,2706550,2515005,2473095,2499245,2558410,2617500,2669755,2745697,2816903,2881141
 "04000" ,"Arizona",6,CAINC30,260,"..."," Proprietors employment","Number of jobs",476920,491023,523427,561487,609733,636435,691987,696258,713488,708476,739800,737127,753719,779079,802982,829910,846546
 "04000" ,"Arizona",6,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",10086,7356,9727,9541,9557,9446,15029,15640,16253,17192,18184,18959,18748,18758,18688,18762,18757
