GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "18000" ,"Indiana",3,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",175497603,178017790,182141948,190718511,196766870,208808463,216350903,225842603,219712564,229477331,244551172,256257565,259524966,269592986,279704919,289164319,301008164
 "18000" ,"Indiana",3,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",120629368,122865327,126266843,132918787,136355377,142576261,146100141,148903425,142218062,149548298,161217896,168405900,171937670,176194738,181153791,188104464,196036030
 "18000" ,"Indiana",3,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",24028246,25502826,26513097,28073232,30567991,32996463,34612087,40041781,44250946,47314897,47358946,48857657,49235597,52258806,54688278,56026807,57688909
 "18000" ,"Indiana",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1809693,2026280,2209760,2422305,2701577,2823414,3058068,3476305,4413297,5144173,5108348,5052592,5112590,5127970,5068891,4990446,4883352
 "18000" ,"Indiana",3,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",596021,873459,960587,748094,710391,779354,769591,1228177,3243707,2902610,2020683,1450072,886512,438899,360916,333760,259469
 "18000" ,"Indiana",3,CAINC30,80,"...","  Retirement and other","Thousands of dollars",21622532,22603087,23342750,24902833,27156023,29393695,30784428,35337299,36593942,39268114,40229915,42354993,43236495,46691937,49258471,50702601,52546088
 "18000" ,"Indiana",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",30839989,29649637,29362008,29726492,29843502,33235739,35638675,36897397,33243556,32614136,35974330,38994008,38351699,41139442,43862850,45033048,47283225
 "18000" ,"Indiana",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490029,6515358,6535665,6567484,6593182,6610596,6634007,6666818
 "18000" ,"Indiana",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",28640,28918,29394,30598,31339,32973,33913,35152,34015,35358,37535,39209,39517,40890,42312,43588,45150
 "18000" ,"Indiana",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",19686,19959,20377,21325,21717,22514,22901,23176,22017,23043,24744,25767,26180,26724,27404,28355,29405
 "18000" ,"Indiana",3,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3921,4143,4279,4504,4869,5211,5425,6232,6851,7290,7269,7476,7497,7926,8273,8445,8653
 "18000" ,"Indiana",3,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",295,329,357,389,430,446,479,541,683,793,784,773,778,778,767,752,732
 "18000" ,"Indiana",3,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",97,142,155,120,113,123,121,191,502,447,310,222,135,67,55,50,39
 "18000" ,"Indiana",3,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3529,3672,3767,3995,4325,4642,4825,5500,5665,6051,6175,6481,6583,7082,7451,7643,7882
 "18000" ,"Indiana",3,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5033,4816,4738,4769,4753,5248,5586,5743,5147,5025,5521,5966,5840,6240,6635,6788,7092
 "18000" ,"Indiana",3,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",131851519,134388268,138214596,145377791,149240626,156107787,159772351,163004611,155641328,163524439,173579544,181463480,187368161,192440228,197590684,205052749,213742780
 "18000" ,"Indiana",3,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",96496186,97991272,100505583,105572465,108663077,113129738,116694686,118218938,111453201,114358549,119136930,124641790,127532806,132272936,138692679,142623361,149369218
 "18000" ,"Indiana",3,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",22101445,22823748,24027522,25156084,26564304,27802169,28764112,29329134,26892538,28005628,28672303,30248100,30325520,32901071,31968051,34690939,36182331
 "18000" ,"Indiana",3,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",15154293,15732508,16642283,17383159,18420550,19336878,20107432,20529833,18494656,19412323,19632641,20805341,20621481,22865863,21536205,24117039,25273296
 "18000" ,"Indiana",3,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",6947152,7091240,7385239,7772925,8143754,8465291,8656680,8799301,8397882,8593305,9039662,9442759,9704039,10035208,10431846,10573900,10909035
