GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "21000" ,"Kentucky",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",104268892,106642137,109563273,115893943,121519992,128717458,134505711,140471618,138837504,144009207,151069464,156511651,157850740,165369017,172361423,175012793,180826521
 "21000" ,"Kentucky",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",67266736,69008870,71595793,76235761,79778334,82889551,85116867,86578498,83841596,87274042,92039913,95209090,96860963,99301811,102666861,104270661,107637567
 "21000" ,"Kentucky",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",18426621,19733257,20346833,21900329,23207024,25001037,26897248,30328775,33466208,35454416,35930232,35975479,36841716,40063366,42216459,42472864,43740425
 "21000" ,"Kentucky",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1926746,2085821,2276407,2442194,2621414,2740321,2939787,3228100,3773084,4085266,4204998,4280908,4338569,4191024,4079099,3943637,3859834
 "21000" ,"Kentucky",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",453054,643344,645487,498459,429851,435382,474409,716734,1763632,1718125,1369579,1046477,796256,400049,319772,373832,321825
 "21000" ,"Kentucky",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",16046821,17004092,17424939,18959676,20155759,21825334,23483052,26383941,27929492,29651025,30355655,30648094,31706891,35472293,37817588,38155395,39558766
 "21000" ,"Kentucky",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",18575535,17900010,17620647,17757853,18534634,20826870,22491596,23564345,21529700,21280749,23099319,25327082,24148061,26003840,27478103,28269268,29448529
 "21000" ,"Kentucky",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4347948,4368505,4383673,4399121,4410415,4422057,4436113,4454189
 "21000" ,"Kentucky",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",25631,26075,26611,27953,29053,30507,31599,32745,32160,33121,34582,35703,35882,37495,38978,39452,40597
 "21000" ,"Kentucky",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",16535,16873,17390,18387,19073,19646,19996,20182,19421,20072,21069,21719,22018,22515,23217,23505,24165
 "21000" ,"Kentucky",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4530,4825,4942,5282,5548,5925,6319,7070,7752,8154,8225,8207,8375,9084,9547,9574,9820
 "21000" ,"Kentucky",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",474,510,553,589,627,649,691,752,874,940,963,977,986,950,922,889,867
 "21000" ,"Kentucky",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",111,157,157,120,103,103,111,167,409,395,314,239,181,91,72,84,72
 "21000" ,"Kentucky",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3945,4158,4232,4573,4819,5173,5517,6150,6470,6820,6949,6991,7208,8043,8552,8601,8881
 "21000" ,"Kentucky",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",4566,4377,4280,4283,4431,4936,5284,5493,4987,4894,5288,5778,5489,5896,6214,6373,6611
 "21000" ,"Kentucky",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",76453440,78540844,81609727,86832677,91237912,94930079,97782750,100007431,97202871,101236679,105312482,108890361,111801108,114740408,118787142,120584578,124550442
 "21000" ,"Kentucky",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",55555240,56651182,58474169,61400386,64085242,67308349,70581912,72352553,70414312,71874890,74532399,77058334,78279762,81458011,85324268,87639023,90230068
 "21000" ,"Kentucky",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",13457333,14300217,15315622,16214222,17510764,17697714,18347276,19125750,18211374,19792203,20117263,20970492,20796308,20910675,21650013,21763974,22432540
 "21000" ,"Kentucky",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",9179774,9881948,10794430,11523528,12621230,12610752,13059837,13620228,12758805,14124939,14269621,14895619,14631570,14484832,14925329,14942890,15487729
 "21000" ,"Kentucky",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",4277559,4418269,4521192,4690694,4889534,5086962,5287439,5505522,5452569,5667264,5847642,6074873,6164738,6425843,6724684,6821084,6944811
 "21000" ,"Kentucky",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",7440867,7589445,7819936,9218069,9641906,9924016,8853562,8529128,8577185,9569586,10662820,10861535,12725038,12371722,11812861,11181581,11887834
 "21000" ,"Kentucky",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",817605,353965,357463,909760,1281306,972061,472865,6773,350270,36392,574170,555864,2340808,1356874,1075429,523032,694734
 "21000" ,"Kentucky",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",6623262,7235480,7462473,8308309,8360600,8951955,8380697,8522355,8226915,9533194,10088650,10305671,10384230,11014848,10737432,10658549,11193100
 "21000" ,"Kentucky",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",2283616,2263430,2273325,2300593,2337821,2374830,2414908,2402591,2325249,2325921,2368202,2389363,2407562,2439839,2473126,2497911,2520748
 "21000" ,"Kentucky",5,CAINC30,250,"..."," Wage and salary employment","Number of jobs",1884751,1864898,1865342,1881168,1904668,1930624,1951559,1943756,1862282,1864406,1884604,1908719,1923075,1948724,1978345,1996627,2011592
 "21000" ,"Kentucky",5,CAINC30,260,"..."," Proprietors employment","Number of jobs",398865,398532,407983,419425,433153,444206,463349,458835,462967,461515,483598,480644,484487,491115,494781,501284,509156
 "21000" ,"Kentucky",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",92441,83906,80692,76935,75720,74111,74625,73414,72174,71511,70786,69151,69237,69185,69181,68737,68540
 "21000" ,"Kentucky",5,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",306424,314626,327291,342490,357433,370095,388724,385421,390793,390004,412812,411493,415250,421930,425600,432547,440616
 "21000" ,"Kentucky",5,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",33479,34700,35899,37744,39027,39973,40491,41625,41803,43525,44469,45573,46437,47028,48031,48274,49410
 "21000" ,"Kentucky",5,CAINC30,300,"..."," Average wages and salaries","Dollars",29476,30378,31348,32640,33646,34864,36167,37223,37811,38551,39548,40372,40706,41801,43129,43894,44855
 "21000" ,"Kentucky",5,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",21615,22997,22801,24259,23391,24188,21560,22112,21052,24444,24439,25045,25007,26106,25229,24641,25403
 "21001" ,"Adair, KY",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",321890,321455,323593,343855,361327,376460,399258,420076,437319,460746,485919,502211,513758,536874,551690,556001,576006
 "21001" ,"Adair, KY",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",171668,171276,170449,185746,197627,202357,205724,207532,209542,226062,243911,265134,275502,276061,277178,277299,287222
 "21001" ,"Adair, KY",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",92748,100190,104788,113201,117618,125990,136950,151939,169660,176927,180675,172188,175873,196215,207314,209013,216012
 "21001" ,"Adair, KY",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",9823,10558,11295,11330,12501,12666,13710,14967,17110,18120,19154,19103,19476,19336,18717,18617,18549
 "21001" ,"Adair, KY",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",1783,2630,2646,1937,1648,1770,2082,3151,8125,7771,6257,4500,3642,2249,1506,1604,1281
 "21001" ,"Adair, KY",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",81142,87002,90847,99934,103469,111554,121158,133821,144425,151036,155264,148585,152755,174630,187091,188792,196182
 "21001" ,"Adair, KY",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",57474,49989,48356,44908,46082,48113,56584,60605,58117,57757,61333,64889,62383,64598,67198,69689,72772
 "21001" ,"Adair, KY",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",17584,17762,17924,17994,18128,18335,18493,18541,18729,18754,18984,18929,19110,19246,19298,19379,19485
 "21001" ,"Adair, KY",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",18306,18098,18054,19109,19932,20532,21590,22657,23350,24568,25596,26531,26884,27895,28588,28691,29562
 "21001" ,"Adair, KY",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",9763,9643,9510,10323,10902,11037,11124,11193,11188,12054,12848,14007,14417,14344,14363,14309,14741
 "21001" ,"Adair, KY",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",5275,5641,5846,6291,6488,6872,7406,8195,9059,9434,9517,9097,9203,10195,10743,10786,11086
 "21001" ,"Adair, KY",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",559,594,630,630,690,691,741,807,914,966,1009,1009,1019,1005,970,961,952
 "21001" ,"Adair, KY",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",101,148,148,108,91,97,113,170,434,414,330,238,191,117,78,83,66
 "21001" ,"Adair, KY",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4615,4898,5068,5554,5708,6084,6552,7218,7711,8054,8179,7850,7993,9074,9695,9742,10068
 "21001" ,"Adair, KY",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",3269,2814,2698,2496,2542,2624,3060,3269,3103,3080,3231,3428,3264,3356,3482,3596,3735
 "21001" ,"Adair, KY",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",146891,147803,147366,162201,175808,183202,187830,193406,195408,202531,208328,223025,230033,228675,227666,219942,223097
 "21001" ,"Adair, KY",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",105984,108416,109626,115845,121396,127688,132261,138339,140928,141898,141430,148675,147929,149959,154462,154895,155108
 "21001" ,"Adair, KY",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",27768,29942,31363,33377,36576,37295,38764,40900,39543,44173,43127,46531,44723,44679,45809,44519,44074
 "21001" ,"Adair, KY",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",19771,21557,22953,24612,27144,27576,28769,30342,28622,32928,31916,34596,33088,32755,33362,32388,31984
 "21001" ,"Adair, KY",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",7997,8385,8410,8765,9432,9719,9995,10558,10921,11245,11211,11935,11635,11924,12447,12131,12090
 "21001" ,"Adair, KY",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",13139,9445,6377,12979,17836,18219,16805,14167,14937,16460,23771,27819,37381,34037,27395,20528,23915
 "21001" ,"Adair, KY",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",-2216,-7232,-10893,-4058,1993,1314,798,-1154,245,-1569,2599,2831,12156,9511,4098,-2578,-1738
 "21001" ,"Adair, KY",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",15355,16677,17270,17037,15843,16905,16007,15321,14692,18029,21172,24988,25225,24526,23297,23106,25653
 "21001" ,"Adair, KY",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",7912,7795,7621,7565,7745,7732,7627,7545,7579,7661,8009,8203,8028,8093,8107,8001,8010
 "21001" ,"Adair, KY",5,CAINC30,250,"..."," Wage and salary employment","Number of jobs",5188,5098,4981,4901,5036,5144,5189,5166,5153,5257,5301,5522,5372,5386,5413,5189,5169
 "21001" ,"Adair, KY",5,CAINC30,260,"..."," Proprietors employment","Number of jobs",2724,2697,2640,2664,2709,2588,2438,2379,2426,2404,2708,2681,2656,2707,2694,2812,2841
 "21001" ,"Adair, KY",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",1521,1377,1329,1275,1261,1240,1253,1232,1205,1188,1169,1133,1134,1134,1134,1127,1124
 "21001" ,"Adair, KY",5,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",1203,1320,1311,1389,1448,1348,1185,1147,1221,1216,1539,1548,1522,1573,1560,1685,1717
 "21001" ,"Adair, KY",5,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",18566,18961,19337,21441,22700,23694,24627,25634,25783,26437,26012,27188,28654,28256,28083,27489,27852
 "21001" ,"Adair, KY",5,CAINC30,300,"..."," Average wages and salaries","Dollars",20429,21266,22009,23637,24106,24823,25489,26779,27349,26992,26680,26924,27537,27842,28535,29851,30007
 "21001" ,"Adair, KY",5,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",12764,12634,13173,12266,10941,12541,13508,13357,12033,14826,13757,16142,16574,15592,14934,13713,14941
 "21003" ,"Allen, KY",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",371688,366097,369245,400176,420469,444601,464835,487388,481944,492830,518992,550582,544961,585446,620648,629516,653566
 "21003" ,"Allen, KY",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",231240,227276,229378,257999,275367,288923,291688,292425,270787,277975,293751,317790,316449,334063,354790,361736,376111
 "21003" ,"Allen, KY",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",75070,82412,85021,91620,98880,108647,118395,136423,152227,156557,162219,163090,165945,183444,193915,194727,201374
 "21003" ,"Allen, KY",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",7220,7951,8937,9788,10777,11713,12717,14110,16187,17660,18575,19150,19430,19156,18392,17147,17126
 "21003" ,"Allen, KY",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",2251,3045,2983,2400,1889,1916,1934,3070,10562,8564,6223,4395,3242,1557,1251,1374,1468
 "21003" ,"Allen, KY",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",65599,71416,73101,79432,86214,95018,103744,119243,125478,130333,137421,139545,143273,162731,174272,176206,182780
 "21003" ,"Allen, KY",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",65378,56409,54846,50557,46222,47031,54752,58540,58930,58298,63022,69702,62567,67939,71943,73053,76081
 "21003" ,"Allen, KY",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",17947,18219,18434,18699,18910,19272,19540,19838,19811,20046,20181,20239,20319,20497,20662,20729,20933
 "21003" ,"Allen, KY",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",20710,20094,20031,21401,22235,23070,23789,24568,24327,24585,25717,27204,26820,28563,30038,30369,31222
 "21003" ,"Allen, KY",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",12885,12475,12443,13797,14562,14992,14928,14741,13669,13867,14556,15702,15574,16298,17171,17451,17967
 "21003" ,"Allen, KY",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4183,4523,4612,4900,5229,5638,6059,6877,7684,7810,8038,8058,8167,8950,9385,9394,9620
 "21003" ,"Allen, KY",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",402,436,485,523,570,608,651,711,817,881,920,946,956,935,890,827,818
 "21003" ,"Allen, KY",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",125,167,162,128,100,99,99,155,533,427,308,217,160,76,61,66,70
 "21003" ,"Allen, KY",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3655,3920,3966,4248,4559,4930,5309,6011,6334,6502,6809,6895,7051,7939,8434,8500,8732
 "21003" ,"Allen, KY",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",3643,3096,2975,2704,2444,2440,2802,2951,2975,2908,3123,3444,3079,3315,3482,3524,3635
 "21003" ,"Allen, KY",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",190974,186491,183422,198461,208807,214196,208368,204021,191795,210434,215218,225338,228047,238718,258577,265594,265294
