GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24000" ,"Maryland",2,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",199093345,206990118,216518682,231482039,244346452,257711767,268336421,280308847,278546534,288606603,305178393,314141448,313194782,324968237,341295179,353879629,368258212
 "24000" ,"Maryland",2,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",140435712,147216482,154287079,165078675,173745416,180077407,184887706,190501740,191249214,198363187,209043951,214444311,213550532,218099542,228847785,237792494,247665833
 "24000" ,"Maryland",2,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",19876558,21349685,22982456,23994822,25983818,27037283,29354067,33431772,36015805,39193880,40354720,40768066,42215148,44974384,46840631,49371289,50568478
 "24000" ,"Maryland",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1615172,1743047,1865815,2000096,2207206,2300184,2836392,3049943,3579894,3861374,3944599,4163514,4337031,4420651,4539298,4443955,4350555
 "24000" ,"Maryland",2,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",441280,720701,753720,528957,463783,451485,511389,840735,1858516,1904507,1689927,1543812,1263210,792007,667057,601240,572463
 "24000" ,"Maryland",2,CAINC30,80,"...","  Retirement and other","Thousands of dollars",17820106,18885937,20362921,21465769,23312829,24285614,26006286,29541094,30577395,33427999,34720194,35060740,36614907,39761726,41634276,44326094,45645460
 "24000" ,"Maryland",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",38781075,38423951,39249147,42408542,44617218,50597077,54094648,56375335,51281515,51049536,55779722,58929071,57429102,61894311,65606763,66715846,70023901
 "24000" ,"Maryland",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788099,5843115,5891680,5932654,5970245,6000561,6024752,6052177
 "24000" ,"Maryland",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",37043,38047,39394,41732,43693,45796,47465,49307,48609,49862,52229,53320,52792,54431,56877,58738,60847
 "24000" ,"Maryland",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",26129,27060,28071,29760,31068,32000,32704,33510,33375,34271,35776,36398,35996,36531,38138,39469,40922
 "24000" ,"Maryland",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3698,3924,4181,4326,4646,4805,5192,5881,6285,6771,6906,6920,7116,7533,7806,8195,8355
 "24000" ,"Maryland",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",301,320,339,361,395,409,502,536,625,667,675,707,731,740,756,738,719
 "24000" ,"Maryland",2,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",82,132,137,95,83,80,90,148,324,329,289,262,213,133,111,100,95
 "24000" ,"Maryland",2,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3316,3471,3705,3870,4169,4316,4600,5196,5336,5775,5942,5951,6172,6660,6938,7357,7542
 "24000" ,"Maryland",2,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",7215,7063,7141,7645,7978,8991,9569,9917,8949,8820,9546,10002,9680,10367,10933,11074,11570
 "24000" ,"Maryland",2,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",135214123,142350267,149257050,159796048,168326908,176507608,181509543,188434149,189001776,196499733,205948826,212267693,214205522,220188261,231397701,241167262,251188117
 "24000" ,"Maryland",2,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",99865656,104280405,108724489,115067277,121409934,128331306,134318671,137461051,136268113,139248195,144310937,148855819,150129435,155235862,162450320,167099994,172934830
