GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26000" ,"Michigan",3,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",306609768,306385368,313829827,322531824,329225583,337455775,347081013,354064170,336043470,348673288,370180043,385408269,389319563,407648738,431157244,444531935,460269972
 "26000" ,"Michigan",3,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",212349653,212495673,216097956,221187084,223460887,225144854,226334802,223322873,205923431,213649719,227965692,238126058,240915008,248923945,261882355,271043711,283085592
 "26000" ,"Michigan",3,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",43474910,45062786,47300704,49316942,52448918,55992960,61241712,69712046,77421489,82684863,82541515,82128688,83383089,86771301,91838637,94147561,94679428
 "26000" ,"Michigan",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",3962100,4284923,4598635,4835122,5185379,5364155,6797238,7284988,8572341,9910804,9451559,9378698,8993033,8856404,8777277,8542859,8415661
 "26000" ,"Michigan",3,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",1611595,2354724,2562317,1996353,1831865,1971104,1918935,2807170,6662382,5865756,3862735,2824684,2059448,1090466,922426,894402,822910
 "26000" ,"Michigan",3,CAINC30,80,"...","  Retirement and other","Thousands of dollars",37901215,38423139,40139752,42485467,45431674,48657701,52525539,59619888,62186766,66908303,69227221,69925306,72330608,76824431,82138934,84710300,85440857
 "26000" ,"Michigan",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",50785205,48826909,50431167,52027798,53315778,56317961,59504499,61029251,52698550,52338706,59672836,65153523,65021466,71953492,77436252,79340663,82504952
 "26000" ,"Michigan",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311
 "26000" ,"Michigan",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",30688,30590,31254,32076,32755,33624,34704,35595,33938,35302,37482,38983,39328,41116,43471,44751,46201
 "26000" ,"Michigan",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",21254,21216,21521,21997,22232,22434,22631,22452,20797,21632,23082,24086,24337,25107,26404,27286,28416
 "26000" ,"Michigan",3,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4351,4499,4711,4905,5218,5579,6123,7008,7819,8372,8358,8307,8423,8752,9260,9478,9504
 "26000" ,"Michigan",3,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",397,428,458,481,516,534,680,732,866,1003,957,949,908,893,885,860,845
 "26000" ,"Michigan",3,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",161,235,255,199,182,196,192,282,673,594,391,286,208,110,93,90,83
 "26000" ,"Michigan",3,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3793,3836,3998,4225,4520,4848,5252,5994,6280,6774,7010,7073,7307,7749,8282,8528,8576
 "26000" ,"Michigan",3,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5083,4875,5022,5174,5304,5612,5950,6136,5322,5299,6042,6590,6568,7257,7808,7987,8282
 "26000" ,"Michigan",3,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",237795063,238200642,242133937,248095114,251177994,253368614,254876788,251893313,232680094,240711471,252836143,263944861,271210743,280141212,294516345,304458220,317685251
 "26000" ,"Michigan",3,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",171959344,172325681,175569802,179139670,182331284,183864144,186808220,185467279,170005595,172681332,181926988,189590636,194929435,204207806,214531968,222474525,231748001
 "26000" ,"Michigan",3,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",41536411,42017382,43169865,45603994,47281045,47577680,47513088,46842234,44985980,45908052,46212797,46449498,47009084,47342780,50909750,53097680,55314920
 "26000" ,"Michigan",3,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",28283197,28758519,29680943,31621941,32925502,32979586,32827220,32255877,31487243,32252116,31972984,31526076,31670865,31670207,34647772,36543427,38236504
 "26000" ,"Michigan",3,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",13253214,13258863,13488922,13982053,14355543,14598094,14685868,14586357,13498737,13655936,14239813,14923422,15338219,15672573,16261978,16554253,17078416
 "26000" ,"Michigan",3,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",24299308,23857579,23394270,23351450,21565665,21926790,20555480,19583800,17688519,22122087,24696358,27904727,29272224,28590626,29074627,28886015,30622330
