GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "28000" ,"Mississippi",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",65233626,66372361,68980332,72896083,77774127,81068836,86109772,90038295,88579695,91929304,95844450,99410409,101137034,103504662,104892946,106914943,109324138
 "28000" ,"Mississippi",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",41258253,41735979,43870437,46746638,48748950,50333790,52172583,53856166,51853324,53897130,55925964,58635908,60441619,60962554,60508905,61162591,62647006
 "28000" ,"Mississippi",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",12866967,13814868,14440268,15523008,17459523,17583339,18367902,20791290,22227879,24089814,24934620,24914832,25467690,26380120,27444190,28362099,28631946
 "28000" ,"Mississippi",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1600406,1729018,1861131,1950411,2660336,2140430,2268993,2407026,2848119,3119139,3252078,3332757,3329232,3286823,3281639,3163619,3069418
 "28000" ,"Mississippi",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",192018,271007,269081,191231,229034,187017,163310,247605,620830,637906,504700,414892,330101,167191,130343,129332,110076
 "28000" ,"Mississippi",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",11074543,11814843,12310056,13381366,14570153,15255892,15935599,18136659,18758930,20332769,21177842,21167183,21808357,22926106,24032208,25069148,25452452
 "28000" ,"Mississippi",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",11108406,10821514,10669627,10626437,11565654,13151707,15569287,15390839,14498492,13942360,14983866,15859669,15227725,16161988,16939851,17390253,18045186
 "28000" ,"Mississippi",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970437,2977452,2982963,2987721,2988578,2985297,2985415,2984100
 "28000" ,"Mississippi",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",22865,23218,24049,25232,26764,27907,29406,30544,29938,30948,32190,33326,33851,34633,35137,35812,36636
 "28000" ,"Mississippi",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",14461,14600,15295,16181,16776,17327,17816,18270,17525,18145,18783,19657,20230,20399,20269,20487,20994
 "28000" ,"Mississippi",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4510,4833,5034,5373,6008,6053,6272,7053,7513,8110,8374,8352,8524,8827,9193,9500,9595
 "28000" ,"Mississippi",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",561,605,649,675,915,737,775,817,963,1050,1092,1117,1114,1100,1099,1060,1029
