GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "37000" ,"North Carolina",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",228431654,231805733,241164507,261528394,281072758,305336603,328910081,350372649,337787031,340764297,354294372,379031187,375057001,397410713,419888909,433766368,454306904
 "37000" ,"North Carolina",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",153082958,154938421,161245004,174761819,186671375,202789451,216581913,227955466,214629493,214987758,220647091,239177113,234605276,246251213,258325367,266874634,280401773
 "37000" ,"North Carolina",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",33503736,36263542,38138552,41117125,44630455,48658611,52343524,59450168,66498121,70644179,72377768,73976938,75389933,78423076,82845110,85604648,88932138
 "37000" ,"North Carolina",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",3279397,3916828,4147289,4546826,4991624,5330597,5414797,5943253,7069176,7726248,8018118,8220444,8472518,8570256,8691491,8730624,8343186
 "37000" ,"North Carolina",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",971454,1507818,1419945,1017393,799802,834352,860112,1506930,4297334,4615863,4091940,2837236,1535273,491943,315207,261438,226904
 "37000" ,"North Carolina",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",29252885,30838896,32571318,35552906,38839029,42493662,46068615,51999985,55131611,58302068,60267710,62919258,65382142,69360877,73838412,76612586,80362048
 "37000" ,"North Carolina",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",41844960,40603770,41780951,45649450,49770928,53888541,59984644,62967015,56659417,55132360,61269513,65877136,65061792,72736424,78718432,81287086,84972993
 "37000" ,"North Carolina",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574247,9662940,9755299,9849812,9941160,10041769,10156689,10273419
 "37000" ,"North Carolina",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",27823,27841,28633,30577,32287,34241,36072,37636,35746,35592,36665,38854,38078,39976,41814,42707,44222
 "37000" ,"North Carolina",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",18646,18609,19145,20432,21443,22741,23753,24486,22713,22455,22834,24518,23818,24771,25725,26276,27294
 "37000" ,"North Carolina",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4081,4355,4528,4807,5127,5457,5741,6386,7037,7379,7490,7583,7654,7889,8250,8428,8657
 "37000" ,"North Carolina",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",399,470,492,532,573,598,594,638,748,807,830,843,860,862,866,860,812
 "37000" ,"North Carolina",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",118,181,169,119,92,94,94,162,455,482,423,291,156,49,31,26,22
 "37000" ,"North Carolina",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3563,3704,3867,4157,4461,4765,5052,5586,5834,6089,6237,6450,6638,6977,7353,7543,7822
 "37000" ,"North Carolina",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5097,4877,4961,5337,5717,6043,6579,6764,5996,5758,6341,6753,6605,7317,7839,8003,8271
 "37000" ,"North Carolina",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",174113335,176206894,183376885,197980982,211519107,229570540,245339716,257505459,243168101,243762027,247464422,267072169,266760383,280027813,294005281,303794979,318753696
 "37000" ,"North Carolina",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",132002644,133601815,136786159,144742427,152363869,163308232,173894615,177813382,169548458,173519379,179966208,187090787,192266678,200930443,212837993,221422210,232254845
 "37000" ,"North Carolina",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",28368655,29355964,31554130,33751062,36495383,38612135,40758927,41624851,41906466,42995637,42561463,45279767,45607343,49104151,50644260,50486048,52074563
