GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "38000" ,"North Dakota",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",17126626,17527669,19022151,19341270,20416003,21434059,23798751,26710341,26507437,29446235,32933455,38866357,38867263,41367890,40429686,39766214,39483572
 "38000" ,"North Dakota",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",10833052,11122607,12545880,12749578,13564220,14050940,15652964,17363821,17248528,19459805,21839286,26614364,26089663,27546426,26440049,25526465,24778113
 "38000" ,"North Dakota",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",2536914,2688493,2787647,2947486,3106985,3313944,3552183,4017713,4199860,4543288,4649584,4691885,4856490,5058604,5323543,5531281,5642226
 "38000" ,"North Dakota",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",164864,181173,208771,214446,229485,235826,284439,322521,376565,420701,424170,421296,418927,423013,444752,458672,458744
 "38000" ,"North Dakota",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",36449,59536,59157,44920,44472,44807,47921,58450,126317,119352,94803,83682,101265,80109,115304,147558,109331
 "38000" ,"North Dakota",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",2335601,2447784,2519719,2688120,2833028,3033311,3219823,3636742,3696978,4003235,4130611,4186907,4336298,4555482,4763487,4925051,5074151
 "38000" ,"North Dakota",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",3756660,3716569,3688624,3644206,3744798,4069175,4593604,5328807,5059049,5443142,6444585,7560108,7921110,8762860,8666094,8708468,9063233
 "38000" ,"North Dakota",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",639062,638168,638817,644705,646089,649422,652822,657569,664968,674518,684830,701380,722908,738658,754859,755548,755393
 "38000" ,"North Dakota",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",26800,27466,29777,30000,31599,33005,36455,40620,39863,43655,48090,55414,53765,56004,53559,52632,52269
 "38000" ,"North Dakota",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",16951,17429,19639,19776,20994,21636,23977,26406,25939,28850,31890,37946,36090,37293,35026,33785,32802
 "38000" ,"North Dakota",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3970,4213,4364,4572,4809,5103,5441,6110,6316,6736,6789,6690,6718,6848,7052,7321,7469
 "38000" ,"North Dakota",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",258,284,327,333,355,363,436,490,566,624,619,601,580,573,589,607,607
 "38000" ,"North Dakota",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",57,93,93,70,69,69,73,89,190,177,138,119,140,108,153,195,145
 "38000" ,"North Dakota",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3655,3836,3944,4170,4385,4671,4932,5531,5560,5935,6032,5970,5998,6167,6310,6519,6717
 "38000" ,"North Dakota",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5878,5824,5774,5653,5796,6266,7037,8104,7608,8070,9410,10779,10957,11863,11480,11526,11998
 "38000" ,"North Dakota",4,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",12856596,13217573,14752596,15110796,16053190,16696172,18470052,20387377,20471377,22930401,25785848,31359426,31858373,34047935,32681915,31173364,30659122
 "38000" ,"North Dakota",4,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",8782468,9109550,9558246,10268249,10790387,11508868,12349167,13386188,13622552,14741650,16965876,20175386,21696034,23987242,23432515,21650288,22133075
 "38000" ,"North Dakota",4,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",2018164,2133741,2293151,2430332,2572286,2761787,2897256,3071780,3313430,3560686,3923126,4189442,4594898,5134130,5196363,5296659,5531351
 "38000" ,"North Dakota",4,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",1209814,1289761,1405282,1493630,1606310,1771737,1893421,2010554,2120100,2347476,2457206,2627563,2858699,3154249,3229236,3441109,3571139
 "38000" ,"North Dakota",4,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",808350,843980,887869,936702,965976,990050,1003835,1061226,1193330,1213210,1465920,1561879,1736199,1979881,1967127,1855550,1960212
 "38000" ,"North Dakota",4,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",2055964,1974282,2901199,2412215,2690517,2425517,3223629,3929409,3535395,4628065,4896846,6994598,5567441,4926563,4053037,4226417,2994696
 "38000" ,"North Dakota",4,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",639231,454908,1362486,788674,990474,589341,1443665,2116184,1331972,1894089,1741066,3224178,1592275,503367,61377,600565,-164982
 "38000" ,"North Dakota",4,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",1416733,1519374,1538713,1623541,1700043,1836176,1779964,1813225,2203423,2733976,3155780,3770420,3975166,4423196,3991660,3625852,3159678
 "38000" ,"North Dakota",4,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",445433,442537,443699,453086,461645,471138,482505,491898,492417,503813,529779,567388,587398,608318,599278,579244,578334
 "38000" ,"North Dakota",4,CAINC30,250,"..."," Wage and salary employment","Number of jobs",344694,345912,347433,355611,361718,369207,375055,383039,381991,392040,412875,447229,463244,480665,471312,450659,447667
 "38000" ,"North Dakota",4,CAINC30,260,"..."," Proprietors employment","Number of jobs",100739,96625,96266,97475,99927,101931,107450,108859,110426,111773,116904,120159,124154,127653,127966,128585,130667
 "38000" ,"North Dakota",4,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",31963,28244,26833,26249,26127,25615,26867,26927,26856,26923,27000,26795,26956,26533,26404,26200,26283
 "38000" ,"North Dakota",4,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",68776,68381,69433,71226,73800,76316,80583,81932,83570,84850,89904,93364,97198,101120,101562,102385,104384
 "38000" ,"North Dakota",4,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",28863,29868,33249,33351,34774,35438,38280,41446,41573,45514,48673,55270,54236,55971,54535,53817,53013
