GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "31000" ,"Nebraska",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",52059513,52986800,56258157,58622012,60704758,63574961,68559242,72396883,71199670,74787258,83473721,86117825,86682705,91844560,95454467,94730785,97556547
 "31000" ,"Nebraska",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",34158894,34824264,37441757,39616353,40782430,41857078,44734702,46477722,46545199,49251501,56429782,57179709,58525410,61789759,63532609,61760195,63236009
 "31000" ,"Nebraska",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",6720111,7145992,7453721,7809676,8268050,8933169,9420892,10581736,11053167,11868384,12092498,12183806,12333875,12824898,13458470,14001796,14549662
 "31000" ,"Nebraska",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",466891,572522,612320,676124,742763,790205,787059,828295,949206,1069035,1101677,1109408,1128609,1137540,1147634,1170456,1157012
 "31000" ,"Nebraska",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",87525,147486,170093,132674,116958,94987,97046,137190,296088,357036,304007,229139,152352,106357,93562,84625,83241
 "31000" ,"Nebraska",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",6165695,6425984,6671308,7000878,7408329,8047977,8536787,9616251,9807873,10442313,10686814,10845259,11052914,11581001,12217274,12746715,13309409
 "31000" ,"Nebraska",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",11180508,11016544,11362679,11195983,11654278,12784714,14403648,15337425,13601304,13667373,14951441,16754310,15823420,17229903,18463388,18968794,19770876
 "31000" ,"Nebraska",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829956,1841641,1854862,1867414,1880920,1893564,1907603,1920076
 "31000" ,"Nebraska",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",30270,30658,32358,33510,34462,35863,38442,40302,39279,40868,45326,46428,46419,48830,50410,49660,50809
 "31000" ,"Nebraska",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",19862,20150,21535,22646,23152,23612,25083,25873,25678,26914,30641,30827,31340,32851,33552,32376,32934
 "31000" ,"Nebraska",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3907,4135,4287,4464,4694,5039,5282,5891,6098,6486,6566,6569,6605,6818,7107,7340,7578
 "31000" ,"Nebraska",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",271,331,352,386,422,446,441,461,524,584,598,598,604,605,606,614,603
 "31000" ,"Nebraska",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",51,85,98,76,66,54,54,76,163,195,165,124,82,57,49,44,43
 "31000" ,"Nebraska",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3585,3718,3837,4002,4206,4540,4787,5353,5411,5706,5803,5847,5919,6157,6452,6682,6932
 "31000" ,"Nebraska",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6501,6374,6535,6400,6616,7212,8076,8538,7503,7469,8119,9033,8473,9160,9751,9944,10297
 "31000" ,"Nebraska",4,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",39445872,40300632,43121568,45517169,46943966,48330065,51528983,53500961,53557480,56418211,63125724,64076841,66255020,69825518,71928996,70332098,72246213
 "31000" ,"Nebraska",4,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",27997991,28849063,29908674,31274516,32450903,34293258,36271668,37603434,37040382,37485365,38569308,40467271,41515889,43426263,45752224,46852649,48428428
 "31000" ,"Nebraska",4,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",6310047,6825431,7240982,7660985,8147710,8390844,8757462,9062703,9256313,9121950,9374359,10140087,10205447,10871746,10854603,11331333,11819605
 "31000" ,"Nebraska",4,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",4180844,4610864,4942845,5269702,5629920,5676025,5970109,6193120,6403948,6104299,6292174,6990657,7039300,7542413,7390978,7800180,8132226
 "31000" ,"Nebraska",4,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",2129203,2214567,2298137,2391283,2517790,2714819,2787353,2869583,2852365,3017651,3082185,3149430,3166147,3329333,3463625,3531153,3687379
 "31000" ,"Nebraska",4,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",5137834,4626138,5971912,6581668,6345353,5645963,6499853,6834824,7260785,9810896,15182057,13469483,14533684,15527509,15322169,12148116,11998180
 "31000" ,"Nebraska",4,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",1397616,681286,2228671,2345987,2616033,1187902,2261520,2472689,2139496,2620714,5873740,3996740,6194784,5163973,4563373,3260994,2853977
 "31000" ,"Nebraska",4,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",3740218,3944852,3743241,4235681,3729320,4458061,4238333,4362135,5121289,7190182,9308317,9472743,8338900,10363536,10758796,8887122,9144203
 "31000" ,"Nebraska",4,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",1175112,1165989,1169200,1180180,1192178,1208025,1230935,1237365,1223177,1219802,1232457,1251258,1266477,1283095,1303417,1311914,1319214
 "31000" ,"Nebraska",4,CAINC30,250,"..."," Wage and salary employment","Number of jobs",951554,945677,948562,955181,962567,972964,986050,990945,969796,966605,970527,988861,1000260,1013641,1030768,1036447,1040572
 "31000" ,"Nebraska",4,CAINC30,260,"..."," Proprietors employment","Number of jobs",223558,220312,220638,224999,229611,235061,244885,246420,253381,253197,261930,262397,266217,269454,272649,275467,278642
 "31000" ,"Nebraska",4,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",49442,44096,41715,40622,40270,39165,39018,39564,40013,41220,41738,41806,41883,41485,41203,40902,40048
 "31000" ,"Nebraska",4,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",174116,176216,178923,184377,189341,195896,205867,206856,213368,211977,220192,220591,224334,227969,231446,234565,238594
 "31000" ,"Nebraska",4,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",33568,34563,36881,38568,39377,40008,41862,43238,43786,46252,51219,51210,52314,54420,55185,53610,54765
 "31000" ,"Nebraska",4,CAINC30,300,"..."," Average wages and salaries","Dollars",29423,30506,31531,32742,33713,35246,36785,37947,38194,38780,39741,40923,41505,42842,44387,45205,46540
 "31000" ,"Nebraska",4,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",21481,22386,20921,22973,19696,22757,20588,21088,24002,33920,42274,42943,37172,45460,46485,37888,38325
 "31001" ,"Adams, NE",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",852950,862950,911943,909383,964442,993665,1093345,1134328,1126083,1151348,1280481,1357166,1350430,1418611,1479964,1443591,1493859
 "31001" ,"Adams, NE",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",506755,516139,546024,559116,589314,596982,660091,656337,660179,676321,764126,819616,823522,851392,888062,849881,875264
 "31001" ,"Adams, NE",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",139081,143224,148856,159050,166895,179550,191207,211504,222162,231404,236312,232296,237176,251141,261401,271548,282454
 "31001" ,"Adams, NE",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",8063,9652,10509,11617,12998,14123,13923,14791,17035,19677,20083,19981,20457,20235,20286,20999,20882
 "31001" ,"Adams, NE",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",1501,2525,3036,2250,1799,1509,1535,2215,5566,5856,4708,3523,2345,1746,1563,1385,1406
 "31001" ,"Adams, NE",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",129517,131047,135311,145183,152098,163918,175749,194498,199561,205871,211521,208792,214374,229160,239552,249164,260166
 "31001" ,"Adams, NE",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",207114,203587,217063,191217,208233,217133,242047,266487,243742,243623,280043,305254,289732,316078,330501,322162,336141
 "31001" ,"Adams, NE",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",31021,30716,30693,30740,30987,30910,30892,31160,31280,31324,31206,31369,31547,31387,31549,31657,31678
 "31001" ,"Adams, NE",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",27496,28094,29712,29583,31124,32147,35392,36403,36000,36756,41033,43265,42807,45197,46910,45601,47158
 "31001" ,"Adams, NE",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",16336,16804,17790,18189,19018,19314,21368,21063,21105,21591,24487,26128,26105,27126,28149,26847,27630
 "31001" ,"Adams, NE",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4483,4663,4850,5174,5386,5809,6190,6788,7102,7387,7573,7405,7518,8001,8286,8578,8916
 "31001" ,"Adams, NE",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",260,314,342,378,419,457,451,475,545,628,644,637,648,645,643,663,659
 "31001" ,"Adams, NE",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",48,82,99,73,58,49,50,71,178,187,151,112,74,56,50,44,44
 "31001" ,"Adams, NE",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4175,4266,4409,4723,4908,5303,5689,6242,6380,6572,6778,6656,6795,7301,7593,7871,8213
 "31001" ,"Adams, NE",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6677,6628,7072,6220,6720,7025,7835,8552,7792,7778,8974,9731,9184,10070,10476,10177,10611
 "31001" ,"Adams, NE",4,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",601299,612730,640290,658233,692624,708138,781290,770642,769365,778222,849845,904937,908355,939756,978152,945449,976902
 "31001" ,"Adams, NE",4,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",419229,427423,430005,448050,461785,486787,532983,528327,527593,528229,536148,575553,576349,603004,621072,636508,658751
 "31001" ,"Adams, NE",4,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",98422,105812,108163,115503,121227,123976,131954,132249,137852,132680,134328,149085,146329,156977,153305,161248,167663
 "31001" ,"Adams, NE",4,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",66918,73321,75450,81725,85928,86348,91844,92664,97447,90799,92410,104967,103209,111705,107519,114231,118247
 "31001" ,"Adams, NE",4,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",31504,32491,32713,33778,35299,37628,40110,39585,40405,41881,41918,44118,43120,45272,45786,47017,49416
 "31001" ,"Adams, NE",4,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",83648,79495,102122,94680,109612,97375,116353,110066,103920,117313,179369,180299,185677,179775,203775,147693,150488
