GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34000" ,"New Jersey",2,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",342293012,347247711,356002789,372881881,386942679,415978699,440854819,453338638,439321775,452322582,473913422,491656697,496305885,519814631,542404707,555804578,581198556
 "34000" ,"New Jersey",2,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",240699828,245294051,252554113,265317210,275330937,292170815,307018850,310478292,298167621,307720713,320701525,332691246,338656905,352246233,364808268,372876310,392100828
 "34000" ,"New Jersey",2,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",39197755,42402157,42878189,43454624,45759614,49687435,52054827,58727825,65264389,70718251,71453765,70323025,70981293,73847431,76984277,80085307,81904905
 "34000" ,"New Jersey",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",2299864,2489234,2707136,2895615,3331214,3676611,4048900,4565498,5366092,6115174,6616697,6810138,6911732,7087112,7444345,7604124,7501265
 "34000" ,"New Jersey",2,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",1575957,2866647,2680731,1975672,1772332,1732880,1887795,2855145,6868929,7625601,6271017,5258249,4089470,2241306,1997585,1916058,1899570
 "34000" ,"New Jersey",2,CAINC30,80,"...","  Retirement and other","Thousands of dollars",35321934,37046276,37490322,38583337,40656068,44277944,46118132,51307182,53029368,56977476,58566051,58254638,59980091,64519013,67542347,70565125,72504070
 "34000" ,"New Jersey",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",62395429,59551503,60570487,64110047,65852128,74120449,81781142,84132521,75889765,73883618,81758132,88642426,86667687,93720967,100612162,102842961,107192823
 "34000" ,"New Jersey",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8803708,8844694,8882095,8913735,8943010,8960001,8978416,9005644
 "34000" ,"New Jersey",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",40305,40601,41389,43185,44723,48025,50802,52042,50176,51379,53582,55354,55679,58125,60536,61905,64537
 "34000" ,"New Jersey",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",28342,28680,29362,30727,31823,33731,35379,35642,34054,34954,36259,37456,37993,39388,40715,41530,43539
 "34000" ,"New Jersey",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4615,4958,4985,5033,5289,5736,5999,6742,7454,8033,8079,7917,7963,8258,8592,8920,9095
 "34000" ,"New Jersey",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",271,291,315,335,385,424,467,524,613,695,748,767,775,792,831,847,833
