GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "32000" ,"Nevada",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",68036359,69976288,74570433,83003177,93328783,100381179,104455400,102762941,97544377,101205240,105185412,109445768,109901308,117422470,126929949,130756841,138386430
 "32000" ,"Nevada",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",46896086,47986681,50664051,56281096,62536667,67342036,69016128,65756879,61382679,63954248,65997867,66694473,67945750,70529821,75012202,76622700,81732669
 "32000" ,"Nevada",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",6789123,7651234,8218834,8876039,9577300,10349285,11313962,13361515,15265332,16826472,17051067,17195022,17575538,19019471,20833932,21953578,22928682
 "32000" ,"Nevada",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",467712,583837,669204,718052,825611,864641,999981,1135742,1452023,1656700,1799090,1836445,1917752,2006820,2129317,2186600,2187755
 "32000" ,"Nevada",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",296046,433539,390250,284840,238346,255573,340415,671903,1797975,1979777,1463899,1071342,768860,415447,383734,344457,321074
 "32000" ,"Nevada",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",6025365,6633858,7159380,7873147,8513343,9229071,9973566,11553870,12015334,13189995,13788078,14287235,14888926,16597204,18320881,19422521,20419853
 "32000" ,"Nevada",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",14351150,14338373,15687548,17846042,21214816,22689858,24125310,23644547,20896366,20424520,22136478,25556273,24380020,27873178,31083815,32180563,33725079
 "32000" ,"Nevada",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702797,2718170,2752410,2786547,2831730,2883057,2939254,2998039
 "32000" ,"Nevada",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",32423,32191,33159,35377,38373,39792,40159,38725,36334,37445,38697,39764,39440,41467,44026,44486,46159
 "32000" ,"Nevada",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",22349,22075,22529,23988,25713,26695,26534,24780,22864,23662,24280,24231,24383,24907,26018,26069,27262
 "32000" ,"Nevada",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3235,3520,3655,3783,3938,4103,4350,5035,5686,6226,6273,6247,6307,6717,7226,7469,7648
 "32000" ,"Nevada",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",223,269,298,306,339,343,384,428,541,613,662,667,688,709,739,744,730
 "32000" ,"Nevada",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",141,199,174,121,98,101,131,253,670,732,539,389,276,147,133,117,107
 "32000" ,"Nevada",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",2871,3052,3184,3356,3500,3658,3834,4354,4476,4880,5073,5191,5343,5861,6355,6608,6811
 "32000" ,"Nevada",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6839,6596,6976,7606,8723,8994,9275,8910,7784,7557,8144,9285,8749,9843,10782,10949,11249
 "32000" ,"Nevada",8,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",52541924,53832018,56641413,62868066,69781044,75566961,77595255,73776095,69109233,71517301,73058421,74125264,76087846,79519959,84531531,86530975,91956158
 "32000" ,"Nevada",8,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",36852313,37965503,40627048,45343776,50049957,54075727,57353712,57384305,51922380,50359542,51506997,53046889,54921178,57695396,60890928,64252648,67629817
 "32000" ,"Nevada",8,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",8221047,8533107,9336195,10203617,11240543,11785444,12463984,12514528,12447315,12872349,12258785,12810745,12757901,14521760,15393122,15098145,15733138
 "32000" ,"Nevada",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",5595879,5815943,6588008,7209520,7952233,7981698,8463619,8781122,8868737,9389289,8483666,8790804,8858471,10260074,10836054,10369037,10835594
 "32000" ,"Nevada",8,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",2625168,2717164,2748187,2994097,3288310,3803746,4000365,3733406,3578578,3483060,3775119,4019941,3899430,4261686,4557068,4729108,4897544
 "32000" ,"Nevada",8,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",7468564,7333408,6678170,7320673,8490544,9705790,7777559,3877262,4739538,8285410,9292639,8267630,8408767,7302803,8247481,7180182,8593203
 "32000" ,"Nevada",8,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",58846,25174,34618,63765,63338,59582,16061,71728,40626,69146,131482,23070,14858,134249,85267,-8818,-3007
 "32000" ,"Nevada",8,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",7409718,7308234,6643552,7256908,8427206,9646208,7761498,3805534,4698912,8216264,9161157,8244560,8393909,7168554,8162214,7189000,8596210
 "32000" ,"Nevada",8,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",1285310,1299543,1353123,1441158,1533724,1604488,1643860,1619014,1512913,1478054,1501839,1519198,1561388,1610463,1665161,1724769,1775729
 "32000" ,"Nevada",8,CAINC30,250,"..."," Wage and salary employment","Number of jobs",1081457,1085051,1122817,1190151,1259506,1316861,1330265,1301090,1185067,1153901,1161009,1179620,1207788,1251274,1292456,1329421,1371359
 "32000" ,"Nevada",8,CAINC30,260,"..."," Proprietors employment","Number of jobs",203853,214492,230306,251007,274218,287627,313595,317924,327846,324153,340830,339578,353600,359189,372705,395348,404370
 "32000" ,"Nevada",8,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",2942,2912,2776,2710,2699,2641,2728,2868,3026,3254,3388,3553,3607,3652,3678,3499,3499
 "32000" ,"Nevada",8,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",200911,211580,227530,248297,271519,284986,310867,315056,324820,320899,337442,336025,349993,355537,369027,391849,400871
 "32000" ,"Nevada",8,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",40879,41424,41860,43623,45498,47097,47203,45569,45680,48386,48646,48792,48731,49377,50765,50170,51785
 "32000" ,"Nevada",8,CAINC30,300,"..."," Average wages and salaries","Dollars",34077,34990,36183,38099,39738,41064,43115,44105,43814,43643,44364,44969,45473,46109,47113,48331,49316
 "32000" ,"Nevada",8,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",36881,34541,29199,29227,31037,33848,24967,12079,14466,25604,27149,24536,23983,20163,22118,18346,21444
 "32001" ,"Churchill, NV",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",608263,621399,656507,712561,760320,771760,784219,809489,794450,831182,867577,862087,866890,907890,940319,945897,1001482
