GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41000" ,"Oregon",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",100607352,101865434,105562242,111488116,117144737,127973779,133838507,139499803,134830942,138328202,146081624,154066838,156644028,167977534,181022258,189644395,199422200
 "41000" ,"Oregon",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",66341707,67099628,69475077,73618243,77425616,83428600,86189417,86840970,81938949,83625868,88326059,93868185,95659001,100764936,108290934,114093853,121153627
 "41000" ,"Oregon",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",14652391,15820822,16259022,16729645,17668973,19004425,20420803,23710498,27081083,29281723,29686568,29659117,30748888,33497753,35680605,36750547,37699851
 "41000" ,"Oregon",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1132897,1275185,1403587,1515214,1715540,1837340,1940252,2234947,2758276,3112303,3187666,3221984,3225195,3201698,3252743,3118134,3059721
 "41000" ,"Oregon",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",667258,1242124,1304910,722974,568541,514125,562125,989243,2619435,2573577,2000064,1511291,1107503,607031,552778,515496,509783
 "41000" ,"Oregon",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",12852236,13303513,13550525,14491457,15384892,16652960,17918426,20486308,21703372,23595843,24498838,24925842,26416190,29689024,31875084,33116917,34130347
 "41000" ,"Oregon",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",19613254,18944984,19828143,21140228,22050148,25540754,27228287,28948335,25810910,25420611,28068997,30539536,30236139,33714845,37050719,38799995,40568722
 "41000" ,"Oregon",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837073,3865845,3893920,3919664,3960673,4016537,4085989,4142776
 "41000" ,"Oregon",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",29011,28993,29758,31234,32421,34862,35955,37015,35402,36050,37788,39566,39964,42411,45069,46413,48137
 "41000" ,"Oregon",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",19130,19098,19585,20624,21429,22727,23154,23042,21514,21794,22848,24106,24405,25441,26961,27923,29245
