GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42000" ,"Pennsylvania",2,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",388669348,396187846,409648567,433409619,451890329,476852941,506498986,524359554,511713893,533828376,562622067,587095666,592172266,617895532,642622555,657164756,682533744
 "42000" ,"Pennsylvania",2,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",257149816,263401030,273276019,292725162,304507203,315100026,330715784,336559146,325291815,341191123,360907862,374718270,383588679,396608281,410102694,416056773,435019061
 "42000" ,"Pennsylvania",2,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",61874046,65647234,68278371,70831233,76100958,79916045,85366941,95049416,103529128,110981577,111505992,111614485,113314946,116959261,122602872,129118620,129731134
 "42000" ,"Pennsylvania",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",4450466,4828622,5149079,5664722,6168591,6478436,7086708,7527287,8794768,10025577,10244892,10592993,10694332,11031891,11436042,11532181,11465037
 "42000" ,"Pennsylvania",2,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",2237198,3467254,3612429,2477231,2164494,2134067,2321396,3414406,8046884,8279698,6524054,5389175,4067130,2371784,2228207,2227314,1922481
 "42000" ,"Pennsylvania",2,CAINC30,80,"...","  Retirement and other","Thousands of dollars",55186382,57351358,59516863,62689280,67767873,71303542,75958837,84107723,86687476,92676302,94737046,95632317,98553484,103555586,108938623,115359125,116343616
 "42000" ,"Pennsylvania",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",69645486,67139582,68094177,69853224,71282168,81836870,90416261,92750992,82892950,81655676,90208213,100762911,95268641,104327990,109916989,111989363,117783549
 "42000" ,"Pennsylvania",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537
 "42000" ,"Pennsylvania",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",31602,32129,33104,34922,36296,38115,40314,41575,40398,41997,44152,45982,46341,48310,50240,51393,53300
 "42000" ,"Pennsylvania",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",20908,21361,22084,23586,24458,25186,26323,26685,25681,26842,28322,29348,30018,31008,32062,32537,33971
 "42000" ,"Pennsylvania",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",5031,5324,5518,5707,6113,6388,6795,7536,8173,8731,8751,8742,8868,9144,9585,10098,10131
 "42000" ,"Pennsylvania",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",362,392,416,456,495,518,564,597,694,789,804,830,837,863,894,902,895
 "42000" ,"Pennsylvania",2,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",182,281,292,200,174,171,185,271,635,651,512,422,318,185,174,174,150
 "42000" ,"Pennsylvania",2,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4487,4651,4810,5051,5443,5699,6046,6669,6844,7291,7435,7490,7712,8096,8517,9022,9085
 "42000" ,"Pennsylvania",2,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5663,5445,5503,5628,5725,6541,7196,7354,6544,6424,7079,7892,7455,8157,8593,8758,9198
 "42000" ,"Pennsylvania",2,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",284766797,291631040,301827246,322209692,334764226,346781964,363056377,369777165,359223438,375547689,392459733,406814955,422098081,435888022,451350843,457623648,478607219
 "42000" ,"Pennsylvania",2,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",201372357,204938525,210524511,220396880,228655218,240662261,253535070,260394631,254388682,259595661,269701053,279980544,285209188,296358169,308301978,312463998,324817742
 "42000" ,"Pennsylvania",2,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",50558323,52487754,55005492,58595313,61872885,65195593,66907542,68007115,67070800,69787014,72392753,71439516,76052714,76092133,79165222,78503407,81883816
 "42000" ,"Pennsylvania",2,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",34734278,36359130,38458347,41342031,43632747,46186552,47371297,47967516,47364867,49491172,51138234,49591864,53532485,52874323,55055837,54073230,56336308
