GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "44000" ,"Rhode Island",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",33634810,35028014,36808992,38731847,39561871,41658720,43401302,44085524,42946742,45154778,46933338,48717840,48777089,50903104,53005809,53730946,55933966
 "44000" ,"Rhode Island",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",21806736,22939105,24168387,25529982,26042549,27226257,27700912,27308172,26260471,27835860,28974352,30337264,30480549,31316451,32501699,32947816,34216524
 "44000" ,"Rhode Island",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",5504910,5744226,5904767,6298216,6548823,6786038,7436311,8261558,8963434,9534245,9617874,9489685,9629373,10317908,10685509,10737334,11205972
 "44000" ,"Rhode Island",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",471113,497499,516653,533319,574920,575481,730143,730120,865722,989806,1037805,1071765,1142114,1110650,1144404,1156760,1144216
 "44000" ,"Rhode Island",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",186711,257698,260944,213929,204009,201383,234282,345245,704960,705861,605382,491527,332987,191541,165420,157220,151847
 "44000" ,"Rhode Island",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",4847086,4989029,5127170,5550968,5769894,6009174,6471886,7186193,7392752,7838578,7974687,7926393,8154272,9015717,9375685,9423354,9909909
 "44000" ,"Rhode Island",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",6323164,6344683,6735838,6903649,6970499,7646425,8264079,8515794,7722837,7784673,8341112,8890891,8667167,9268745,9818601,10045796,10511470
 "44000" ,"Rhode Island",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053169,1052154,1052761,1052784,1054782,1055916,1057566,1059639
 "44000" ,"Rhode Island",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",31817,32859,34358,36044,37046,39186,41049,41787,40760,42875,44607,46276,46332,48259,50199,50806,52786
 "44000" ,"Rhode Island",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",20628,21519,22559,23758,24386,25610,26199,25884,24923,26431,27538,28817,28952,29690,30781,31154,32291
 "44000" ,"Rhode Island",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",5207,5389,5512,5861,6132,6383,7033,7831,8507,9053,9141,9014,9147,9782,10120,10153,10575
 "44000" ,"Rhode Island",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",446,467,482,496,538,541,691,692,822,940,986,1018,1085,1053,1084,1094,1080
 "44000" ,"Rhode Island",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",177,242,244,199,191,189,222,327,669,670,575,467,316,182,157,149,143
 "44000" ,"Rhode Island",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4585,4680,4786,5166,5403,5653,6121,6812,7016,7443,7579,7529,7745,8547,8879,8910,9352
 "44000" ,"Rhode Island",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5981,5952,6287,6425,6527,7193,7816,8072,7330,7392,7928,8445,8233,8787,9299,9499,9920
 "44000" ,"Rhode Island",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",23244151,24486338,25913995,27217979,28009041,29368890,29871416,29746729,28713361,30603690,31192617,32495196,33183036,34452484,35580450,35942075,37041215
 "44000" ,"Rhode Island",1,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",16763538,17443303,18452237,19217766,19811576,20801315,21408215,21669683,20912097,21481423,22013852,22662023,23449465,24574625,25602408,26109525,27035740
 "44000" ,"Rhode Island",1,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",3875163,4171718,4428720,4733389,4995155,5307716,5486061,5560286,5306387,5778230,5610888,5639224,5716334,5920470,6086246,6186522,6407772
 "44000" ,"Rhode Island",1,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",2519605,2787658,2970786,3204240,3400808,3631310,3781945,3841770,3598344,4006132,3790664,3756861,3780571,3902131,3977704,4049282,4226190
 "44000" ,"Rhode Island",1,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",1355558,1384060,1457934,1529149,1594347,1676406,1704116,1718516,1708043,1772098,1820224,1882363,1935763,2018339,2108542,2137240,2181582
 "44000" ,"Rhode Island",1,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",2605450,2871317,3033038,3266824,3202310,3259859,2977140,2516760,2494877,3344037,3567877,4193949,4017237,3957389,3891796,3646028,3597703
 "44000" ,"Rhode Island",1,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",3252,3932,6341,8656,10605,7209,5635,9446,10977,10910,8672,6160,5673,576,14591,1936,2378
 "44000" ,"Rhode Island",1,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",2602198,2867385,3026697,3258168,3191705,3252650,2971505,2507314,2483900,3333127,3559205,4187789,4011564,3956813,3877205,3644092,3595325
 "44000" ,"Rhode Island",1,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",585235,588132,594108,602399,605736,611123,617985,608905,588284,586363,591692,592978,602429,613264,627005,632532,639149
 "44000" ,"Rhode Island",1,CAINC30,250,"..."," Wage and salary employment","Number of jobs",498580,498821,502188,505747,505702,508017,508026,497535,475472,474027,475367,477449,483908,491596,499350,502469,506216
 "44000" ,"Rhode Island",1,CAINC30,260,"..."," Proprietors employment","Number of jobs",86655,89311,91920,96652,100034,103106,109959,111370,112812,112336,116325,115529,118521,121668,127655,130063,132933
 "44000" ,"Rhode Island",1,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",770,766,725,702,691,669,938,942,997,1021,1043,1047,1072,1064,1086,1085,1084
 "44000" ,"Rhode Island",1,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",85885,88545,91195,95950,99343,102437,109021,110428,111815,111315,115282,114482,117449,120604,126569,128978,131849
 "44000" ,"Rhode Island",1,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",39718,41634,43618,45183,46240,48057,48337,48853,48809,52192,52718,54800,55082,56179,56747,56823,57954
 "44000" ,"Rhode Island",1,CAINC30,300,"..."," Average wages and salaries","Dollars",33623,34969,36744,37999,39176,40946,42140,43554,43982,45317,46309,47465,48459,49989,51271,51962,53408
 "44000" ,"Rhode Island",1,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",30299,32383,33189,33957,32128,31753,27256,22705,22214,29943,30874,36580,34156,32808,30633,28254,27269
 "44001" ,"Bristol, RI",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2118009,2193471,2299371,2463154,2528208,2747995,2914397,2925104,2740975,2982658,3016996,3224532,3159820,3265112,3449630,3565832,3724562
 "44001" ,"Bristol, RI",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",1312905,1379919,1439352,1504840,1523478,1594881,1665446,1658403,1635458,1696649,1802753,1897731,1888953,1958258,2053448,2155012,2250527
 "44001" ,"Bristol, RI",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",222936,232015,235349,248128,261813,280511,298809,338151,366456,383634,383563,383079,389748,406598,422507,429157,445086
 "44001" ,"Bristol, RI",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",8467,9063,9309,9610,11499,11849,14040,14153,16592,19507,20419,20789,22102,21366,21956,22550,22348
 "44001" ,"Bristol, RI",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",7315,10864,10938,9024,8534,8476,9526,14274,30911,29873,25002,20262,13846,7630,6675,6372,6136
 "44001" ,"Bristol, RI",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",207154,212088,215102,229494,241780,260186,275243,309724,318953,334254,338142,342028,353800,377602,393876,400235,416602
 "44001" ,"Bristol, RI",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",582168,581537,624670,710186,742917,872603,950142,928550,739061,902375,830680,943722,881119,900256,973675,981663,1028949
 "44001" ,"Bristol, RI",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",50942,51850,51658,52213,51667,50996,50914,50668,50075,49808,49212,49214,49207,49047,49096,48878,48912
 "44001" ,"Bristol, RI",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",41577,42304,44511,47175,48933,53886,57242,57731,54737,59883,61306,65521,64215,66571,70263,72954,76148
 "44001" ,"Bristol, RI",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",25773,26614,27863,28821,29486,31275,32711,32731,32660,34064,36632,38561,38388,39926,41825,44090,46012
 "44001" ,"Bristol, RI",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4376,4475,4556,4752,5067,5501,5869,6674,7318,7702,7794,7784,7921,8290,8606,8780,9100
 "44001" ,"Bristol, RI",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",166,175,180,184,223,232,276,279,331,392,415,422,449,436,447,461,457
 "44001" ,"Bristol, RI",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",144,210,212,173,165,166,187,282,617,600,508,412,281,156,136,130,125
 "44001" ,"Bristol, RI",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4066,4090,4164,4395,4680,5102,5406,6113,6370,6711,6871,6950,7190,7699,8023,8188,8517
 "44001" ,"Bristol, RI",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",11428,11216,12092,13602,14379,17111,18662,18326,14759,18117,16880,19176,17906,18355,19832,20084,21037
 "44001" ,"Bristol, RI",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",679831,726084,776308,808167,828445,861404,891527,903323,869112,891415,900938,937860,951008,995502,1013324,1024013,1048525
 "44001" ,"Bristol, RI",1,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",421195,442438,483909,506598,526150,541608,569148,581772,547782,546573,549245,558619,585590,617377,639175,644230,653784
 "44001" ,"Bristol, RI",1,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",100157,108196,119449,129577,137250,142680,150499,155671,145595,155368,146981,147015,149997,158503,160414,163359,162817
 "44001" ,"Bristol, RI",1,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",64797,72103,80069,87770,93006,97058,103544,107554,99081,107980,99080,98319,99404,106008,106212,108993,108160
 "44001" ,"Bristol, RI",1,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",35360,36093,39380,41807,44244,45622,46955,48117,46514,47388,47901,48696,50593,52495,54202,54366,54657
 "44001" ,"Bristol, RI",1,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",158479,175450,172950,171992,165045,177116,171880,165880,175735,189474,204712,232226,215421,219622,213735,216424,231924
 "44001" ,"Bristol, RI",1,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",173,189,206,254,469,217,-89,109,310,485,616,603,817,548,1207,695,724
 "44001" ,"Bristol, RI",1,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",158306,175261,172744,171738,164576,176899,171969,165771,175425,188989,204096,231623,214604,219074,212528,215729,231200
 "44001" ,"Bristol, RI",1,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",20426,20783,21705,22296,22458,22628,23337,23225,22420,22042,21930,21862,22397,22775,23099,23281,23350
 "44001" ,"Bristol, RI",1,CAINC30,250,"..."," Wage and salary employment","Number of jobs",15104,15341,16066,16343,16350,16366,16577,16442,15483,15141,14915,14795,15211,15340,15229,15333,15239
 "44001" ,"Bristol, RI",1,CAINC30,260,"..."," Proprietors employment","Number of jobs",5322,5442,5639,5953,6108,6262,6760,6783,6937,6901,7015,7067,7186,7435,7870,7948,8111
 "44001" ,"Bristol, RI",1,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",36,34,31,30,29,28,39,36,36,35,33,33,33,33,32,32,32
 "44001" ,"Bristol, RI",1,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",5286,5408,5608,5923,6079,6234,6721,6747,6901,6866,6982,7034,7153,7402,7838,7916,8079
 "44001" ,"Bristol, RI",1,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",33283,34936,35766,36247,36889,38068,38202,38894,38765,40442,41082,42899,42461,43710,43869,43985,44905
 "44001" ,"Bristol, RI",1,CAINC30,300,"..."," Average wages and salaries","Dollars",27886,28840,30120,30998,32180,33093,34334,35383,35380,36099,36825,37757,38498,40246,41971,42016,42902
 "44001" ,"Bristol, RI",1,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",29948,32408,30803,28995,27073,28376,25587,24570,25420,27525,29232,32929,30002,29597,27115,27252,28617
 "44003" ,"Kent, RI",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",5653453,5932077,6261233,6568802,6688450,7023973,7288291,7452883,7317000,7491448,7876600,8116351,8190829,8528234,8889986,8957180,9333685
 "44003" ,"Kent, RI",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",3917462,4148046,4378288,4657064,4723079,4899719,4991320,4984707,4807085,4956231,5196480,5409439,5479830,5574392,5809426,5865096,6111173
 "44003" ,"Kent, RI",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",818599,856841,892521,937161,981008,1041434,1119634,1255076,1368650,1469643,1480692,1493120,1505786,1592894,1654333,1671277,1737902
 "44003" ,"Kent, RI",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",46122,49253,50760,52861,57813,58600,73653,73634,87711,101884,105687,109799,116020,112452,116339,118739,118506
 "44003" ,"Kent, RI",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",28644,40798,41327,34291,32680,31610,37573,55188,115110,117036,97327,78536,52154,29787,25257,23418,22840
 "44003" ,"Kent, RI",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",743833,766790,800434,850009,890515,951224,1008408,1126254,1165829,1250723,1277678,1304785,1337612,1450655,1512737,1529120,1596556
 "44003" ,"Kent, RI",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",917392,927190,990424,974577,984363,1082820,1177337,1213100,1141265,1065574,1199428,1213792,1205213,1360948,1426227,1420807,1484610
 "44003" ,"Kent, RI",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",168516,169478,170641,170539,169815,168522,167515,167269,166766,166023,165230,164608,164356,164513,163740,163690,163760
 "44003" ,"Kent, RI",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",33548,35002,36692,38518,39387,41680,43508,44556,43876,45123,47671,49307,49836,51839,54293,54720,56996
 "44003" ,"Kent, RI",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",23247,24475,25658,27308,27813,29075,29796,29801,28825,29853,31450,32863,33341,33884,35480,35831,37318
 "44003" ,"Kent, RI",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4858,5056,5230,5495,5777,6180,6684,7503,8207,8852,8961,9071,9162,9682,10103,10210,10612
 "44003" ,"Kent, RI",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",274,291,297,310,340,348,440,440,526,614,640,667,706,684,711,725,724
 "44003" ,"Kent, RI",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",170,241,242,201,192,188,224,330,690,705,589,477,317,181,154,143,139
 "44003" ,"Kent, RI",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4414,4524,4691,4984,5244,5645,6020,6733,6991,7533,7733,7927,8139,8818,9239,9342,9749
