GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "50000" ,"Vermont",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",18692893,19073448,19812931,20964716,21467309,22941000,24192016,25368864,24990365,25787140,27350297,28303845,28691965,29807664,30865467,31571775,32570355
 "50000" ,"Vermont",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",12220766,12653702,13099950,13845624,14246088,14675017,15131873,15592881,15432759,16082667,16979819,17418462,17542008,17794055,18190474,18594346,19256172
 "50000" ,"Vermont",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",2672619,2855663,2989358,3122634,3400452,3779688,4180466,4660524,5058443,5347524,5397016,5524696,5796240,6044849,6349274,6474219,6562453
 "50000" ,"Vermont",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",243288,259219,270438,286402,316285,331548,438507,466817,522431,550938,558663,571227,607359,584232,588151,582695,584298
 "50000" ,"Vermont",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",64719,112057,120498,83466,80049,84799,90301,123264,267316,223620,163866,127204,97399,78101,70865,68222,63621
 "50000" ,"Vermont",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",2364612,2484387,2598422,2752766,3004118,3363341,3651658,4070443,4268696,4572966,4674487,4826265,5091482,5382516,5690258,5823302,5914534
 "50000" ,"Vermont",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",3799508,3564083,3723623,3996458,3820769,4486295,4879677,5115459,4499163,4356949,4973462,5360687,5353717,5968760,6325719,6503210,6751730
 "50000" ,"Vermont",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",612223,615442,617858,619920,621215,622892,623481,624151,624817,625842,626210,625606,626044,625665,624455,623354,623657
 "50000" ,"Vermont",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",30533,30991,32067,33818,34557,36830,38802,40645,39996,41204,43676,45242,45831,47642,49428,50648,52225
 "50000" ,"Vermont",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",19961,20560,21202,22335,22933,23559,24270,24983,24700,25698,27115,27843,28020,28440,29130,29830,30876
 "50000" ,"Vermont",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4365,4640,4838,5037,5474,6068,6705,7467,8096,8545,8619,8831,9259,9661,10168,10386,10523
 "50000" ,"Vermont",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",397,421,438,462,509,532,703,748,836,880,892,913,970,934,942,935,937
 "50000" ,"Vermont",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",106,182,195,135,129,136,145,197,428,357,262,203,156,125,113,109,102
 "50000" ,"Vermont",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3862,4037,4206,4441,4836,5400,5857,6522,6832,7307,7465,7715,8133,8603,9112,9342,9484
 "50000" ,"Vermont",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6206,5791,6027,6447,6150,7202,7827,8196,7201,6962,7942,8569,8552,9540,10130,10433,10826
 "50000" ,"Vermont",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",13506631,13971295,14469288,15317204,15791446,16277784,16831673,17361758,17133318,17817857,18605396,19110941,19530518,19851491,20342324,20836605,21600803
 "50000" ,"Vermont",1,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",9346529,9560835,9874915,10383207,10724221,11224789,11667476,12070620,11805583,12021119,12366148,12791254,13198847,13641608,14105477,14437705,14846036
 "50000" ,"Vermont",1,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",2205641,2371979,2559516,2751492,2917527,2862685,3022675,3172357,3037688,3086166,3396619,3412081,3575305,3455472,3701387,3886865,4032999
 "50000" ,"Vermont",1,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",1483727,1644622,1801903,1957123,2089398,2000153,2117949,2228168,2100260,2123700,2376842,2333271,2465274,2306122,2503756,2667867,2769373
 "50000" ,"Vermont",1,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",721914,727357,757613,794369,828129,862532,904726,944189,937428,962466,1019777,1078810,1110031,1149350,1197631,1218998,1263626
 "50000" ,"Vermont",1,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",1954461,2038481,2034857,2182505,2149698,2190310,2141522,2118781,2290047,2710572,2842629,2907606,2756366,2754411,2535460,2512035,2721768
 "50000" ,"Vermont",1,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",80871,27907,67877,117287,136218,52546,139699,150409,50561,122431,201759,160155,197596,252345,130508,102613,101729
 "50000" ,"Vermont",1,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",1873590,2010574,1966980,2065218,2013480,2137764,2001823,1968372,2239486,2588141,2640870,2747451,2558770,2502066,2404952,2409422,2620039
 "50000" ,"Vermont",1,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",403836,405652,406050,413089,417100,421004,425032,424270,414181,413312,416949,421809,425029,429328,432827,434040,436750
 "50000" ,"Vermont",1,CAINC30,250,"..."," Wage and salary employment","Number of jobs",316443,316147,314749,318138,319449,321622,321217,320122,309536,310261,313167,318183,320076,323339,325842,326845,327624
 "50000" ,"Vermont",1,CAINC30,260,"..."," Proprietors employment","Number of jobs",87393,89505,91301,94951,97651,99382,103815,104148,104645,103051,103782,103626,104953,105989,106985,107195,109126
 "50000" ,"Vermont",1,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",6658,6865,6509,6197,6008,5824,6340,6469,6477,6633,6777,6782,6848,6852,6937,6931,6929
 "50000" ,"Vermont",1,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",80735,82640,84792,88754,91643,93558,97475,97679,98168,96418,97005,96844,98105,99137,100048,100264,102197
 "50000" ,"Vermont",1,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",33446,34442,35634,37080,37860,38664,39601,40921,41367,43110,44623,45307,45951,46239,46999,48006,49458
 "50000" ,"Vermont",1,CAINC30,300,"..."," Average wages and salaries","Dollars",29536,30242,31374,32637,33571,34901,36323,37706,38140,38745,39487,40201,41237,42190,43289,44173,45314
 "50000" ,"Vermont",1,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",23207,24329,23198,23269,21971,22850,20537,20151,22813,26843,27224,28370,26082,25238,24038,24031,25637
 "50001" ,"Addison, VT",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1029134,1052077,1113760,1167779,1182188,1250546,1341574,1407639,1380980,1457804,1559376,1666692,1645968,1686475,1707991,1763274,1825752
 "50001" ,"Addison, VT",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",694556,718348,755159,798929,823400,838887,887063,909715,897881,972923,1045774,1118136,1072700,1050502,1031340,1074832,1115936
 "50001" ,"Addison, VT",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",123033,129428,134183,138327,151910,168483,187930,219352,235687,249963,247768,255700,273522,286188,302776,310074,316433
 "50001" ,"Addison, VT",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",11123,11868,12478,12875,14958,15323,20286,21184,24075,25206,24922,25273,26708,26420,26465,25790,25784
