GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "56000" ,"Wyoming",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",15320219,15724542,16668843,17806977,19574481,22574908,24018505,26333754,24346798,25967136,28426349,30952483,30911890,33019911,33514584,32434582,33221417
 "56000" ,"Wyoming",7,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",9314571,9729275,10185780,10607287,11408764,12990082,14023448,15712981,15064599,15882716,17134917,17895488,18382328,19429791,19264659,17919342,18163320
 "56000" ,"Wyoming",7,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",1848840,1980090,2144992,2266868,2384556,2529902,2687364,3120759,3376771,3642359,3658034,3654125,3784223,3932553,4168900,4361336,4533182
 "56000" ,"Wyoming",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",120502,138538,172480,170056,164154,151335,152434,188109,215247,243583,252012,240021,245004,236903,226873,237056,231255
 "56000" ,"Wyoming",7,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",28858,50047,61698,47397,37265,31501,36741,54575,193610,212037,142433,110078,94568,62922,89260,115427,65301
 "56000" ,"Wyoming",7,CAINC30,80,"...","  Retirement and other","Thousands of dollars",1699480,1791505,1910814,2049415,2183137,2347066,2498189,2878075,2967914,3186739,3263589,3304026,3444651,3632728,3852767,4008853,4236626
 "56000" ,"Wyoming",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",4156808,4015177,4338071,4932822,5781161,7054924,7307693,7500014,5905428,6442061,7633398,9402870,8745339,9657567,10081025,10153904,10524915
 "56000" ,"Wyoming",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",494657,500017,503453,509106,514157,522667,534876,546043,559851,564376,567602,576608,582341,583334,586102,584910,579315
 "56000" ,"Wyoming",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",30971,31448,33109,34977,38071,43192,44905,48227,43488,46010,50081,53680,53082,56605,57182,55452,57346
 "56000" ,"Wyoming",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",18830,19458,20232,20835,22189,24853,26218,28776,26908,28142,30188,31036,31566,33308,32869,30636,31353
 "56000" ,"Wyoming",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3738,3960,4261,4453,4638,4840,5024,5715,6032,6454,6445,6337,6498,6742,7113,7456,7825
 "56000" ,"Wyoming",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",244,277,343,334,319,290,285,344,384,432,444,416,421,406,387,405,399
 "56000" ,"Wyoming",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",58,100,123,93,72,60,69,100,346,376,251,191,162,108,152,197,113
 "56000" ,"Wyoming",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3436,3583,3795,4026,4246,4491,4671,5271,5301,5646,5750,5730,5915,6228,6574,6854,7313
 "56000" ,"Wyoming",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",8403,8030,8617,9689,11244,13498,13662,13735,10548,11414,13449,16307,15018,16556,17200,17360,18168
 "56000" ,"Wyoming",7,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",10525807,10985834,11538825,12067174,13011818,15045089,16317402,18178847,17460871,18337971,19484218,20356559,21113081,22305007,22107324,20698459,21014049
 "56000" ,"Wyoming",7,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",7330442,7689551,8033904,8577838,9339746,10725959,11895985,12950649,12196367,12369655,12938727,13542550,13733258,14407370,14273622,13409045,13693922
 "56000" ,"Wyoming",7,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",1669759,1762811,1924286,2053324,2189731,2698293,2999813,3244892,3067345,3160030,3233308,3435532,3807208,3965905,3930361,3874946,3987564
 "56000" ,"Wyoming",7,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",1085497,1173055,1297646,1381096,1461232,1671453,1845619,2021655,1891751,1967547,1977155,2096825,2462775,2537107,2551270,2552332,2620617
 "56000" ,"Wyoming",7,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",584262,589756,626640,672228,728499,1026840,1154194,1223237,1175594,1192483,1256153,1338707,1344433,1428798,1379091,1322614,1366947
 "56000" ,"Wyoming",7,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",1525606,1533472,1580635,1436012,1482341,1620837,1421604,1983306,2197159,2808286,3312183,3378477,3572615,3931732,3903341,3414468,3332563
 "56000" ,"Wyoming",7,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",104300,2388,92958,85831,119784,-5984,-77080,-14295,-40686,4844,251766,-13403,76637,212709,148356,-3501,-21024
 "56000" ,"Wyoming",7,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",1421306,1531084,1487677,1350181,1362557,1626821,1498684,1997601,2237845,2803442,3060417,3391880,3495978,3719023,3754985,3417969,3353587
 "56000" ,"Wyoming",7,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",330130,334123,336763,343755,354378,370329,388476,398969,387473,385059,390303,396704,400402,406188,405762,397914,398199
 "56000" ,"Wyoming",7,CAINC30,250,"..."," Wage and salary employment","Number of jobs",257293,260214,262061,267167,274415,287005,297724,306048,293503,290013,293811,298289,299508,303951,302522,291463,289601
 "56000" ,"Wyoming",7,CAINC30,260,"..."," Proprietors employment","Number of jobs",72837,73909,74702,76588,79963,83324,90752,92921,93970,95046,96492,98415,100894,102237,103240,106451,108598
 "56000" ,"Wyoming",7,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",8928,9550,8767,8518,8416,8116,9762,9866,9998,10216,10412,10249,10185,10368,10390,10380,10200
 "56000" ,"Wyoming",7,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",63909,64359,65935,68070,71547,75208,80990,83055,83972,84830,86080,88166,90709,91869,92850,96071,98398
 "56000" ,"Wyoming",7,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",31884,32880,34264,35104,36717,40626,42004,45565,45063,47624,49921,51314,52730,54913,54483,52017,52773
 "56000" ,"Wyoming",7,CAINC30,300,"..."," Average wages and salaries","Dollars",28491,29551,30657,32107,34035,37372,39956,42316,41554,42652,44038,45401,45853,47400,47182,46006,47285
 "56000" ,"Wyoming",7,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",22240,23790,22563,19835,19044,21631,18505,24052,26650,33048,35553,38472,38541,40482,40441,35578,34082
 "56001" ,"Albany, WY",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",840087,890085,950866,960249,967708,1015739,1063382,1170459,1172775,1249041,1386124,1446531,1441714,1473819,1518128,1513593,1544808
 "56001" ,"Albany, WY",7,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",508165,547437,580997,598936,600367,616370,667089,714435,738300,770918,829194,834795,878984,911027,937174,933476,941145
 "56001" ,"Albany, WY",7,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",101326,108312,114716,120395,126632,130575,132121,157945,169519,197070,201609,196145,200753,203391,212063,217084,226602
 "56001" ,"Albany, WY",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",5877,6781,7878,7244,7081,6749,6883,7851,9359,10814,11033,10650,11340,10601,10654,10464,9951
 "56001" ,"Albany, WY",7,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",1413,1981,2215,1907,1438,1328,1613,2366,5346,7070,5151,4177,3197,2279,2889,2752,2017
 "56001" ,"Albany, WY",7,CAINC30,80,"...","  Retirement and other","Thousands of dollars",94036,99550,104623,111244,118113,122498,123625,147728,154814,179186,185425,181318,186216,190511,198520,203868,214634
 "56001" ,"Albany, WY",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",230596,234336,255153,240918,240709,268794,264172,298079,264956,281053,355321,415591,361977,359401,368891,363033,377061
 "56001" ,"Albany, WY",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",32419,32675,33098,33580,33631,33950,33858,34643,35743,36433,36883,37332,37573,37793,38036,37987,38332
 "56001" ,"Albany, WY",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",25913,27241,28729,28596,28774,29919,31407,33786,32811,34283,37582,38748,38371,38997,39913,39845,40301
 "56001" ,"Albany, WY",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",15675,16754,17554,17836,17852,18155,19703,20623,20656,21160,22482,22361,23394,24106,24639,24574,24552
 "56001" ,"Albany, WY",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3126,3315,3466,3585,3765,3846,3902,4559,4743,5409,5466,5254,5343,5382,5575,5715,5912
 "56001" ,"Albany, WY",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",181,208,238,216,211,199,203,227,262,297,299,285,302,281,280,275,260
 "56001" ,"Albany, WY",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",44,61,67,57,43,39,48,68,150,194,140,112,85,60,76,72,53
 "56001" ,"Albany, WY",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",2901,3047,3161,3313,3512,3608,3651,4264,4331,4918,5027,4857,4956,5041,5219,5367,5599
 "56001" ,"Albany, WY",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",7113,7172,7709,7174,7157,7917,7802,8604,7413,7714,9634,11132,9634,9510,9698,9557,9837
 "56001" ,"Albany, WY",7,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",562551,604197,644328,665659,668304,695878,755091,804090,831170,858586,904883,903335,957061,991836,1024226,1027066,1037225
 "56001" ,"Albany, WY",7,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",404605,436991,459298,476950,491155,508630,548689,578420,598785,606682,632844,627656,638628,652577,679164,690647,699611
 "56001" ,"Albany, WY",7,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",103894,118246,132561,140716,133551,145302,165748,178615,176836,180970,184195,189197,229345,242598,244273,248262,252968
 "56001" ,"Albany, WY",7,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",72697,86453,97516,104088,96090,96176,110621,121353,117899,122382,123760,127707,167322,176514,176992,180414,183779
 "56001" ,"Albany, WY",7,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",31197,31793,35045,36628,37461,49126,55127,57262,58937,58588,60435,61490,62023,66084,67281,67848,69189
 "56001" ,"Albany, WY",7,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",54052,48960,52469,47993,43598,41946,40654,47055,55549,70934,87844,86482,89088,96661,100789,88157,84646
 "56001" ,"Albany, WY",7,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",6624,-1054,4547,4641,2097,-1841,-4590,-3251,-5352,-3122,7600,1100,8328,17231,18683,9666,5728
 "56001" ,"Albany, WY",7,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",47428,50014,47922,43352,41501,43787,45244,50306,60901,74056,80244,85382,80760,79430,82106,78491,78918
 "56001" ,"Albany, WY",7,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",21330,21186,21461,21922,21933,22062,22620,22729,22861,22700,23042,22997,23207,23181,23612,23902,23708
 "56001" ,"Albany, WY",7,CAINC30,250,"..."," Wage and salary employment","Number of jobs",17641,17483,17721,18024,18012,17822,18200,18235,18249,17995,18267,18363,18498,18425,18779,18849,18561
 "56001" ,"Albany, WY",7,CAINC30,260,"..."," Proprietors employment","Number of jobs",3689,3703,3740,3898,3921,4240,4420,4494,4612,4705,4775,4634,4709,4756,4833,5053,5147
 "56001" ,"Albany, WY",7,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",307,337,307,309,313,310,384,387,389,394,400,389,389,396,401,401,394
 "56001" ,"Albany, WY",7,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",3382,3366,3433,3589,3608,3930,4036,4107,4223,4311,4375,4245,4320,4360,4432,4652,4753
 "56001" ,"Albany, WY",7,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",26374,28519,30023,30365,30470,31542,33382,35377,36358,37823,39271,39281,41240,42787,43377,42970,43750
 "56001" ,"Albany, WY",7,CAINC30,300,"..."," Average wages and salaries","Dollars",22935,24995,25918,26462,27268,28539,30148,31720,32812,33714,34644,34180,34524,35418,36166,36641,37693
 "56001" ,"Albany, WY",7,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",14024,14859,13959,12079,11502,11142,11210,12249,14421,17178,18341,20114,18694,18218,18526,16873,16604
 "56003" ,"Big Horn, WY",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",267103,261835,276828,273204,299865,332586,318580,358367,356759,375917,407878,421668,423781,441696,442441,421870,427279
 "56003" ,"Big Horn, WY",7,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",166783,164238,174185,173917,184798,205309,196606,220021,214084,227533,249861,252670,264332,273850,268886,245166,243230
 "56003" ,"Big Horn, WY",7,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",45936,48441,49523,52394,60911,65611,69106,75709,80700,82999,82492,82493,85847,90747,94075,98515,102909
 "56003" ,"Big Horn, WY",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",2936,3247,3754,3954,3684,3461,3339,3797,4311,4799,4554,4171,4404,4401,4410,5169,5088
 "56003" ,"Big Horn, WY",7,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",780,1337,1297,1239,924,817,923,1144,4687,3443,2467,1761,1794,1066,1519,1579,1057
 "56003" ,"Big Horn, WY",7,CAINC30,80,"...","  Retirement and other","Thousands of dollars",42220,43857,44472,47201,56303,61333,64844,70768,71702,74757,75471,76561,79649,85280,88146,91767,96764
 "56003" ,"Big Horn, WY",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",54384,49156,53120,46893,54156,61666,52868,62637,61975,65385,75525,86505,73602,77099,79480,78189,81140
 "56003" ,"Big Horn, WY",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",11209,11157,11073,11231,11193,11222,11350,11419,11541,11667,11726,11765,11939,11859,11956,11941,11906
 "56003" ,"Big Horn, WY",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",23829,23468,25000,24326,26790,29637,28069,31383,30912,32221,34784,35841,35496,37246,37006,35330,35888
 "56003" ,"Big Horn, WY",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",14879,14721,15731,15485,16510,18295,17322,19268,18550,19502,21308,21476,22140,23092,22490,20531,20429
 "56003" ,"Big Horn, WY",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4098,4342,4472,4665,5442,5847,6089,6630,6992,7114,7035,7012,7190,7652,7868,8250,8643
 "56003" ,"Big Horn, WY",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",262,291,339,352,329,308,294,333,374,411,388,355,369,371,369,433,427
 "56003" ,"Big Horn, WY",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",70,120,117,110,83,73,81,100,406,295,210,150,150,90,127,132,89
 "56003" ,"Big Horn, WY",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3767,3931,4016,4203,5030,5465,5713,6197,6213,6408,6436,6508,6671,7191,7373,7685,8127
 "56003" ,"Big Horn, WY",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",4852,4406,4797,4175,4838,5495,4658,5485,5370,5604,6441,7353,6165,6501,6648,6548,6815
 "56003" ,"Big Horn, WY",7,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",194617,188832,198794,197941,210410,236816,215900,237608,227024,241812,263648,268055,285616,296535,293209,272347,270710
 "56003" ,"Big Horn, WY",7,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",132648,131477,136454,143508,152499,172886,152789,164536,154035,163028,172161,181474,185952,198045,197028,190406,188198
 "56003" ,"Big Horn, WY",7,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",30839,30405,33637,35960,37709,46070,45243,49271,44746,47849,48959,52811,60052,63823,62877,62525,63413
 "56003" ,"Big Horn, WY",7,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",19954,20222,22879,24732,25383,29800,29867,33149,29123,31040,31213,33595,40815,42675,42728,42754,43342
 "56003" ,"Big Horn, WY",7,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",10885,10183,10758,11228,12326,16270,15376,16122,15623,16809,17746,19216,19237,21148,20149,19771,20071
 "56003" ,"Big Horn, WY",7,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",31130,26950,28703,18473,20202,17860,17868,23801,28243,30935,42528,33770,39612,34667,33304,19416,19099
 "56003" ,"Big Horn, WY",7,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",3992,-1899,2214,182,444,-4798,-6099,2046,-713,970,12874,3258,8259,8995,9992,62,-1739
 "56003" ,"Big Horn, WY",7,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",27138,28849,26489,18291,19758,22658,23967,21755,28956,29965,29654,30512,31353,25672,23312,19354,20838
 "56003" ,"Big Horn, WY",7,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",6568,6514,6453,6575,6642,6885,6781,6902,6615,6750,6815,6798,6773,6926,6891,6719,6633
