Location,Year, Net earnings by place of residence(Thousands of dollars), Personal current transfer receipts(Thousands of dollars),  Income maintenance benefits 1/(Thousands of dollars),  Unemployment insurance compensation(Thousands of dollars),  Retirement and other(Thousands of dollars)," Dividends, interest, and rent 2/(Thousands of dollars)", Population (persons) 3/(Number of persons), Per capita personal income 4/(Dollars), Per capita net earnings 4/(Dollars), Per capita personal current transfer receipts 4/(Dollars),  Per capita income maintenance benefits 4/(Dollars),  Per capita unemployment insurance compensation 4/(Dollars),  Per capita retirement and other 4/(Dollars)," Per capita dividends, interest, and rent 4/(Dollars)", Earnings by place of work(Thousands of dollars),  Wages and salaries(Thousands of dollars),  Supplements to wages and salaries(Thousands of dollars),   Employer contributions for employee pension and insurance funds 5/(Thousands of dollars),   Employer contributions for government social insurance(Thousands of dollars),  Proprietors' income(Thousands of dollars),   Farm proprietors' income(Thousands of dollars),   Nonfarm proprietors' income(Thousands of dollars),Total employment (number of jobs)(Number of jobs), Wage and salary employment(Number of jobs), Proprietors employment(Number of jobs),  Farm proprietors employment 6/(Number of jobs),  Nonfarm proprietors employment(Number of jobs),Average earnings per job (dollars)(Dollars), Average wages and salaries(Dollars), Average nonfarm proprietors' income(Dollars)
"Angelina, TX",2001,1208084,367525,34357,6629,326539,328077,80273,23715,15050,4578,428,83,4068,4087,1410715,1005670,226261,156824,69437,178784,5702,173082,45279,37510,7769,967,6802,31156,26811,25446
"Angelina, TX",2002,1243683,401729,41272,11058,349399,313983,80803,24249,15392,4972,511,137,4324,3886,1439557,1011305,236411,167565,68846,191841,6901,184940,45313,37406,7907,908,6999,31769,27036,26424
"Angelina, TX",2003,1290815,433073,47089,10690,375294,312656,81510,24985,15836,5313,578,131,4604,3836,1495570,1047359,258797,182312,76485,189414,6165,183249,45508,37601,7907,916,6991,32864,27855,26212
"Angelina, TX",2004,1357632,456691,50301,7293,399097,297946,82070,25737,16542,5565,613,89,4863,3630,1571361,1120461,269495,188298,81197,181405,5188,176217,46310,37972,8338,913,7425,33931,29508,23733
"Angelina, TX",2005,1395134,497516,58146,4917,434453,314246,82553,26733,16900,6027,704,60,5263,3807,1609069,1159628,281191,197943,83248,168250,3,168247,46453,37814,8639,939,7700,34639,30667,21850
"Angelina, TX",2006,1483929,530496,58031,4025,468440,346468,83810,28170,17706,6330,692,48,5589,4134,1697264,1234120,293936,208775,85161,169208,-1444,170652,47914,38956,8958,938,8020,35423,31680,21278
"Angelina, TX",2007,1542807,577099,60167,4264,512668,393445,84518,29737,18254,6828,712,50,6066,4655,1751524,1290274,295016,208504,86512,166234,519,165715,48390,39219,9171,1022,8149,36196,32899,20336
"Angelina, TX",2008,1589495,633009,68525,6469,558015,435490,84961,31285,18709,7451,807,76,6568,5126,1789111,1317763,293054,206117,86937,178294,-7465,185759,47990,38598,9392,994,8398,37281,34141,22119
"Angelina, TX",2009,1528570,694239,77562,22367,594310,400580,86029,30494,17768,8070,902,260,6908,4656,1737924,1257805,296855,211814,85041,183264,-6125,189389,46537,37005,9532,971,8561,37345,33990,22122
"Angelina, TX",2010,1578179,755866,86359,22791,646716,387347,86903,31315,18160,8698,994,262,7442,4457,1809056,1279749,312860,222347,90513,216447,2801,213646,46238,36879,9359,953,8406,39125,34701,25416
"Angelina, TX",2011,1704516,772470,87046,17290,668134,427046,87282,33272,19529,8850,997,198,7655,4893,1951681,1387758,316481,219212,97269,247442,-3747,251189,47150,37355,9795,932,8863,41393,37151,28341
"Angelina, TX",2012,1822257,768135,86488,14476,667171,490684,87496,35214,20827,8779,988,165,7625,5608,2111933,1508799,334094,231004,103090,269040,1828,267212,47441,37930,9511,898,8613,44517,39779,31024
"Angelina, TX",2013,1763184,794800,86246,11054,697500,477388,87365,34744,20182,9097,987,127,7984,5464,2074384,1432948,344434,244845,99589,297002,8267,288735,47928,38029,9899,901,8998,43281,37680,32089
"Angelina, TX",2014,1918909,824539,86496,7208,730835,521726,87601,37273,21905,9412,987,82,8343,5956,2245707,1483769,354071,252207,101864,407867,9333,398534,48624,38517,10107,891,9216,46185,38522,43244
"Angelina, TX",2015,1912367,866742,85402,11725,769615,572782,87901,38133,21756,9860,972,133,8755,6516,2253403,1503035,364339,260261,104078,386029,15174,370855,48701,38418,10283,870,9413,46270,39123,39398
"Angelina, TX",2016,1799413,911581,86958,11635,812988,581279,87830,37485,20487,10379,990,132,9256,6618,2129716,1458928,353567,251509,102058,317221,5065,312156,48239,37681,10558,867,9691,44149,38718,32211
"Angelina, TX",2017,1766522,922211,88143,7774,826294,608820,87805,37555,20119,10503,1004,89,9411,6934,2103179,1478601,359378,255207,104171,265200,7829,257371,48183,37413,10770,862,9908,43650,39521,25976
"Aransas, TX",2001,309474,111563,9602,1928,100033,137286,22287,25052,13886,5006,431,87,4488,6160,211119,133810,29893,20884,9009,47416,-1598,49014,9192,6068,3124,65,3059,22968,22052,16023
"Aransas, TX",2002,313713,119104,10297,2591,106216,133606,22616,25045,13871,5266,455,115,4696,5908,211688,131367,30309,21371,8938,50012,-2200,52212,9120,5938,3182,62,3120,23211,22123,16735
"Aransas, TX",2003,324612,130047,11353,3248,115446,131478,22843,25659,14211,5693,497,142,5054,5756,228479,141042,33677,23522,10155,53760,-2024,55784,9421,6138,3283,64,3219,24252,22978,17330
"Aransas, TX",2004,343155,142006,12414,2602,126990,149959,23067,27534,14876,6156,538,113,5505,6501,251358,148524,36458,25717,10741,66376,-1825,68201,9585,6161,3424,68,3356,26224,24107,20322
"Aransas, TX",2005,363165,159307,13804,1418,144085,174328,23561,29574,15414,6761,586,60,6115,7399,266466,158057,37394,26072,11322,71015,-1764,72779,9885,6334,3551,72,3479,26957,24954,20920
"Aransas, TX",2006,388679,174003,13718,1156,159129,182642,23395,31858,16614,7438,586,49,6802,7807,301048,182443,43387,31053,12334,75218,-1768,76986,10436,6740,3696,75,3621,28847,27069,21261
"Aransas, TX",2007,391533,188006,13820,1147,173039,205631,23172,33884,16897,8113,596,49,7468,8874,295452,187401,41809,29077,12732,66242,-1209,67451,10527,6601,3926,83,3843,28066,28390,17552
"Aransas, TX",2008,408806,208342,15720,1784,190838,214901,23225,35826,17602,8971,677,77,8217,9253,309289,196210,41434,28410,13024,71645,-1606,73251,10688,6723,3965,85,3880,28938,29185,18879
"Aransas, TX",2009,397941,223338,18581,5320,199437,198285,23291,35188,17086,9589,798,228,8563,8513,291569,186034,42608,30114,12494,62927,-1464,64391,10295,6398,3897,86,3811,28321,29077,16896
"Aransas, TX",2010,432000,241574,20247,6343,214984,195928,23181,37509,18636,10421,873,274,9274,8452,316044,192419,44468,30813,13655,79157,-1841,80998,10363,6423,3940,88,3852,30497,29958,21028
"Aransas, TX",2011,470489,254408,20260,4889,229259,212071,23228,40338,20255,10953,872,210,9870,9130,343324,199567,44321,30187,14134,99436,-2011,101447,10368,6354,4014,89,3925,33114,31408,25846
"Aransas, TX",2012,531306,253788,19548,3610,230630,254485,23462,44309,22645,10817,833,154,9830,10847,374364,215523,48986,33552,15434,109855,-1960,111815,10742,6673,4069,90,3979,34850,32298,28101
"Aransas, TX",2013,557147,259763,19725,2943,237095,264606,23897,45257,23315,10870,825,123,9922,11073,387428,231410,52891,36697,16194,103127,-2047,105174,11231,7005,4226,91,4135,34496,33035,25435
"Aransas, TX",2014,601900,271036,19651,1897,249488,270119,24581,46502,24486,11026,799,77,10150,10989,402897,246705,55410,38337,17073,100782,-1889,102671,11252,7020,4232,90,4142,35807,35143,24788
