Year,Mo,Category,Centroid Pressure,Max Wind Speed,Name,County,State
2001,None,,,,,,
2002,Oct,1,963,80,Lili,,
2003,Jul,1,979,80,Claudette,Galveston,TX
2003,Jul,1,979,80,Claudette,Calhoun,TX
2003,Sep,2,957,90,Isabel,,
2004,Aug,1,972,70,Alex,,
2004,Aug,4,941,130,Charley,Charlotte,FL
2004,Aug,1,985,65,Gaston,,
2004,Sep,2,960,90,Frances,,
2004,Sep,3,946,105,Ivan,Escambia,FL
2004,Sep,3,946,105,Ivan,Walton,FL
2004,Sep,3,946,105,Ivan,Santa Rosa,FL
2004,Sep,3,946,105,Ivan,Baldwin,AL
2004,Sep,3,950,105,Jeanne,,
2005,Jul,1,991,65,Cindy,,
2005,Jul,3,946,105,Dennis,Taylor,FL
2005,Jul,3,946,105,Dennis,Jefferson,FL
2005,Jul,3,946,105,Dennis,Wakulla,FL
2005,Jul,3,946,105,Dennis,Franklin,FL
2005,Aug,3,920,110,Katrina,Jackson,MS
2005,Aug,3,920,110,Katrina,Mobile,AL
2005,Aug,3,920,110,Katrina,Plaquemines,LA
2005,Aug,3,920,110,Katrina,Harrison,MS
2005,Aug,3,920,110,Katrina,Hancock,MS
2005,Aug,3,920,110,Katrina,St. Tammany,LA
2005,Sep,1,982,65,Ophelia,,
2005,Sep,3,937,100,Rita,Cameron,TX
2005,Sep,3,937,100,Rita,Calcasieu,LA
2005,Sep,3,937,100,Rita,Humphreys,MS
2005,Sep,3,937,100,Rita,Pike,MS
2005,Sep,3,937,100,Rita,Angelina,TX
2005,Sep,3,937,100,Rita,Dallas,TX
2005,Sep,3,937,100,Rita,Galveston,TX
2005,Sep,3,937,100,Rita,Harris,TX
2005,Sep,3,937,100,Rita,Jefferson,TX
2005,Sep,3,937,100,Rita,Liberty,TX
2005,Sep,3,937,100,Rita,Montgomery,TX
2005,Sep,3,937,100,Rita,Shelby,TX
2005,Sep,3,937,100,Rita,Walker,TX
2005,Oct,3,950,105,Wilma,,
2006,None,,,,,,
2007,Sep,1,985,80,Humberto,Jefferson,TX
2007,Sep,1,985,80,Humberto,Chambers,TX
2007,Sep,1,985,80,Humberto,Galveston,TX
2008,Jul,1,967,75,Dolly,Cameron,TX
2008,Jul,1,967,75,Dolly,Hidalgo,TX
2008,Jul,1,967,75,Dolly,Willacy,TX
2008,Jul,1,967,75,Dolly,Starr,TX
2008,Sep,2,954,90,Gustav,Jefferson,LA
2008,Sep,2,954,90,Gustav,Plaquemines,LA
2008,Sep,2,954,90,Gustav,Terrebonne,LA
2008,Sep,2,950,95,Ike,Galveston,TX
2009,None,,,,,,
2010,None,,,,,,
2011,Aug,1,952,75,Irene,,
2012,Aug,1,966,70,Isaac,Plaquemines,LA
2012,Aug,1,966,70,Isaac,St. Charles,LA
2012,Aug,1,966,70,Isaac,Hancock,MS
2012,Aug,1,966,70,Isaac,Lafourche,LA
2012,Oct,1,942,65,Sandy,,
2013,None,,,,,,
2014,Jul,2,973,85,Arthur,,
2015,None,,,,,,
2016,Sep,1,981,70,Hermine,Taylor,FL
2016,Sep,1,981,70,Hermine,Franklin,FL
2016,Sep,1,981,70,Hermine,Walton,FL
2016,Sep,1,981,70,Hermine,Bay,FL
2016,Oct,2,963,85,Matthew,,
2017,Aug,4,937,115,Harvey,Aransas,TX
2017,Aug,4,937,115,Harvey,Chambers,TX
2017,Aug,4,937,115,Harvey,Austin,TX
2017,Aug,4,937,115,Harvey,Brazoria,TX
2017,Aug,4,937,115,Harvey,Fort Bend,TX
2017,Aug,4,937,115,Harvey,Waller,TX
2017,Aug,4,937,115,Harvey,Montgomery,TX
2017,Aug,4,937,115,Harvey,Galveston,TX
2017,Aug,4,937,115,Harvey,Harris,TX
2017,Aug,4,937,115,Harvey,Liberty,TX
2017,Aug,4,937,115,Harvey,San Patricio,TX
2017,Aug,4,937,115,Harvey,Nueces,TX
2017,Sep,4,931,115,Irma,,
2017,Oct,1,983,65,Nate,,
