Year,Mo,Location1,WindDirection1,Location2,WindDirection2,Location3,WindDirection3,Location4,WindDirection4,Location5,WindDirection5,Category,Centroid Pressure,Max Wind Speed,Name
1980,Aug,TX, S3,,,,,,,,,3,945,100,Allen
1981,None,,,,,,,,,,,,,,
1982,None,,,,,,,,,,,,,,
1983,Aug,TX, N3,,,,,,,,,3,962,100,Alicia
1984,Sep,* NC,2,,,,,,,,,2,949,95,Diana
1985,Jul,SC,1,,,,,,,,,1,1003,65,Bob
1985,Aug,LA,1,,,,,,,,,1,987,80,Danny
1985,Sep,AL,3, MS,3, FL, NW3,,,,,3,959,100,Elena
1985,Sep,NC,3, NY,3, CT,2, NH,2, ME,1,3,942,90,Gloria
1985,Oct,LA,1,,,,,,,,,1,971,75,Juan
1985,Nov,FL, NW2, I-GA 1,,,,,,,,2,967,85,Kate
1986,Jun,TX, N1,,,,,,,,,1,990,75,Bonnie
1986,Aug,NC,1,,,,,,,,,1,990,65,Charley
1987,Oct,FL, SW1,,,,,,,,,1,993,65,Floyd
1988,Sep,LA,1,,,,,,,,,1,984,70,Florence
1989,Aug,TX, N1,,,,,,,,,1,986,70,Chantal
1989,Sep,SC,4, I-NC 1,,,,,,,,4,934,120,Hugo
1989,Oct,TX, N1,,,,,,,,,1,983,75,Jerry
1990,None,,,,,,,,,,,,,,
1991,Aug,RI,2, MA,2, NY,2, CT,2,,,2,962,90,Bob
1992,Aug,FL, SE5, SW4, LA,3,,,,,,5,922,145,Andrew
1993,Aug,* NC,3,,,,,,,,,3,961,100,Emily
1994,None,,,,,,,,,,,,,,
1995,Aug,FL, NW2, SE1,,,,,,,,2,973,85,Erin
1995,Oct,FL, NW3, I-AL 1,,,,,,,,3,942,100,Opal
1996,Jul,NC,2,,,,,,,,,2,974,90,Bertha
1996,Sep,NC,3,,,,,,,,,3,954,100,Fran
1997,Jul,LA,1, AL,1,,,,,,,1,984,70,Danny
1998,Aug,NC,2,,,,,,,,,2,964,95,Bonnie
1998,Sep,FL, NW1,,,,,,,,,1,987,70,Earl
1998,Sep,FL, SW2, MS,2,,,,,,,2,964,90,Georges
1999,Aug,TX, S3,,,,,,,,,3,951,100,Bret
1999,Sep,NC,2,,,,,,,,,2,956,90,Floyd
1999,Oct,* FL, SW1, NC,2,,,,,,,2,964,95,Irene
2000,None,,,,,,,,,,,,,,
2001,None,,,,,,,,,,,,,,
2002,Oct,LA,1,,,,,,,,,1,963,80,Lili
2003,Jul,TX, C1,,,,,,,,,1,979,80,Claudette
2003,Sep,NC,2, VA,1,,,,,,,2,957,90,Isabel
2004,Aug,* NC,1,,,,,,,,,1,972,70,Alex
2004,Aug,FL, SW4, SE1, NE1, SC,1, NC,1,,,4,941,130,Charley
2004,Aug,SC,1,,,,,,,,,1,985,65,Gaston
2004,Sep,FL, SE2, SW1,,,,,,,,2,960,90,Frances
2004,Sep,AL,3, FL, NW3,,,,,,,3,946,105,Ivan
2004,Sep,FL, SE3, SW1, NW1,,,,,,,3,950,105,Jeanne
2005,Jul,LA,1,,,,,,,,,1,991,65,Cindy
2005,Jul,FL, NW3, I-AL 1,,,,,,,,3,946,105,Dennis
2005,Aug,FL, SE1, SW1, LA,3, MS,3, AL,1,,3,920,110,Katrina
2005,Sep,* NC,1,,,,,,,,,1,982,65,Ophelia
2005,Sep,FL, SW1, LA,3, TX, N2,,,,,3,937,100,Rita
2005,Oct,FL, SW3, FL, SE2,,,,,,,3,950,105,Wilma
2006,None,,,,,,,,,,,,,,
2007,Sep,TX, N1, LA,1,,,,,,,1,985,80,Humberto
2008,Jul,TX, S1,,,,,,,,,1,967,75,Dolly
2008,Sep,LA,2,,,,,,,,,2,954,90,Gustav
2008,Sep,TX, N2, LA,1,,,,,,,2,950,95,Ike
2009,None,,,,,,,,,,,,,,
2010,None,,,,,,,,,,,,,,
2011,Aug,NC,1,,,,,,,,,1,952,75,Irene
2012,Aug,LA,1,,,,,,,,,1,966,70,Isaac
2012,Oct,* NY,1,,,,,,,,,1,942,65,Sandy
2013,None,,,,,,,,,,,,,,
2014,Jul,NC,2,,,,,,,,,2,973,85,Arthur
2015,None,,,,,,,,,,,,,,
2016,Sep,FL, NW1,,,,,,,,,1,981,70,Hermine
2016,Oct,* FL, NE2, GA,1, SC,1, NC,1,,,2,963,85,Matthew
2017,Aug,TX,S 4,,,,,,,,,4,937,115,Harvey
2017,Sep,FL,SW 4,SE 1,,,,,,,,4,931,115,Irma
2017,Oct,LA 1, MS 1,,,,,,,,,1,983,65,Nate
