"CAINC5N Personal Income by Major Component and Earnings by NAICS Industry 1/"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2012","2013","2014","2015","2016","2017"
"12005","Bay, FL","","Income by place of residence","","","","","",""
"12005","Bay, FL","10","Personal income (thousands of dollars)",6429988,6521655,6929572,7342644,7562586,7796975
"12005","Bay, FL","20","Population (persons) 2/",171755,174626,178221,181184,182992,183563
"12005","Bay, FL","30","Per capita personal income (dollars)",37437,37346,38882,40526,41327,42476
"12005","Bay, FL","","Derivation of personal income","","","","","",""
"12005","Bay, FL","35","Earnings by place of work",4130940,4229494,4487884,4730122,4868275,4968070
"12005","Bay, FL","36","  Less: Contributions for government social insurance 3/",438579,502425,532886,554520,572854,584809
"12005","Bay, FL","37","    Employee and self-employed contributions for government social insurance",199050,260764,276454,291790,306026,315541
"12005","Bay, FL","38","    Employer contributions for government social insurance",239529,241661,256432,262730,266828,269268
"12005","Bay, FL","42","  Plus: Adjustment for residence 4/",-68057,-46903,-61529,-70506,-101708,-106205
"12005","Bay, FL","45","  Equals: Net earnings by place of residence",3624304,3680166,3893469,4105096,4193713,4277056
"12005","Bay, FL","46","  Plus: Dividends, interest, and rent 5/",1363716,1356403,1457520,1586217,1652915,1724445
"12005","Bay, FL","47","  Plus: Personal current transfer receipts",1441968,1485086,1578583,1651331,1715958,1795474
"12005","Bay, FL","","Earnings by place of work","","","","","",""
"12005","Bay, FL","","Components of earnings","","","","","",""
"12005","Bay, FL","50","  Wages and salaries",3008839,3080377,3286487,3460203,3594470,3659824
"12005","Bay, FL","60","  Supplements to wages and salaries",780162,805636,837666,882889,883898,898679
"12005","Bay, FL","61","    Employer contributions for employee pension and insurance funds 6/",540633,563975,581234,620159,617070,629411
"12005","Bay, FL","62","    Employer contributions for government social insurance",239529,241661,256432,262730,266828,269268
"12005","Bay, FL","70","  Proprietors' income 7/",341939,343481,363731,387030,389907,409567
"12005","Bay, FL","71","    Farm proprietors' income",-82,-69,-56,-60,-60,-59
"12005","Bay, FL","72","    Nonfarm proprietors' income",342021,343550,363787,387090,389967,409626
"12005","Bay, FL","","Earnings by industry","","","","","",""
"12005","Bay, FL","81","  Farm earnings",662,831,949,829,1084,996
"12005","Bay, FL","82","  Nonfarm earnings",4130278,4228663,4486935,4729293,4867191,4967074
"12005","Bay, FL","90","    Private nonfarm earnings",2973944,3111140,3292276,3496641,3618848,3681713
"12005","Bay, FL","100","      Forestry, fishing, and related activities",17682,18589,19453,20479,"(D)",22354
"12005","Bay, FL","101","        Forestry and logging",10092,10683,11873,12480,11651,12267
"12005","Bay, FL","102","        Fishing, hunting and trapping","(D)",2036,1912,1984,"(D)","(D)"
"12005","Bay, FL","103","        Support activities for agriculture and forestry","(D)",5870,5668,6015,5577,"(D)"
"12005","Bay, FL","200","      Mining, quarrying, and oil and gas extraction",461,252,1468,2469,"(D)",4622
"12005","Bay, FL","201","        Oil and gas extraction",232,80,230,371,707,2610
