GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "05000" ,"Arkansas",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",64374920,65878184,69721985,74158872,78138502,83020846,88484857,91798185,90242461,93103196,99328677,106536954,106429638,112619155,116248596,118769649,123313411
 "05000" ,"Arkansas",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279
 "05000" ,"Arkansas",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23917,24346,25588,26970,28096,29422,31062,31935,31152,31866,33801,36124,35995,37985,39067,39746,41046
 "05001" ,"Arkansas, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",494997,482467,546668,583156,541393,573642,595872,640130,655967,647901,687680,725607,781825,762505,746461,788254,779342
 "05001" ,"Arkansas, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20593,20351,19981,19967,19954,19785,19434,19275,19134,19016,18869,18957,18746,18484,18350,18215,17967
 "05001" ,"Arkansas, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24037,23707,27359,29206,27132,28994,30661,33210,34283,34071,36445,38276,41706,41252,40679,43275,43376
 "05003" ,"Ashley, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",516531,512495,547429,548160,568942,590515,605287,601078,607461,643329,683722,678150,680216,662076,672138,674034,680347
 "05003" ,"Ashley, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23824,23745,23469,23156,22770,22501,22229,22148,21920,21833,21673,21518,21281,20958,20837,20498,20283
 "05003" ,"Ashley, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21681,21583,23326,23672,24986,26244,27230,27139,27713,29466,31547,31515,31964,31591,32257,32883,33543
 "05005" ,"Baxter, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",880211,911459,930110,972871,1037451,1130432,1207346,1220928,1190564,1197774,1236675,1306477,1288755,1369733,1401061,1406773,1459527
