GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "04000" ,"Arizona",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",140805569,145930328,154810692,169309942,188149041,209009703,220652427,223221865,211397715,215012419,225853155,236455566,242571877,257066980,270806695,280988093,296648898
 "04000" ,"Arizona",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
 "04000" ,"Arizona",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26701,27043,28094,29954,32222,34667,35776,35543,33327,33559,34932,36132,36664,38331,39811,40672,42280
 "04001" ,"Apache, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1124857,1166371,1249452,1321239,1420576,1479770,1579630,1729352,1871824,1939280,1985382,1984948,2020967,2113963,2183667,2240006,2351874
 "04001" ,"Apache, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",67863,67319,68072,68161,68521,69390,69602,69883,71008,71838,72179,72215,72292,71762,70979,71373,71606
 "04001" ,"Apache, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",16575,17326,18355,19384,20732,21325,22695,24746,26361,26995,27506,27487,27956,29458,30765,31385,32845
 "04003" ,"Cochise, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2637453,2771101,3024788,3247831,3530600,3739833,4025825,4259200,4440968,4550397,4681207,4531332,4463184,4556979,4662523,4728614,4902154
 "04003" ,"Cochise, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",118798,119847,120638,123234,125786,127241,128206,129023,130081,131782,132952,131826,129332,127054,126084,125355,124756
 "04003" ,"Cochise, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22201,23122,25073,26355,28068,29392,31401,33011,34140,34530,35210,34374,34510,35866,36979,37722,39294
 "04005" ,"Coconino, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2932557,3066787,3222536,3476352,3744862,4119871,4416384,4716122,4517343,4622891,4971530,5005591,5235880,5605538,5935647,6203928,6513074
 "04005" ,"Coconino, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",118283,121308,122882,125117,127025,128695,130442,131853,133477,134612,134181,136002,136448,137209,138682,140079,140776
 "04005" ,"Coconino, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24793,25281,26225,27785,29481,32013,33857,35768,33844,34342,37051,36805,38373,40854,42800,44289,46266
