GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "08000" ,"Colorado",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",154409814,154765500,157543201,163427008,174771645,188803293,201227297,207772729,198147196,204691900,222571956,236687388,248958974,271101038,284142915,289620855,306411131
 "08000" ,"Colorado",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154
 "08000" ,"Colorado",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",34889,34466,34787,35722,37732,39997,41889,42492,39851,40549,43502,45637,47308,50746,52228,52372,54646
 "08001" ,"Adams, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10470196,10352424,10660891,10970152,11420709,12081042,12807241,13471588,13410531,13630218,14634652,15609561,16355498,17657959,18834014,19705966,20738261
 "08001" ,"Adams, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",376443,370753,377464,384809,395146,406575,415746,424913,435700,443672,451443,459861,469377,479488,489822,497395,503167
 "08001" ,"Adams, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27813,27923,28243,28508,28903,29714,30805,31704,30779,30721,32417,33944,34845,36827,38451,39618,41215
 "08003" ,"Alamosa, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",345048,372956,355893,374032,390843,395879,418965,441537,447140,450747,482209,488288,496410,521982,565395,568602,591214
 "08003" ,"Alamosa, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",14956,15114,15067,15217,15236,15196,15180,15300,15289,15937,16117,16092,16200,16213,16305,16456,16551
 "08003" ,"Alamosa, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23071,24676,23621,24580,25653,26052,27600,28859,29246,28283,29919,30344,30643,32195,34676,34553,35721
 "08005" ,"Arapahoe, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20848626,20852670,21211104,21060042,21844161,23802189,25070778,23957876,22303444,23454807,27321656,28821168,30178847,32904644,34256124,35106133,36423679
 "08005" ,"Arapahoe, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",502393,508936,513690,518971,524466,531619,542039,552461,563161,574650,584955,595094,606839,617385,628834,636949,643052
 "08005" ,"Arapahoe, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",41499,40973,41292,40580,41650,44773,46253,43366,39604,40816,46707,48431,49731,53297,54476,55116,56642
 "08007" ,"Archuleta, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",259121,275062,276596,274162,303345,342985,370435,381862,358785,365024,385337,405134,417706,462646,488554,515405,531858
 "08007" ,"Archuleta, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10454,10885,11089,11266,11496,11937,12262,12250,12169,12045,12014,12124,12205,12222,12382,12836,13315
 "08007" ,"Archuleta, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24787,25270,24943,24335,26387,28733,30210,31172,29484,30305,32074,33416,34224,37854,39457,40153,39944
 "08009" ,"Baca, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",118575,95101,112514,109629,116899,97311,119190,125677,142527,148649,165056,139700,155139,142026,133186,137509,149671
 "08009" ,"Baca, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",4471,4336,4117,4064,3997,3933,3866,3806,3767,3808,3778,3722,3655,3586,3552,3548,3562
 "08009" ,"Baca, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26521,21933,27329,26976,29247,24742,30830,33021,37836,39036,43689,37534,42446,39606,37496,38757,42019
 "08011" ,"Bent, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",124260,116228,127085,129009,132043,125971,135976,140559,143294,141951,145942,141573,143177,147775,161740,155297,156866
 "08011" ,"Bent, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",5841,5973,6166,6180,6118,6012,5715,5962,6425,6501,6328,5816,5733,5784,5893,5681,5938
 "08011" ,"Bent, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21274,19459,20611,20875,21583,20953,23793,23576,22303,21835,23063,24342,24974,25549,27446,27336,26417
 "08013" ,"Boulder, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",12645707,11535289,11718366,12023818,12904847,13881261,14547608,15060376,13696406,14815455,15632452,16700010,17505391,18896217,20412704,20924309,21939604
 "08013" ,"Boulder, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",300137,279468,278768,279728,280241,284243,287428,290859,293190,295930,300518,305028,309749,312505,317968,321173,322514
 "08013" ,"Boulder, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",42133,41276,42036,42984,46049,48836,50613,51779,46715,50064,52018,54749,56515,60467,64197,65150,68027
 "08014" ,"Broomfield, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",(NA),1734001,1816500,1958486,2192932,2599585,2977379,3333874,3130831,3035162,3230126,3441624,3306656,3557938,3804195,4011545,4346242
 "08014" ,"Broomfield, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),41800,43805,44867,46313,48729,51526,53181,54789,56214,57445,58899,60065,61706,64796,66509,68341
 "08014" ,"Broomfield, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),41483,41468,43651,47350,53348,57784,62689,57143,53993,56230,58433,55051,57660,58710,60316,63596
 "08015" ,"Chaffee, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",389507,393187,403538,421077,447062,479124,519241,531622,543731,549434,584992,618939,651613,718525,764647,814227,859607
 "08015" ,"Chaffee, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",16488,16844,16921,17047,17105,17087,17377,17573,17852,17805,18019,18142,18347,18439,18582,19082,19638
 "08015" ,"Chaffee, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23624,23343,23848,24701,26136,28040,29881,30252,30458,30858,32465,34116,35516,38968,41150,42670,43773
 "08017" ,"Cheyenne, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",71866,54610,70918,66338,68456,60794,87821,76473,88172,99409,108280,97721,104098,97849,95724,90881,105556
 "08017" ,"Cheyenne, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2179,2119,2021,1981,1939,1912,1863,1881,1843,1832,1853,1862,1869,1834,1811,1834,1845
 "08017" ,"Cheyenne, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",32981,25772,35091,33487,35305,31796,47140,40656,47842,54263,58435,52482,55697,53353,52857,49553,57212
 "08019" ,"Clear Creek, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",335752,363435,393125,395103,410206,425206,412895,421616,403323,398603,418391,433657,452223,474898,516941,525826,542577
 "08019" ,"Clear Creek, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",9383,9514,9402,9148,9150,9042,9152,9138,8994,9083,9002,9005,9008,9110,9233,9361,9574
 "08019" ,"Clear Creek, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35783,38200,41813,43190,44831,47026,45115,46139,44844,43885,46478,48157,50202,52129,55988,56172,56672
 "08021" ,"Conejos, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",149737,149942,163556,170352,173288,174813,182560,191796,201703,204034,220842,225463,238499,244525,271019,273084,284201
 "08021" ,"Conejos, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",8350,8358,8310,8353,8337,8256,8217,8200,8140,8312,8279,8239,8192,8224,8061,8072,8184
 "08021" ,"Conejos, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17933,17940,19682,20394,20785,21174,22217,23390,24779,24547,26675,27365,29114,29733,33621,33831,34726
 "08023" ,"Costilla, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",76156,79915,76464,75376,78287,80377,83691,83855,89902,88526,99934,97786,102214,105688,115975,116856,123677
 "08023" ,"Costilla, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",3619,3639,3645,3656,3562,3571,3567,3532,3481,3529,3636,3597,3535,3554,3569,3705,3776
 "08023" ,"Costilla, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21043,21961,20978,20617,21978,22508,23463,23742,25826,25085,27485,27185,28915,29738,32495,31540,32753
 "08025" ,"Crowley, CO",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",99304,84365,85217,86613,96011,95467,99432,103567,96031,95530,95253,98073,98400,103570,124364,118563,112962
 "08025" ,"Crowley, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",5614,5666,5464,5720,5677,5886,6015,5947,5797,5860,5859,5435,5321,5586,5597,5254,5810
