GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "12000" ,"Florida",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",495620035,512579522,538103968,587659123,641627431,697871163,726357421,727016081,682319559,725801140,766185838,791918553,794796980,858498660,919226924,953260614,1000624065
 "12000" ,"Florida",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18846461,19097369,19341327,19584927,19897747,20268567,20656589,20984400
 "12000" ,"Florida",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30300,30713,31646,33744,35962,38414,39545,39240,36580,38511,40120,40944,40582,43146,45352,46148,47684
 "12001" ,"Alachua, FL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5806303,5995440,6220191,6920315,7468700,8029596,8433925,8731842,8428705,8819915,9196382,9223692,9313306,9922364,10375513,10801318,11286402
 "12001" ,"Alachua, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",221718,224614,227022,229867,233756,239506,242685,244888,246657,247606,249832,251654,252704,255809,259525,264341,266944
 "12001" ,"Alachua, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26188,26692,27399,30106,31951,33526,34753,35656,34172,35621,36810,36652,36855,38788,39979,40861,42280
 "12003" ,"Baker, FL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",479791,504318,537974,575124,603761,641203,679121,689658,672885,694706,713911,718898,716774,750927,793305,828868,871236
 "12003" ,"Baker, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",22620,23298,23555,24142,24832,25571,26212,26725,27124,27062,27042,27043,27000,27123,27364,27915,28283
 "12003" ,"Baker, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21211,21646,22839,23823,24314,25075,25909,25806,24808,25671,26400,26584,26547,27686,28991,29693,30804
 "12005" ,"Bay, FL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4010025,4238011,4541143,4896618,5311868,5706667,5897951,6097526,5923569,6224875,6402397,6429988,6521655,6929572,7342644,7562586,7796975
 "12005" ,"Bay, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",150207,152741,155044,158804,162917,165644,165345,166267,167464,169207,169521,171755,174626,178221,181184,182992,183563
