GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "16000" ,"Idaho",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",33979522,35112387,36321651,39252192,41760737,46002241,48997259,50089182,48408680,50144476,53041271,56111881,58236024,61616002,65610780,68054782,71812936
 "16000" ,"Idaho",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570912,1583180,1594673,1610187,1630391,1649324,1680026,1716943
 "16000" ,"Idaho",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25743,26196,26641,28202,29239,31322,32554,32646,31142,31921,33503,35187,36167,37792,39780,40508,41826
 "16001" ,"Ada, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10524260,10997642,11352545,12277544,13093647,14711283,15225485,15105477,14660034,15059082,15899093,16958345,17831514,19263622,20630304,21511244,22796904
 "16001" ,"Ada, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",313896,321616,327393,334926,348755,363498,375368,382618,388577,393446,400995,408915,416074,425627,432768,444269,456849
 "16001" ,"Ada, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",33528,34195,34676,36657,37544,40471,40561,39479,37727,38275,39649,41472,42857,45259,47671,48419,49900
 "16003" ,"Adams, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",76049,82465,85293,94671,99410,105259,111370,113856,107841,110462,116494,121391,122868,130277,139767,146606,152821
 "16003" ,"Adams, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",3495,3559,3624,3693,3817,3788,3949,4021,4000,3962,3981,3907,3863,3882,3889,3949,4147
 "16003" ,"Adams, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21759,23171,23536,25635,26044,27787,28202,28315,26960,27880,29262,31070,31806,33559,35939,37125,36851
 "16005" ,"Bannock, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1730295,1782337,1854152,1966512,2046658,2170243,2284849,2368344,2353713,2422488,2525711,2593837,2658595,2757768,2911085,3008320,3153879
 "16005" ,"Bannock, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",76296,76487,76312,76834,77419,78491,79338,80609,81994,83024,83599,83724,83410,83514,83992,84379,85269
 "16005" ,"Bannock, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22679,23302,24297,25594,26436,27650,28799,29381,28706,29178,30212,30981,31874,33022,34659,35652,36987
 "16007" ,"Bear Lake, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",121747,118808,127712,131692,136825,142682,158770,167655,168324,172187,180465,196284,202380,208556,213610,219345,226856
 "16007" ,"Bear Lake, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",6394,6219,6219,6170,6077,6071,6049,6027,6014,5969,5953,5890,5943,5922,5876,5942,6028
 "16007" ,"Bear Lake, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19041,19104,20536,21344,22515,23502,26247,27817,27989,28847,30315,33325,34054,35217,36353,36914,37634
 "16009" ,"Benewah, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",197070,197445,200161,213685,221643,236907,251743,253036,246521,259761,266362,279296,289423,290034,314441,315490,326219
 "16009" ,"Benewah, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",8968,8917,8901,8907,9053,9260,9296,9385,9286,9290,9170,9123,9027,9029,8988,9022,9184
 "16009" ,"Benewah, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21975,22143,22487,23991,24483,25584,27081,26962,26548,27961,29047,30614,32062,32122,34985,34969,35520
 "16011" ,"Bingham, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",852973,900267,902968,949996,965543,1090124,1182431,1242376,1244689,1290695,1398354,1397706,1433139,1426313,1488171,1512129,1632030
 "16011" ,"Bingham, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",42073,42101,42555,42702,43173,43396,43816,44414,45087,45768,45891,45517,45425,45213,45026,45255,45927
 "16011" ,"Bingham, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20274,21384,21219,22247,22365,25120,26986,27973,27606,28201,30471,30707,31550,31547,33051,33414,35535
 "16013" ,"Blaine, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",952104,961291,1017896,1162060,1273048,1460055,1517829,1637461,1400315,1312367,1434677,1653325,1717449,1868248,2065121,2130817,2258476
 "16013" ,"Blaine, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",19755,20189,20557,20811,20897,21082,21169,21477,21590,21299,21068,21096,21256,21388,21507,21741,22024
 "16013" ,"Blaine, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",48196,47615,49516,55839,60920,69256,71701,76243,64859,61616,68097,78371,80798,87350,96021,98009,102546
 "16015" ,"Boise, ID",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",158399,156272,154757,179069,196836,215742,223790,227341,209388,215699,222385,223971,231590,244628,261519,298215,317471
