GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "17000" ,"Illinois",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",428742304,434249487,441946066,459074090,477013210,509272216,538588110,552022151,525582357,540463843,568154309,593271379,607909671,638061366,664296212,673528927,693913981
 "17000" ,"Illinois",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12841196,12862298,12878494,12890403,12882438,12862051,12835726,12802023
 "17000" ,"Illinois",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",34331,34669,35198,36464,37828,40278,42422,43306,41071,42088,44172,46067,47160,49530,51648,52473,54203
 "17001" ,"Adams, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1806549,1851621,1930633,2017834,2009816,2099212,2221988,2354512,2339172,2460173,2560490,2653935,2677309,2746706,2818808,2859319,2938972
 "17001" ,"Adams, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",68014,67776,67267,66818,66920,67106,66943,66943,67039,67166,67201,67139,66996,67016,67014,66673,66234
 "17001" ,"Adams, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26561,27320,28701,30199,30033,31282,33192,35172,34893,36628,38102,39529,39962,40986,42063,42886,44373
 "17003" ,"Alexander, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",172488,176840,180396,186327,186295,187050,192915,204101,209696,219196,212044,203662,212673,206989,209614,208735,208507
 "17003" ,"Alexander, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",9592,9592,9254,9186,8914,8730,8552,8461,8295,8206,7991,7716,7234,7080,6759,6491,6315
 "17003" ,"Alexander, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17982,18436,19494,20284,20899,21426,22558,24123,25280,26712,26535,26395,29399,29236,31013,32158,33018
 "17005" ,"Bond, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",448659,446889,459023,483219,475263,491408,487577,511595,507791,528625,546201,544415,561736,563438,559563,567445,587478
 "17005" ,"Bond, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",17586,17735,17960,18101,17988,18004,18077,17916,17747,17787,17719,17532,17322,17130,16929,16841,16948
 "17005" ,"Bond, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25512,25198,25558,26696,26421,27294,26972,28555,28613,29720,30826,31053,32429,32892,33054,33694,34664
 "17007" ,"Boone, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1223904,1275331,1346057,1406271,1531090,1719821,1852630,1936579,1850914,1890071,2016696,2091274,2128925,2184364,2259437,2357491,2403163
 "17007" ,"Boone, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",43220,44585,46242,47893,49725,51797,53512,54211,54154,54106,54130,53754,53788,53742,53584,53562,53513
 "17007" ,"Boone, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28318,28604,29109,29363,30791,33203,34621,35723,34179,34933,37257,38905,39580,40645,42166,44014,44908
 "17009" ,"Brown, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",129924,126522,136002,149041,139314,141601,146524,151123,162293,174762,181997,193054,210636,202484,204422,209789,217836
 "17009" ,"Brown, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",6984,6925,6997,6968,6917,6875,6833,6896,6963,6919,6878,6888,6861,6834,6800,6744,6716
 "17009" ,"Brown, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18603,18270,19437,21389,20141,20597,21444,21915,23308,25258,26461,28028,30700,29629,30062,31108,32435
 "17011" ,"Bureau, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",996268,1013674,1015957,1065758,1041192,1075503,1143884,1205502,1164847,1193630,1311324,1310823,1398934,1329131,1319178,1354768,1388934
 "17011" ,"Bureau, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",35181,35057,35080,34951,34977,35183,35153,35078,35058,34957,34616,34337,34106,33846,33468,33433,33243
 "17011" ,"Bureau, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28318,28915,28961,30493,29768,30569,32540,34366,33226,34146,37882,38175,41017,39270,39416,40522,41781
 "17013" ,"Calhoun, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",121895,123034,130105,140158,142243,148576,153378,168859,168515,173338,181228,177122,182418,176548,177525,183418,189711
 "17013" ,"Calhoun, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",5045,4987,5122,5138,5163,5174,5160,5084,5082,5096,5048,4985,5007,4926,4862,4859,4833
 "17013" ,"Calhoun, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24162,24671,25401,27279,27550,28716,29724,33214,33159,34015,35901,35531,36433,35840,36513,37748,39253
 "17015" ,"Carroll, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",437522,429547,445759,448801,454412,483050,527351,541980,532503,555606,608749,576853,635512,605409,598197,630734,621757
 "17015" ,"Carroll, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",16405,16312,16267,16102,15914,15866,15734,15638,15476,15389,15220,15113,14964,14783,14645,14611,14518
