GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "21000" ,"Kentucky",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",104268892,106642137,109563273,115893943,121519992,128717458,134505711,140471618,138837504,144009207,151069464,156511651,157850740,165369017,172361423,175012793,180826521
 "21000" ,"Kentucky",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4347948,4368505,4383673,4399121,4410415,4422057,4436113,4454189
 "21000" ,"Kentucky",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25631,26075,26611,27953,29053,30507,31599,32745,32160,33121,34582,35703,35882,37495,38978,39452,40597
 "21001" ,"Adair, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",321890,321455,323593,343855,361327,376460,399258,420076,437319,460746,485919,502211,513758,536874,551690,556001,576006
 "21001" ,"Adair, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",17584,17762,17924,17994,18128,18335,18493,18541,18729,18754,18984,18929,19110,19246,19298,19379,19485
 "21001" ,"Adair, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18306,18098,18054,19109,19932,20532,21590,22657,23350,24568,25596,26531,26884,27895,28588,28691,29562
 "21003" ,"Allen, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",371688,366097,369245,400176,420469,444601,464835,487388,481944,492830,518992,550582,544961,585446,620648,629516,653566
 "21003" ,"Allen, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",17947,18219,18434,18699,18910,19272,19540,19838,19811,20046,20181,20239,20319,20497,20662,20729,20933
 "21003" ,"Allen, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20710,20094,20031,21401,22235,23070,23789,24568,24327,24585,25717,27204,26820,28563,30038,30369,31222
 "21005" ,"Anderson, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",495088,504591,513902,540647,575323,609597,649583,672831,663111,690962,718091,741574,759695,784259,810642,837778,865856
 "21005" ,"Anderson, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",19382,19315,19504,19714,19987,20519,20999,21088,21328,21427,21522,21657,21706,21824,21865,22144,22544
 "21005" ,"Anderson, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25544,26124,26349,27425,28785,29709,30934,31906,31091,32247,33365,34242,34999,35936,37075,37833,38407
 "21007" ,"Ballard, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",210622,199630,207698,218334,230739,226600,239327,252620,258793,253500,278038,275318,303665,294477,291298,286086,296233
 "21007" ,"Ballard, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8225,8164,8254,8242,8269,8204,8190,8265,8204,8261,8270,8288,8255,8191,8217,8057,8039
 "21007" ,"Ballard, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25608,24452,25163,26490,27904,27621,29222,30565,31545,30686,33620,33219,36786,35951,35451,35508,36849
 "21009" ,"Barren, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",912524,938857,942673,1016652,1039797,1070945,1128244,1185269,1145141,1202425,1274747,1351399,1357643,1445832,1518072,1499556,1541109
 "21009" ,"Barren, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",38517,38704,39164,39601,40320,40857,41435,41797,42171,42124,42324,42607,42924,43028,43549,43789,43801
 "21009" ,"Barren, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23691,24257,24070,25672,25789,26212,27229,28358,27155,28545,30119,31718,31629,33602,34859,34245,35184
 "21011" ,"Bath, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",222686,232771,235698,247255,252695,262313,271438,281760,283952,290974,306598,326827,334724,342714,353767,356755,367243
 "21011" ,"Bath, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",11280,11403,11428,11447,11538,11558,11470,11647,11544,11616,11714,11781,11975,12129,12194,12271,12378
 "21011" ,"Bath, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19742,20413,20625,21600,21901,22695,23665,24192,24597,25049,26174,27742,27952,28256,29012,29073,29669
 "21013" ,"Bell, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",546278,551907,565119,586864,602314,627244,655982,703580,712036,730837,738457,727838,701553,743551,750894,738879,763656
 "21013" ,"Bell, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",29561,29691,29478,29275,29130,28960,28794,28836,28667,28708,28656,28295,28041,27841,27379,27192,26894
 "21013" ,"Bell, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",18480,18588,19171,20047,20677,21659,22782,24399,24838,25458,25770,25723,25019,26707,27426,27173,28395
 "21015" ,"Boone, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2858453,3006656,3210470,3376327,3641579,3837199,4170481,4404098,4287452,4427024,4739074,4937052,4964785,5247058,5484738,5672766,5929558
 "21015" ,"Boone, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",90277,93323,96680,100822,105456,109295,112308,115262,117461,119362,121510,122986,124495,126241,127793,129154,130728
 "21015" ,"Boone, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31663,32218,33207,33488,34532,35109,37134,38209,36501,37089,39002,40143,39879,41564,42919,43922,45358
 "21017" ,"Bourbon, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",545109,544191,539101,601907,618104,638038,647762,639261,626704,627620,666624,694650,774980,806935,841304,837711,864968
 "21017" ,"Bourbon, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",19443,19452,19563,19733,19908,19809,19891,20046,20027,19929,19983,19963,19928,19976,20093,20057,20029
 "21017" ,"Bourbon, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28036,27976,27557,30503,31048,32210,32566,31890,31293,31493,33360,34797,38889,40395,41871,41767,43186
 "21019" ,"Boyd, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1279296,1332937,1363240,1317808,1331345,1424075,1478546,1549862,1561963,1632765,1650655,1656617,1647318,1703600,1745792,1728065,1773022
 "21019" ,"Boyd, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",49595,49578,49754,49542,49403,49312,49154,49244,49362,49607,49417,49253,48907,48840,48507,48196,47979
