GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "24000" ,"Maryland",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",199093345,206990118,216518682,231482039,244346452,257711767,268336421,280308847,278546534,288606603,305178393,314141448,313194782,324968237,341295179,353879629,368258212
 "24000" ,"Maryland",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788099,5843115,5891680,5932654,5970245,6000561,6024752,6052177
 "24000" ,"Maryland",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",37043,38047,39394,41732,43693,45796,47465,49307,48609,49862,52229,53320,52792,54431,56877,58738,60847
 "24001" ,"Allegany, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1911707,2002586,2097972,2170455,2096830,2041365,2070900,2229413,2300840,2393024,2472984,2502770,2531371,2609794,2674502,2744628,2815878
 "24001" ,"Allegany, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",74525,74204,74076,74408,73979,73980,74449,74638,75101,74977,74585,73962,73604,73045,72498,72194,71615
 "24001" ,"Allegany, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25652,26988,28322,29170,28344,27593,27816,29870,30637,31917,33157,33839,34392,35729,36891,38017,39320
 "24003" ,"Anne Arundel, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20144798,21047659,22063057,23438246,24593504,26027860,27068812,27883368,27564481,28488912,30304506,31365442,31725620,33044439,34590391,35619515,37058628
 "24003" ,"Anne Arundel, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",498559,504884,507769,513259,516171,517698,520503,525304,532395,539234,544973,550636,556007,560452,564390,568916,573235
 "24003" ,"Anne Arundel, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",40406,41688,43451,45666,47646,50276,52005,53080,51774,52832,55607,56962,57060,58960,61288,62609,64648
 "24005" ,"Baltimore, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29475251,30409202,31330893,33102043,34704798,36923516,38697121,39733498,38611158,39612858,40924710,42328634,42432492,44217353,45794140,47249515,49223612
 "24005" ,"Baltimore, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",762925,770147,777756,784371,789110,793733,796073,798651,801808,806405,813280,818583,823364,826545,829379,831431,832468
 "24005" ,"Baltimore, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",38635,39485,40284,42202,43980,46519,48610,49751,48155,49123,50321,51710,51536,53497,55215,56829,59130
 "24009" ,"Calvert, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2632610,2841783,3071626,3311758,3578815,3815282,4044293,4268009,4322364,4454890,4667769,4771766,4770359,4921499,5131798,5299734,5497413
 "24009" ,"Calvert, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",77218,80153,83007,84928,86294,87043,87445,87788,88244,88983,89322,89722,90455,90567,90495,91099,91502
 "24009" ,"Calvert, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",34093,35454,37004,38995,41472,43832,46250,48617,48982,50065,52258,53184,52737,54341,56708,58176,60080
 "24011" ,"Caroline, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",723993,750003,823788,897345,939778,977512,1041012,1101994,1104237,1137227,1203777,1262739,1299106,1331586,1364983,1406858,1488118
 "24011" ,"Caroline, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",29814,30054,30553,30653,31416,32214,32720,32983,33013,33056,32898,32643,32666,32558,32620,32887,33193
 "24011" ,"Caroline, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24284,24955,26963,29274,29914,30344,31816,33411,33449,34403,36591,38683,39769,40899,41845,42779,44832
 "24013" ,"Carroll, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5409946,5783337,6117778,6311650,6769077,7250578,7569531,7892088,7824333,8046574,8431565,8639438,8720777,9096915,9505902,9807206,10152747
 "24013" ,"Carroll, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",154037,157930,161389,163915,165519,166950,167390,167433,167028,167200,167019,167030,167211,167329,167136,167140,167781
 "24013" ,"Carroll, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35121,36620,37907,38506,40896,43430,45221,47136,46844,48125,50483,51724,52154,54365,56875,58677,60512
 "24015" ,"Cecil, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2604376,2722755,2877496,3096037,3248189,3478749,3613826,3738794,3764122,3827891,4002067,4092376,4149130,4302068,4464540,4560908,4732415
 "24015" ,"Cecil, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",88228,90061,92444,94809,96836,98821,99628,100232,100816,101172,101585,101767,101931,102249,102452,102701,102746
 "24015" ,"Cecil, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29519,30232,31127,32656,33543,35203,36273,37301,37337,37835,39396,40213,40705,42074,43577,44410,46059
 "24017" ,"Charles, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4197079,4487251,4832633,5171429,5533392,5927471,6285731,6677750,6813633,7024697,7413123,7526090,7573357,7807557,8154886,8443287,8820414
 "24017" ,"Charles, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",124745,128079,131942,135601,138560,141164,142721,143783,144804,147145,149207,150689,152722,154462,155793,157430,159700
 "24017" ,"Charles, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",33645,35035,36627,38137,39935,41990,44042,46443,47054,47740,49683,49945,49589,50547,52344,53632,55231
 "24019" ,"Dorchester, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",797754,814919,856348,943542,980318,1002642,1076919,1137543,1133739,1162838,1235896,1254528,1282955,1324339,1362217,1396002,1451824
 "24019" ,"Dorchester, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",30647,30526,30628,31086,31422,31677,32172,32466,32470,32682,32700,32475,32575,32513,32411,32267,32162
 "24019" ,"Dorchester, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26030,26696,27960,30353,31198,31652,33474,35038,34917,35580,37795,38631,39385,40733,42029,43264,45141
 "24021" ,"Frederick, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7149464,7548540,8051969,8694046,9310615,9975271,10575876,11072102,11125646,11523223,12090592,12435805,12535112,13021100,13577890,14248621,14934448
 "24021" ,"Frederick, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",202315,209194,213827,217776,221201,224211,227463,229286,230942,234170,237370,239770,241363,243776,245482,247881,252022
 "24021" ,"Frederick, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35338,36084,37656,39922,42091,44491,46495,48289,48175,49209,50936,51866,51935,53414,55311,57482,59259
 "24023" ,"Garrett, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",705674,734748,792641,849838,888438,934292,961235,1002568,999717,1043233,1091473,1103192,1136922,1192859,1222655,1242184,1281112
 "24023" ,"Garrett, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",29812,29987,30182,30147,30083,30147,30148,30222,30145,30130,30137,29954,29954,29635,29416,29344,29233
 "24023" ,"Garrett, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23671,24502,26262,28190,29533,30991,31884,33173,33164,34624,36217,36830,37956,40252,41564,42332,43824
 "24025" ,"Harford, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7463782,7904640,8381197,8869094,9458595,10053806,10554272,11022886,10973034,11405073,11952432,12207196,12185646,12714446,13260574,13738369,14263163
 "24025" ,"Harford, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",222753,227369,231411,234849,238402,241163,241634,242779,243685,245224,246730,248585,248969,249430,249661,250439,252160
 "24025" ,"Harford, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",33507,34766,36218,37765,39675,41689,43679,45403,45030,46509,48443,49107,48944,50974,53114,54857,56564
 "24027" ,"Howard, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",12036439,12449072,12898033,13811098,14817699,16017380,16722691,17556564,17816189,18452859,19987372,20778363,20499507,21158756,22203989,23070751,24063585
 "24027" ,"Howard, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",255211,259532,263186,265919,268590,271793,275196,278405,283061,288605,293858,299552,304210,307784,312400,316966,321113
 "24027" ,"Howard, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",47163,47967,49007,51937,55168,58932,60766,63061,62941,63938,68017,69365,67386,68745,71076,72786,74938
 "24029" ,"Kent, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",681318,706905,724277,791886,833214,923697,927730,944932,918543,913302,957086,963252,974861,1023429,1067231,1101492,1152685
 "24029" ,"Kent, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",19330,19443,19505,19513,19695,19786,19801,20150,20132,20206,20250,19977,19822,19774,19696,19654,19384
 "24029" ,"Kent, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35247,36358,37133,40582,42306,46684,46853,46895,45626,45200,47264,48218,49181,51756,54185,56044,59466
 "24031" ,"Montgomery, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",48070556,49323666,51475694,55953946,59068397,61611475,63116972,66912926,65405121,68848101,74120511,76943862,74332805,76405678,82326775,87051154,91202046
 "24031" ,"Montgomery, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",891764,903140,910498,914991,921531,926492,931694,942748,959013,976140,993326,1007488,1019291,1030188,1039370,1048332,1058810
 "24031" ,"Montgomery, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",53905,54614,56536,61152,64098,66500,67744,70976,68200,70531,74619,76372,72926,74167,79208,83038,86136
 "24033" ,"Prince George's, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",25200387,26492432,27731038,29213508,30469717,31521844,32500128,33701107,34597935,35415548,37116503,37743195,37979105,39222513,40649613,41778242,43232981
 "24033" ,"Prince George's, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",817360,828893,837648,845950,853271,852097,849916,850167,856161,865653,874599,882851,891968,901644,908282,911154,912756
 "24033" ,"Prince George's, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30831,31961,33106,34533,35709,36993,38239,39641,40411,40912,42438,42751,42579,43501,44754,45852,47365
 "24035" ,"Queen Anne's, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1584921,1662670,1751716,1860236,1932031,2049568,2172527,2301763,2281315,2363142,2500208,2588834,2606318,2705519,2806816,2946499,3085483
 "24035" ,"Queen Anne's, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",41253,42524,43688,44411,44879,45716,46517,47063,47532,47809,48270,48512,48545,48822,49039,49178,49770
 "24035" ,"Queen Anne's, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",38420,39100,40096,41887,43050,44833,46704,48908,47995,49429,51796,53365,53689,55416,57236,59915,61995
 "24037" ,"St. Mary's, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2682482,2916007,3172593,3422428,3654570,3922358,4200817,4477356,4675706,4953711,5257249,5354226,5358790,5548373,5798688,5962892,6187732
 "24037" ,"St. Mary's, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",87455,89819,92333,94900,96871,98849,100599,101921,103273,105764,107585,108831,109275,110016,111100,111835,112667
 "24037" ,"St. Mary's, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30673,32465,34360,36064,37726,39680,41758,43930,45275,46837,48866,49198,49039,50432,52193,53319,54921
 "24039" ,"Somerset, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",520140,515394,537486,577164,577585,593953,624722,655047,657480,678619,691174,696895,728628,758059,770428,770885,811937
 "24039" ,"Somerset, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",25157,25445,25541,25807,25793,26139,26534,26474,26425,26463,26263,26042,25975,25588,25692,25833,25918
 "24039" ,"Somerset, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20676,20255,21044,22365,22393,22723,23544,24743,24881,25644,26317,26760,28051,29626,29987,29841,31327
 "24041" ,"Talbot, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1477004,1520382,1596188,1815528,1937939,2086866,2195394,2228499,2147815,2145779,2249326,2280351,2316829,2385125,2504981,2542436,2643437
 "24041" ,"Talbot, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",34231,34628,34994,35793,36423,37000,37167,37307,37496,37879,37949,37991,37910,37582,37507,37204,37103
 "24041" ,"Talbot, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",43148,43906,45613,50723,53206,56402,59068,59734,57281,56648,59272,60023,61114,63465,66787,68338,71246
 "24043" ,"Washington, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3681151,3801650,3993395,4341414,4606762,4923335,5190782,5347148,5277416,5464440,5740050,5919616,5971207,6204971,6436479,6626767,6867800
 "24043" ,"Washington, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",133093,134831,136872,139423,142084,144286,146173,146674,146953,147724,148755,149057,149045,149097,149198,149810,150578
 "24043" ,"Washington, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27658,28196,29176,31138,32423,34122,35511,36456,35912,36991,38587,39714,40063,41617,43141,44234,45610
 "24045" ,"Wicomico, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2283596,2358801,2474503,2704622,2911626,3041213,3214640,3385151,3283765,3422294,3536369,3551060,3633389,3854269,4010201,4056443,4209176
 "24045" ,"Wicomico, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",85637,86679,88463,90210,92508,94621,96110,97111,98069,98959,100110,100597,100957,101546,102058,102585,102923
 "24045" ,"Wicomico, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26666,27213,27972,29981,31474,32141,33448,34859,33484,34583,35325,35300,35989,37956,39293,39542,40896
 "24047" ,"Worcester, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1495925,1549993,1637893,1821111,1929847,2034493,2100453,2222793,2172785,2276138,2369982,2509986,2540567,2631795,2862469,2877143,3007897
 "24047" ,"Worcester, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",47889,48752,49524,49994,50181,50678,51049,51196,51313,51493,51505,51579,51555,51581,51455,51514,51690
 "24047" ,"Worcester, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31237,31793,33073,36427,38458,40145,41146,43417,42344,44203,46015,48663,49279,51023,55631,55852,58191
 "24510" ,"Baltimore (Independent City), MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16162992,16645723,17228468,18313615,19504716,20577241,21810037,22815548,22775160,23552230,24861669,25321832,25909929,27485795,28753031,29338098,30073681
 "24510" ,"Baltimore (Independent City), MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",640733,634115,629033,624222,621560,621109,620306,620184,620509,621026,620839,623387,623280,624062,623031,616958,611648
 "24510" ,"Baltimore (Independent City), MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25226,26250,27389,29338,31380,33130,35160,36788,36704,37925,40045,40620,41570,44043,46150,47553,49168
"Note: See the included footnote file."
"Last updated: November 15, 2018-- new statistics for 2017; revised statistics for 2001-2016. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
