GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "26000" ,"Michigan",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",306609768,306385368,313829827,322531824,329225583,337455775,347081013,354064170,336043470,348673288,370180043,385408269,389319563,407648738,431157244,444531935,460269972
 "26000" ,"Michigan",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311
 "26000" ,"Michigan",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30688,30590,31254,32076,32755,33624,34704,35595,33938,35302,37482,38983,39328,41116,43471,44751,46201
 "26001" ,"Alcona, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",249893,250873,257379,261316,268270,271309,280390,296642,292628,305105,315926,324834,331256,341121,354193,362885,377539
 "26001" ,"Alcona, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",11665,11480,11495,11459,11517,11503,11412,11286,11106,10877,10739,10570,10550,10449,10332,10383,10351
 "26001" ,"Alcona, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21422,21853,22391,22804,23293,23586,24570,26284,26349,28050,29419,30732,31399,32646,34281,34950,36474
 "26003" ,"Alger, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",210623,211420,211158,220662,216343,216454,218133,225051,228988,238130,249272,254445,259330,270744,283513,287422,294180
 "26003" ,"Alger, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",9815,9764,9694,9680,9633,9687,9779,9647,9334,9579,9513,9442,9431,9356,9246,9115,9121
 "26003" ,"Alger, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21459,21653,21782,22796,22459,22345,22306,23329,24533,24860,26203,26948,27498,28938,30663,31533,32253
 "26005" ,"Allegan, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2920652,2860605,2928065,3095970,3261447,3399419,3530260,3641858,3546586,3676867,3977158,4029731,4175963,4357339,4571326,4735663,4938025
 "26005" ,"Allegan, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",107367,108203,109192,110225,110865,111156,111427,111589,111252,111522,111137,111448,111946,113290,114085,114955,116447
 "26005" ,"Allegan, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27203,26437,26816,28088,29418,30582,31682,32636,31879,32970,35786,36158,37303,38462,40069,41196,42406
 "26007" ,"Alpena, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",781175,786762,807230,818199,840893,849935,885275,939657,913637,940723,971466,981543,982463,1011928,1070948,1093462,1118207
 "26007" ,"Alpena, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",31179,30956,30824,30735,30494,30209,30180,30119,29755,29512,29336,29161,28953,28874,28705,28657,28462
 "26007" ,"Alpena, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25055,25415,26188,26621,27576,28135,29333,31198,30705,31876,33115,33659,33933,35046,37309,38157,39288
 "26009" ,"Antrim, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",607238,606630,620570,634821,660012,678467,711635,734138,717695,746899,787565,830483,861343,912545,960967,988834,1015869
 "26009" ,"Antrim, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",23485,23773,24129,24263,24261,24278,24248,24047,23796,23494,23318,23246,23123,23147,23035,23066,23292
 "26009" ,"Antrim, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25856,25518,25719,26164,27205,27946,29348,30529,30160,31791,33775,35726,37250,39424,41718,42870,43615
 "26011" ,"Arenac, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",363742,368532,378483,384269,389013,393288,410462,443296,436816,446497,462013,473318,472848,490955,510451,528558,546069
 "26011" ,"Arenac, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",17206,17245,17184,17128,17094,16968,16811,16547,16243,15847,15628,15497,15409,15313,15297,15127,15045
 "26011" ,"Arenac, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21140,21370,22025,22435,22757,23178,24416,26790,26893,28175,29563,30543,30686,32061,33369,34941,36296
 "26013" ,"Baraga, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",180831,180853,188503,196397,199276,210871,217639,233689,230347,235209,239276,252612,254747,256767,259446,260694,263455
 "26013" ,"Baraga, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8899,8889,8873,8884,8851,8940,8930,8822,8874,8855,8829,8721,8710,8640,8575,8536,8441
 "26013" ,"Baraga, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20320,20346,21245,22107,22515,23587,24372,26489,25958,26562,27101,28966,29248,29718,30256,30541,31211
 "26015" ,"Barry, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1663363,1645484,1668200,1707653,1748937,1824305,1867121,1950501,1832409,1913920,2073854,2158340,2212156,2309406,2413577,2499512,2589722
 "26015" ,"Barry, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",57572,58061,58682,59005,59621,59610,59969,59788,59469,59094,58911,59011,59076,59274,59389,59712,60586
 "26015" ,"Barry, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28892,28341,28428,28941,29334,30604,31135,32624,30813,32388,35203,36575,37446,38962,40640,41859,42745
 "26017" ,"Bay, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2973500,2965198,3033078,3096114,3125206,3235602,3334248,3476231,3441725,3582108,3709449,3754083,3743638,3870561,4039427,4114650,4276348
 "26017" ,"Bay, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",109836,109861,109559,109453,109165,108711,108132,108320,107913,107676,107382,106930,106761,106025,105244,104481,104239
 "26017" ,"Bay, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27072,26990,27684,28287,28628,29763,30835,32092,31894,33267,34544,35108,35066,36506,38382,39382,41024
