GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "27000" ,"Minnesota",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",165715712,169899623,177859910,188385293,193840627,204122797,216239594,225275631,215787470,225594096,241434887,256331999,258319791,272291677,284740116,291361615,303141271
 "27000" ,"Minnesota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310711,5345967,5377695,5416074,5452649,5483238,5525050,5576606
 "27000" ,"Minnesota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",33258,33852,35195,37027,37862,39531,41527,42934,40860,42479,45162,47666,47695,49938,51929,52735,54359
 "27001" ,"Aitkin, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",347451,364460,378645,389624,391833,411895,432605,455640,454063,474579,488047,496779,505126,552673,555455,572029,598227
 "27001" ,"Aitkin, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",15334,15616,15795,16028,16162,16357,16481,16422,16168,16220,16177,16044,15881,15856,15862,15776,15829
 "27001" ,"Aitkin, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22659,23339,23972,24309,24244,25182,26249,27746,28084,29259,30169,30964,31807,34856,35018,36259,37793
 "27003" ,"Anoka, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9660598,10006766,10468626,11045822,11149839,11620295,12236415,12665860,12343544,12671812,13474375,14077247,14329251,15168164,15941558,16400987,17107249
 "27003" ,"Anoka, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",304823,308702,311863,316643,319830,323590,325767,327427,329635,331422,332873,336135,339235,342088,344514,347095,351373
 "27003" ,"Anoka, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31692,32416,33568,34884,34862,35911,37562,38683,37446,38235,40479,41880,42240,44340,46273,47252,48687
 "27005" ,"Becker, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",757644,792872,846652,876082,901640,955497,1011311,1058788,1077141,1154489,1243135,1341698,1379490,1401945,1447487,1480905,1533018
 "27005" ,"Becker, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",30392,30777,31244,31625,31753,32057,32142,32244,32407,32548,32760,32986,33182,33261,33456,33752,34098
 "27005" ,"Becker, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24929,25762,27098,27702,28395,29806,31464,32837,33238,35470,37947,40675,41573,42150,43265,43876,44959
 "27007" ,"Beltrami, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",918919,954959,1015544,1046906,1061785,1124165,1186968,1257288,1336507,1381183,1449938,1504998,1543528,1647887,1719154,1769001,1826801
 "27007" ,"Beltrami, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",40406,41049,41659,42100,42700,43066,43281,43815,44226,44570,45037,45133,45481,45629,45600,46011,46513
 "27007" ,"Beltrami, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22742,23264,24378,24867,24866,26103,27425,28695,30220,30989,32194,33346,33938,36115,37701,38447,39275
 "27009" ,"Benton, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",972291,1027785,1101239,1155708,1161703,1208850,1255527,1306428,1242405,1293330,1352947,1435716,1426428,1498172,1570593,1625485,1682113
 "27009" ,"Benton, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",35346,36117,36760,37072,37409,37617,38007,38200,38418,38464,38730,38672,38980,39100,39315,39468,39937
 "27009" ,"Benton, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27508,28457,29958,31175,31054,32136,33034,34200,32339,33624,34933,37125,36594,38316,39949,41185,42119
 "27011" ,"Big Stone, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",135684,142481,147290,162774,163860,166811,174133,201342,197243,210180,217093,262436,257102,250471,259448,255569,242858
 "27011" ,"Big Stone, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",5678,5677,5598,5444,5445,5375,5366,5328,5285,5274,5207,5134,5070,5089,4996,5012,5026
 "27011" ,"Big Stone, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23896,25098,26311,29900,30094,31035,32451,37789,37321,39852,41693,51117,50710,49218,51931,50991,48320
 "27013" ,"Blue Earth, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1619795,1713144,1793495,1852938,1898725,2058502,2112575,2151238,2057083,2148254,2353773,2510712,2540793,2719176,2789442,2779664,2907076
 "27013" ,"Blue Earth, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",56808,57542,58554,59116,59918,61100,61974,62860,63565,64084,64344,64968,64755,65268,65595,66244,66973
