GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29000" ,"Missouri",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",162071530,165772524,171789865,180585546,186877759,198448157,208184505,219411774,215540550,220546596,229644330,240972818,242564511,251639897,260144612,265495137,274975821
 "29000" ,"Missouri",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995681,6010280,6023267,6041142,6058014,6072640,6091176,6113532
 "29000" ,"Missouri",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28730,29212,30089,31419,32274,33965,35360,37038,36158,36784,38209,40007,40152,41538,42839,43587,44978
 "29001" ,"Adair, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",527416,528142,530839,558753,574839,603020,631937,674396,711051,695913,728162,734555,751085,767033,789029,786610,813014
 "29001" ,"Adair, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",24967,25072,24958,24988,24849,25007,24983,25399,25577,25625,25635,25668,25709,25537,25339,25223,25377
 "29001" ,"Adair, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21125,21065,21269,22361,23133,24114,25295,26552,27800,27158,28405,28618,29215,30036,31139,31186,32037
 "29003" ,"Andrew, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",430624,423806,433244,470587,477195,515884,558824,612033,615520,615079,643394,658452,686478,702136,715791,725061,751037
 "29003" ,"Andrew, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",16580,16501,16608,16580,16511,16861,16834,16924,17036,17342,17195,17307,17303,17281,17311,17339,17555
 "29003" ,"Andrew, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25972,25684,26086,28383,28902,30596,33196,36164,36131,35468,37418,38045,39674,40631,41349,41817,42782
 "29005" ,"Atchison, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",167715,157012,169930,190500,178971,180070,194948,227338,247297,239500,248778,242639,275241,287140,220306,242261,242517
 "29005" ,"Atchison, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",6344,6189,6193,6153,6053,5908,5909,5798,5781,5658,5573,5514,5423,5362,5304,5310,5275
 "29005" ,"Atchison, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26437,25370,27439,30961,29567,30479,32992,39210,42778,42329,44640,44004,50754,53551,41536,45624,45975
 "29007" ,"Audrain, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",612632,596105,613404,702264,686222,729172,778698,794616,804731,824381,858907,845085,906109,950413,982020,983051,980213
 "29007" ,"Audrain, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",25784,25800,25728,25555,25725,25869,25658,25774,25628,25451,25527,25527,25544,25815,25941,25875,25641
 "29007" ,"Audrain, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23760,23105,23842,27480,26675,28187,30349,30830,31400,32391,33647,33106,35472,36816,37856,37992,38228
 "29009" ,"Barry, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",733274,750333,768185,850493,887467,924149,971144,1040689,1004704,1026005,1031349,1006712,1061264,1124471,1160887,1129016,1186934
 "29009" ,"Barry, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",33981,34111,34555,34849,35241,35756,35844,35935,35640,35551,35326,35321,35330,35330,35325,35339,35668
