GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "38000" ,"North Dakota",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",17126626,17527669,19022151,19341270,20416003,21434059,23798751,26710341,26507437,29446235,32933455,38866357,38867263,41367890,40429686,39766214,39483572
 "38000" ,"North Dakota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",639062,638168,638817,644705,646089,649422,652822,657569,664968,674518,684830,701380,722908,738658,754859,755548,755393
 "38000" ,"North Dakota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26800,27466,29777,30000,31599,33005,36455,40620,39863,43655,48090,55414,53765,56004,53559,52632,52269
 "38001" ,"Adams, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",65711,57116,74986,71631,78122,77353,88999,85850,90150,98261,103236,132799,112002,116703,118650,116133,130745
 "38001" ,"Adams, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2542,2509,2469,2436,2405,2366,2362,2343,2325,2351,2312,2334,2392,2389,2393,2348,2318
 "38001" ,"Adams, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25850,22764,30371,29405,32483,32694,37680,36641,38774,41795,44652,56898,46824,48850,49582,49460,56404
 "38003" ,"Barnes, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",281304,291325,311873,316483,330936,327741,385864,454015,413717,500989,505604,588895,555525,536905,528982,573887,522469
 "38003" ,"Barnes, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",11446,11281,11199,11202,11171,11106,11057,11027,11028,11060,11101,10997,11104,11064,11023,10929,10734
 "38003" ,"Barnes, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24577,25824,27848,28252,29625,29510,34898,41173,37515,45297,45546,53551,50029,48527,47989,52510,48674
 "38005" ,"Benson, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",123517,130677,167261,140115,152528,148878,187938,217206,207243,217674,238104,285310,225272,211557,200928,221273,209062
 "38005" ,"Benson, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",6898,6727,6744,6788,6745,6709,6683,6622,6609,6677,6684,6767,6894,6881,6815,6851,6936
 "38005" ,"Benson, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17906,19426,24801,20642,22613,22191,28122,32801,31358,32601,35623,42162,32677,30745,29483,32298,30142
 "38007" ,"Billings, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19319,15418,21211,23616,29655,28397,32081,32316,23987,41660,59956,82565,76438,86570,74753,62915,63203
 "38007" ,"Billings, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",877,854,820,792,773,741,762,768,796,778,834,909,901,914,948,953,940
 "38007" ,"Billings, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22029,18054,25867,29818,38364,38323,42101,42078,30134,53548,71890,90831,84837,94716,78853,66018,67237
 "38009" ,"Bottineau, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",179326,178626,217272,175651,191800,193728,251492,324323,313759,316968,340928,465380,387558,382559,346939,323697,324674
 "38009" ,"Bottineau, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",6995,6835,6789,6690,6650,6526,6428,6370,6390,6437,6492,6598,6733,6682,6729,6579,6530
 "38009" ,"Bottineau, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25636,26134,32004,26256,28842,29686,39124,50914,49102,49242,52515,70533,57561,57252,51559,49202,49720
 "38011" ,"Bowman, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",91195,81555,99421,99341,111515,114095,130129,148513,148632,169047,192441,218370,223369,217741,194445,178427,172117
 "38011" ,"Bowman, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3118,3087,3089,3132,3046,3020,3050,3158,3137,3143,3142,3211,3215,3240,3280,3230,3166
 "38011" ,"Bowman, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29248,26419,32185,31718,36610,37780,42665,47028,47380,53785,61248,68007,69477,67204,59282,55241,54364
 "38013" ,"Burke, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",50241,49500,66288,55781,66200,60162,74790,110447,115389,122940,153103,198976,205839,196583,166366,135870,134757
 "38013" ,"Burke, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2183,2137,2108,2081,2042,1975,1933,1902,1962,1971,2062,2182,2305,2261,2343,2227,2131
 "38013" ,"Burke, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23015,23163,31446,26805,32419,30462,38691,58069,58812,62374,74250,91190,89301,86945,71006,61010,63237
 "38015" ,"Burleigh, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2082816,2153159,2284199,2415226,2562068,2738754,2964169,3206845,3332124,3635298,4050043,4496488,4736839,5195062,5326667,5380885,5459648
 "38015" ,"Burleigh, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",70121,71090,71987,72837,74375,75940,77473,78678,80122,81696,83523,85981,88635,90612,93156,94429,95030
 "38015" ,"Burleigh, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29703,30288,31731,33159,34448,36065,38261,40759,41588,44498,48490,52296,53442,57333,57180,56983,57452
 "38017" ,"Cass, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3786810,3992946,4163321,4485144,4769391,5195320,5589956,6141683,6037241,6442080,7009709,7927314,8213373,8884359,9174116,9485506,9635401
 "38017" ,"Cass, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",125520,127119,129356,133197,135181,138340,141316,144290,147872,150208,152807,156793,162956,166810,170923,174625,177787
 "38017" ,"Cass, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30169,31411,32185,33673,35282,37555,39556,42565,40827,42888,45873,50559,50402,53260,53674,54319,54196
 "38019" ,"Cavalier, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",130738,132792,183047,133577,125380,121730,180731,276315,210057,229725,262032,293648,304530,229237,204539,231986,216747
 "38019" ,"Cavalier, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4696,4620,4543,4456,4384,4202,4056,4008,3975,3985,3944,3920,3854,3844,3816,3810,3762
 "38019" ,"Cavalier, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27840,28743,40292,29977,28599,28970,44559,68941,52845,57647,66438,74910,79017,59635,53600,60889,57615
 "38021" ,"Dickey, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",141390,142048,150974,163622,173020,181408,205146,224572,203627,265858,319888,330764,298781,284400,236935,254352,230689
 "38021" ,"Dickey, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",5683,5611,5510,5561,5496,5419,5412,5305,5269,5278,5254,5220,5194,5104,5052,4995,4861
 "38021" ,"Dickey, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24879,25316,27400,29423,31481,33476,37906,42332,38646,50371,60885,63365,57524,55721,46899,50921,47457
 "38023" ,"Divide, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",62466,59395,77087,68392,70768,68037,78784,117480,110641,109298,120011,155273,139483,159814,139087,116637,95600
 "38023" ,"Divide, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2176,2192,2191,2178,2116,2083,2041,2022,2020,2080,2142,2248,2326,2431,2454,2389,2288
 "38023" ,"Divide, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28707,27096,35183,31401,33444,32663,38601,58101,54773,52547,56028,69072,59967,65740,56678,48823,41783
 "38025" ,"Dunn, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",76739,67491,86347,80404,99082,95077,98615,121357,136289,174531,222628,289220,322402,358550,299117,240144,228462
 "38025" ,"Dunn, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3582,3548,3526,3443,3422,3432,3429,3470,3513,3534,3717,3952,4134,4373,4577,4373,4289
 "38025" ,"Dunn, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21424,19022,24489,23353,28954,27703,28759,34973,38796,49386,59895,73183,77988,81992,65352,54915,53267
 "38027" ,"Eddy, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",61365,66696,73863,64969,72484,66316,81012,99667,83355,92673,98497,130281,129743,113387,102865,110984,112796
 "38027" ,"Eddy, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2683,2654,2656,2641,2610,2529,2503,2470,2393,2385,2346,2350,2366,2329,2302,2288,2316
 "38027" ,"Eddy, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22872,25130,27810,24600,27772,26222,32366,40351,34833,38857,41985,55439,54836,48685,44685,48507,48703
 "38029" ,"Emmons, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",94593,78089,102639,91645,112166,85838,133497,144751,117479,147945,175905,184764,148365,142080,141369,164418,137531
 "38029" ,"Emmons, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4208,4107,4025,3955,3825,3748,3640,3588,3568,3537,3512,3476,3482,3420,3405,3335,3301
 "38029" ,"Emmons, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22479,19014,25500,23172,29324,22902,36675,40343,32926,41828,50087,53154,42609,41544,41518,49301,41663
 "38031" ,"Foster, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",94252,94365,112516,102071,105278,103107,128431,144541,141840,162482,172814,227001,187478,184002,181985,207520,178712
 "38031" ,"Foster, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3639,3577,3515,3514,3564,3565,3500,3436,3319,3344,3343,3380,3354,3339,3330,3310,3257
 "38031" ,"Foster, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25901,26381,32010,29047,29539,28922,36695,42067,42736,48589,51694,67160,55897,55107,54650,62695,54870
 "38033" ,"Golden Valley, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",35524,33848,41290,33897,43303,57400,60310,65322,54394,65845,78806,93121,99704,98878,87366,78329,69353
 "38033" ,"Golden Valley, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",1862,1825,1804,1741,1709,1670,1670,1650,1657,1682,1759,1807,1825,1852,1879,1861,1789
 "38033" ,"Golden Valley, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19078,18547,22888,19470,25338,34371,36114,39589,32827,39147,44802,51533,54632,53390,46496,42090,38766
 "38035" ,"Grand Forks, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1686290,1792253,1880568,1936374,2018610,2147781,2308051,2436728,2429228,2560265,2735673,3046135,3046565,3201311,3334057,3421015,3509816
 "38035" ,"Grand Forks, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",65567,65409,65287,67071,66629,67096,66333,66917,66518,66953,66528,67542,69077,69821,70361,70596,70795
 "38035" ,"Grand Forks, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25719,27401,28805,28871,30296,32011,34795,36414,36520,38240,41121,45100,44104,45850,47385,48459,49577
 "38037" ,"Grant, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",71933,59392,72905,65406,75640,70161,87482,87876,78015,88187,93813,129950,100721,94709,90574,98140,82728
 "38037" ,"Grant, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2783,2699,2674,2626,2599,2519,2478,2440,2399,2394,2358,2349,2392,2374,2398,2396,2376
 "38037" ,"Grant, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25847,22005,27264,24907,29104,27853,35303,36015,32520,36837,39785,55321,42107,39894,37771,40960,34818
 "38039" ,"Griggs, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",69779,68222,80763,71166,70216,66089,84036,104881,95439,106883,115378,144910,149780,126862,116830,130368,115394
 "38039" ,"Griggs, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2645,2598,2578,2531,2519,2457,2430,2406,2420,2415,2369,2344,2283,2289,2286,2262,2258
 "38039" ,"Griggs, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26381,26259,31328,28118,27875,26898,34583,43591,39438,44258,48703,61822,65607,55422,51107,57634,51105
 "38041" ,"Hettinger, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",86026,64290,90125,78052,79888,81077,93822,112641,123398,124873,131629,170075,121573,134548,111884,98855,106747
 "38041" ,"Hettinger, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2658,2641,2591,2612,2587,2577,2524,2479,2481,2474,2501,2540,2641,2626,2655,2599,2483
 "38041" ,"Hettinger, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",32365,24343,34784,29882,30881,31462,37172,45438,49737,50474,52631,66959,46033,51237,42141,38036,42991
 "38043" ,"Kidder, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",64869,57812,72768,75666,82575,71211,80052,76252,77604,101052,113997,131070,116956,113901,113870,110406,106433
 "38043" ,"Kidder, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2652,2591,2606,2592,2496,2509,2450,2419,2396,2447,2443,2448,2445,2448,2446,2463,2482
 "38043" ,"Kidder, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24460,22313,27923,29192,33083,28382,32674,31522,32389,41296,46663,53542,47835,46528,46554,44826,42882
 "38045" ,"LaMoure, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",123676,117944,129187,144487,154177,139920,172866,197555,182525,233673,280548,286378,224075,211877,180950,220686,163366
 "38045" ,"LaMoure, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4642,4598,4575,4552,4447,4357,4320,4218,4142,4128,4093,4083,4099,4094,4134,4114,4087
 "38045" ,"LaMoure, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26643,25651,28238,31741,34670,32114,40015,46836,44067,56607,68543,70139,54666,51753,43771,53643,39972
 "38047" ,"Logan, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",57665,48491,64524,60123,68379,53168,75249,83458,75880,92270,117070,113018,99178,101910,93654,104979,100184
 "38047" ,"Logan, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2229,2209,2155,2126,2074,2018,2023,2000,1970,2000,1974,1944,1935,1945,1929,1932,1918
 "38047" ,"Logan, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25870,21952,29942,28280,32970,26347,37197,41729,38518,46135,59306,58137,51255,52396,48551,54337,52234
 "38049" ,"McHenry, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",130990,124970,150927,143497,154290,145575,186598,221335,214670,236767,246863,323715,318719,295812,288699,279962,268934
 "38049" ,"McHenry, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",5854,5778,5749,5669,5568,5507,5370,5355,5373,5404,5502,5801,5910,5979,5976,5988,5900
 "38049" ,"McHenry, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22376,21629,26253,25313,27710,26435,34748,41332,39953,43813,44868,55803,53929,49475,48310,46754,45582
 "38051" ,"McIntosh, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",89197,83472,98272,94351,98077,80442,95494,109613,109962,116948,137834,152286,136788,132281,126857,134385,141039
 "38051" ,"McIntosh, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3349,3292,3285,3192,3137,3080,2966,2911,2840,2796,2755,2746,2732,2741,2715,2604,2606
 "38051" ,"McIntosh, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26634,25356,29915,29559,31265,26118,32196,37655,38719,41827,50030,55457,50069,48260,46724,51607,54121
 "38053" ,"McKenzie, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",140026,136591,151504,158989,168954,187723,206414,251704,250101,340789,433384,591352,702362,894815,828025,697611,710547
 "38053" ,"McKenzie, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",5647,5692,5613,5611,5721,5727,5812,5908,6159,6409,7005,7975,9275,10984,12795,12616,12724
 "38053" ,"McKenzie, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24797,23997,26992,28335,29532,32779,35515,42604,40607,53174,61868,74151,75726,81465,64715,55296,55843
 "38055" ,"McLean, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",238509,226041,269501,278984,270367,272813,318730,368795,400245,429644,413564,516792,507671,491334,463804,495257,455065
 "38055" ,"McLean, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9261,9150,9098,8948,8815,8767,8811,8883,8860,8998,9076,9383,9464,9553,9669,9665,9685
 "38055" ,"McLean, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25754,24704,29622,31178,30671,31118,36174,41517,45174,47749,45567,55077,53642,51432,47968,51242,46987
 "38057" ,"Mercer, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",251213,242766,257415,265401,268594,292114,304635,325775,360595,360960,375118,413056,443166,466813,483675,499105,494814
 "38057" ,"Mercer, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",8542,8536,8501,8437,8366,8309,8351,8295,8390,8419,8424,8474,8588,8711,8786,8637,8465
