GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "34000" ,"New Jersey",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",342293012,347247711,356002789,372881881,386942679,415978699,440854819,453338638,439321775,452322582,473913422,491656697,496305885,519814631,542404707,555804578,581198556
 "34000" ,"New Jersey",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8803708,8844694,8882095,8913735,8943010,8960001,8978416,9005644
 "34000" ,"New Jersey",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",40305,40601,41389,43185,44723,48025,50802,52042,50176,51379,53582,55354,55679,58125,60536,61905,64537
 "34001" ,"Atlantic, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7486116,7774252,8093131,8646897,9120736,9992710,10455085,10743547,10523558,10705833,11208828,11487970,11645552,11885274,12030464,12125264,12566489
 "34001" ,"Atlantic, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",255737,259263,263285,267723,270332,271759,272303,273014,274049,274761,275107,275732,275954,274842,273088,270830,269918
 "34001" ,"Atlantic, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29273,29986,30739,32298,33739,36770,38395,39352,38400,38964,40744,41664,42201,43244,44053,44771,46557
 "34003" ,"Bergen, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",46291129,46355820,46125914,49510808,51255114,56089769,59970860,60263009,57872484,59847025,62958467,66119775,65924420,68728654,72078116,73412467,77013135
 "34003" ,"Bergen, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",888782,890647,892214,893378,891446,889406,890817,895328,900319,906879,914233,921035,927202,933348,938255,942387,948406
 "34003" ,"Bergen, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",52084,52047,51698,55420,57497,63064,67321,67308,64280,65992,68865,71789,71100,73637,76821,77901,81203
 "34005" ,"Burlington, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",15760145,16343220,17111853,17961148,18555905,19824119,20620880,21420293,21309546,21730049,22511423,23024197,23165826,24087247,25144270,25765546,26762573
 "34005" ,"Burlington, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",429727,436445,442434,446548,447245,448373,447560,446831,447391,449200,450486,451256,449858,450318,448844,448342,448596
 "34005" ,"Burlington, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",36675,37446,38677,40222,41489,44213,46074,47938,47631,48375,49971,51022,51496,53489,56020,57469,59659
 "34007" ,"Camden, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16124205,16665671,17471246,18018784,18662011,19815094,20516636,21232996,21142434,21481780,22451925,22820828,23071762,23841597,24845003,25453129,26495132
 "34007" ,"Camden, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",506326,507899,508563,510137,511982,513195,513546,513853,513668,513506,513180,512827,511798,510913,510809,510741,510719
 "34007" ,"Camden, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31846,32813,34354,35321,36451,38611,39951,41321,41160,41834,43751,44500,45080,46665,48639,49836,51878
 "34009" ,"Cape May, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3619501,3735529,3795543,3992699,4077735,4174361,4197024,4194600,4207605,4342943,4527809,4693197,4731939,4883092,5096939,5247741,5456352
 "34009" ,"Cape May, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",102023,101694,101710,100482,99269,98695,97686,97550,97238,97222,96561,96387,95704,95146,94421,93920,93553
 "34009" ,"Cape May, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35477,36733,37317,39735,41078,42296,42964,42999,43271,44670,46891,48691,49443,51322,53981,55875,58324
 "34011" ,"Cumberland, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3707414,3914410,4051368,4170697,4319296,4542673,4696379,4922764,5085778,5247882,5389575,5364278,5378084,5533866,5715734,5757613,5932723
 "34011" ,"Cumberland, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",146451,147294,148437,149837,152022,153371,154489,155738,156531,156719,157108,157268,156571,156475,155261,153914,152538
 "34011" ,"Cumberland, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25315,26575,27294,27835,28412,29619,30399,31609,32491,33486,34305,34109,34349,35366,36814,37408,38893
 "34013" ,"Essex, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",31747938,31369275,32296300,33991015,35104767,37656492,39814266,40545298,39836853,40713345,42581886,43220416,43882904,46084755,48117414,49267295,51370146
 "34013" ,"Essex, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",794312,795625,795167,791305,786341,781027,778996,778165,781943,784694,787414,788942,792560,797078,800206,803876,808285
 "34013" ,"Essex, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",39969,39427,40616,42956,44643,48214,51110,52104,50946,51884,54078,54783,55369,57817,60131,61287,63554
 "34015" ,"Gloucester, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7881253,8310200,8694306,9402354,9922427,10665932,11231131,11920442,11962928,12220880,12675410,13015676,13296425,13772879,14476416,14756942,15342463
 "34015" ,"Gloucester, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",258783,262909,267445,271714,275122,280015,284086,286072,287362,288994,289605,289912,290151,291151,291651,291703,292206
 "34015" ,"Gloucester, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30455,31609,32509,34604,36066,38091,39534,41669,41630,42288,43768,44895,45826,47305,49636,50589,52506
 "34017" ,"Hudson, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19121737,19502605,19567909,20462990,21765012,23619966,25893941,27919107,27007843,28678230,29871004,31382808,32248935,34885003,37635437,39179852,41237786
 "34017" ,"Hudson, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",616629,615554,614813,614607,614664,613577,613637,619533,628572,636345,648619,658909,667066,673773,679907,686391,691643
 "34017" ,"Hudson, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31010,31683,31827,33294,35410,38496,42197,45065,42967,45067,46053,47628,48344,51776,55354,57081,59623
 "34019" ,"Hunterdon, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7245924,7456673,7803482,8012571,8008571,8654454,9002441,9201959,8857825,8915705,9157632,9524670,9484085,9893414,10163740,10402638,10828749
 "34019" ,"Hunterdon, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",124500,125892,126935,127583,128072,128535,128568,128449,128364,127335,127365,126731,126590,126129,125747,125061,125059
 "34019" ,"Hunterdon, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",58200,59231,61476,62803,62532,67331,70021,71639,69006,70018,71901,75157,74920,78439,80827,83181,86589
 "34021" ,"Mercer, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",15853546,16378380,16880015,17165902,17589316,18877482,19856064,20427763,19163833,19574500,20751178,21843306,21455162,22868832,23384088,23716747,24860835
 "34021" ,"Mercer, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",353816,355935,358724,361248,362015,362840,363088,364119,365388,367930,368201,370419,372337,372974,373104,373660,374733
 "34021" ,"Mercer, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",44807,46015,47056,47518,48587,52027,54687,56102,52448,53202,56358,58969,57623,61315,62674,63471,66343
 "34023" ,"Middlesex, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29013393,29217728,29880858,31139519,32079102,34281889,36505678,38112527,36881816,38375270,41537789,43781217,43112900,44448911,45419823,46652932,48543476
 "34023" ,"Middlesex, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",761770,769280,775973,781582,787329,786890,792137,799191,805204,811217,817589,824753,829991,835335,838332,839986,842798
 "34023" ,"Middlesex, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",38087,37981,38508,39842,40744,43566,46085,47689,45804,47306,50805,53084,51944,53211,54179,55540,57598
 "34025" ,"Monmouth, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",28654917,28893726,29565653,31335141,32716755,35352658,37618074,37933712,35867846,36255339,38127588,39609650,40041140,42135043,44063944,45283831,47223653
 "34025" ,"Monmouth, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",620563,624532,627413,628605,627838,626934,626644,627348,628669,630644,629757,629037,628968,628236,627418,626782,626351
 "34025" ,"Monmouth, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",46176,46265,47123,49849,52110,56390,60031,60467,57054,57489,60543,62969,63662,67069,70231,72248,75395
