GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "35000" ,"New Mexico",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45275571,46931680,49042156,52094076,55782326,59701662,63188913,67065321,66678699,69261981,72820740,74583601,73406214,77747357,79953213,81184619,83127258
 "35000" ,"New Mexico",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064607,2077744,2083590,2085161,2083207,2082264,2085432,2088070
 "35000" ,"New Mexico",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24718,25296,26120,27363,28869,30427,31752,33355,32737,33547,35048,35796,35204,37321,38397,38929,39811
 "35001" ,"Bernalillo, NM",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16390563,16957446,17749584,18809693,20026457,21537073,22342379,23279504,23208159,23599363,24626448,24931431,24552897,26109230,27106532,28090280,28550658
 "35001" ,"Bernalillo, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",564241,576532,587049,600449,615320,628632,638978,646879,655279,663999,669336,672335,673914,673902,674100,675588,676773
 "35001" ,"Bernalillo, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29049,29413,30235,31326,32546,34260,34966,35987,35417,35541,36792,37082,36433,38743,40211,41579,42186
 "35003" ,"Catron, NM",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",68463,71007,71830,74951,80058,86764,88219,90317,92417,96377,103843,103014,99147,105563,111347,107860,110821
 "35003" ,"Catron, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",3488,3501,3456,3468,3425,3573,3638,3631,3689,3750,3718,3637,3587,3549,3480,3532,3587
 "35003" ,"Catron, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",19628,20282,20784,21612,23375,24283,24249,24874,25052,25701,27930,28324,27641,29744,31996,30538,30895
 "35005" ,"Chaves, NM",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1352591,1338743,1363625,1473931,1575375,1665816,1818037,2027075,1853485,2081392,2282519,2318679,2286939,2492777,2403761,2396944,2629505
 "35005" ,"Chaves, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",60928,60768,61248,61478,62172,62486,63587,64378,65110,65729,65667,65688,65836,65642,65554,65371,64866
 "35005" ,"Chaves, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22200,22030,22264,23975,25339,26659,28591,31487,28467,31666,34759,35298,34737,37975,36668,36667,40537
 "35006" ,"Cibola, NM*",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",431525,469422,502969,523327,549489,570811,589924,612487,625209,641532,661228,669120,666997,703846,726953,733165,741683
 "35006" ,"Cibola, NM*",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",26488,26592,26940,27167,27204,27032,27258,27259,27097,27318,27470,27379,27341,27080,26976,26996,26853
 "35006" ,"Cibola, NM*",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",16291,17653,18670,19263,20199,21116,21642,22469,23073,23484,24071,24439,24395,25991,26948,27158,27620
 "35007" ,"Colfax, NM",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",317505,326167,340532,350778,364214,378969,401140,413689,422320,449232,493236,483191,456111,471948,475026,473705,478102
 "35007" ,"Colfax, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",14140,14215,14088,14093,14031,13982,13933,13764,13731,13733,13611,13239,13055,12693,12425,12262,12174
 "35007" ,"Colfax, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22454,22945,24172,24890,25958,27104,28791,30056,30757,32712,36238,36498,34938,37182,38231,38632,39272
 "35009" ,"Curry, NM",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1068522,1103922,1156489,1263816,1327800,1361382,1466520,1569257,1576475,1812135,1936824,2025643,2080683,2214328,2154436,2161019,2231133
 "35009" ,"Curry, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",44964,45133,45385,46640,46981,47018,46588,45512,46555,48964,49710,50652,50494,50874,50068,50168,49812
 "35009" ,"Curry, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23764,24459,25482,27097,28262,28954,31478,34480,33863,37010,38962,39991,41207,43526,43030,43076,44791
 "35011" ,"De Baca, NM",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",52891,51591,50905,51886,55936,66666,58612,60582,55832,65035,87470,82613,73262,78128,71494,74027,71733
