GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "32000" ,"Nevada",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",68036359,69976288,74570433,83003177,93328783,100381179,104455400,102762941,97544377,101205240,105185412,109445768,109901308,117422470,126929949,130756841,138386430
 "32000" ,"Nevada",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702797,2718170,2752410,2786547,2831730,2883057,2939254,2998039
 "32000" ,"Nevada",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",32423,32191,33159,35377,38373,39792,40159,38725,36334,37445,38697,39764,39440,41467,44026,44486,46159
 "32001" ,"Churchill, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",608263,621399,656507,712561,760320,771760,784219,809489,794450,831182,867577,862087,866890,907890,940319,945897,1001482
 "32001" ,"Churchill, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",24342,24155,24026,24226,24593,24842,24961,25049,25067,24822,24618,24278,23958,23883,24024,24016,24230
 "32001" ,"Churchill, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24988,25725,27325,29413,30916,31067,31418,32316,31693,33486,35242,35509,36184,38014,39141,39386,41332
 "32003" ,"Clark, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",46367048,48283011,51578290,57787769,65883025,71247941,74577710,73285040,68076424,70001222,72858166,77839744,77846855,83548431,90036449,92750753,97457342
 "32003" ,"Clark, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",1460500,1522962,1584166,1662773,1729522,1803774,1867817,1912349,1939407,1952906,1966521,1996290,2026056,2064991,2110330,2156724,2204079
 "32003" ,"Clark, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31747,31703,32559,34754,38093,39499,39928,38322,35102,35845,37049,38992,38423,40459,42665,43005,44217
 "32005" ,"Douglas, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1773902,1784249,1926005,2231175,2444703,2581538,2637309,2493839,2364762,2417558,2502008,2611677,2648439,2796717,3157947,3144805,3342402
 "32005" ,"Douglas, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",42327,43436,44524,46388,46731,46855,47166,47270,46965,47035,46984,46936,46971,47434,47501,47947,48309
 "32005" ,"Douglas, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",41909,41078,43258,48098,52314,55096,55915,52757,50352,51399,53252,55643,56385,58960,66482,65589,69188
 "32007" ,"Elko, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1154943,1155938,1209663,1337922,1417839,1546122,1710648,1811468,1824050,2010486,2127414,2176979,2195656,2220712,2219040,2242318,2342717
 "32007" ,"Elko, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",45063,44173,43693,43830,44760,46108,47423,47634,48445,49091,49489,51053,52445,52657,51849,52283,52649
