GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "41000" ,"Oregon",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",100607352,101865434,105562242,111488116,117144737,127973779,133838507,139499803,134830942,138328202,146081624,154066838,156644028,167977534,181022258,189644395,199422200
 "41000" ,"Oregon",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837073,3865845,3893920,3919664,3960673,4016537,4085989,4142776
 "41000" ,"Oregon",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29011,28993,29758,31234,32421,34862,35955,37015,35402,36050,37788,39566,39964,42411,45069,46413,48137
 "41001" ,"Baker, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",346226,348521,361895,374438,386115,400797,419927,444576,458213,467245,490579,513698,526936,557802,590770,611023,626525
 "41001" ,"Baker, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",16618,16376,16312,16272,16086,16094,16139,16195,16225,16115,16062,15994,16019,16011,15867,15948,16054
 "41001" ,"Baker, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20834,21282,22186,23011,24003,24904,26019,27451,28241,28994,30543,32118,32894,34839,37233,38313,39026
 "41003" ,"Benton, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2387093,2427899,2567795,2620431,2674303,2812806,2929666,3091611,2965230,3077657,3261808,3310592,3313536,3512756,3707774,3898501,4117613
 "41003" ,"Benton, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",78491,80203,80322,80149,80943,81957,83718,84150,85390,85561,85976,86368,85934,86956,88106,89296,90951
 "41003" ,"Benton, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30412,30272,31969,32694,33039,34321,34994,36739,34726,35970,37939,38331,38559,40397,42083,43658,45273
 "41005" ,"Clackamas, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",12300806,12157483,12520175,13392982,14008794,15177486,15879709,16419915,15518067,15915879,16837053,18022462,18060274,19003973,20417831,21790756,23220274
 "41005" ,"Clackamas, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",343444,348951,352032,355758,359308,363508,366808,371103,374085,376758,379154,382766,387279,393355,399825,406680,412672
 "41005" ,"Clackamas, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35816,34840,35565,37646,38988,41753,43292,44246,41483,42244,44407,47085,46634,48313,51067,53582,56268
 "41007" ,"Clatsop, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",955649,977087,1022433,1034103,1066330,1142285,1179767,1221454,1216830,1245469,1281629,1332941,1334358,1410931,1499995,1596085,1675987
 "41007" ,"Clatsop, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",35509,35519,35612,35912,36282,36603,36818,36825,36972,37085,37189,37377,37084,37421,37783,38637,39182
 "41007" ,"Clatsop, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26913,27509,28710,28795,29390,31207,32043,33169,32912,33584,34463,35662,35982,37704,39700,41310,42774
 "41009" ,"Columbia, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1203634,1212164,1236326,1301723,1375539,1497635,1580537,1652762,1592071,1606599,1667375,1727599,1756972,1848874,1982503,2074669,2179621
 "41009" ,"Columbia, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",44196,45104,45636,46192,46955,48184,48898,49209,49394,49353,49372,49182,49238,49479,49648,50886,51782
 "41009" ,"Columbia, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27234,26875,27091,28181,29295,31082,32323,33587,32232,32553,33772,35127,35683,37367,39931,40771,42092
 "41011" ,"Coos, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1520998,1594858,1671778,1714954,1762616,1867822,1940396,1985820,1976915,2025889,2116946,2139654,2193014,2329462,2483076,2569142,2670663
 "41011" ,"Coos, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",62190,62286,62625,63208,63843,63844,63420,63226,63079,63000,62730,62634,62348,62333,62662,63375,63888
 "41011" ,"Coos, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24457,25605,26695,27132,27609,29256,30596,31408,31340,32157,33747,34161,35174,37371,39627,40539,41802
 "41013" ,"Crook, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",440551,455337,489733,513821,550316,605597,613146,617671,581097,595459,624837,645755,657026,730784,793394,853008,887130
 "41013" ,"Crook, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",19705,19779,20011,20643,21019,21673,21818,21811,21410,20884,20626,20598,20693,20958,21469,22344,23123
 "41013" ,"Crook, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22357,23021,24473,24891,26182,27942,28103,28319,27141,28513,30294,31350,31751,34869,36955,38176,38366
 "41015" ,"Curry, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",522652,530492,557175,606210,647837,693366,730616,739366,724733,728246,749217,765611,763924,808995,870017,900708,931662
 "41015" ,"Curry, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",21250,21653,21899,22473,22750,22626,22447,22305,22341,22374,22477,22249,22217,22130,22283,22588,22669
 "41015" ,"Curry, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24595,24500,25443,26975,28476,30645,32548,33148,32440,32549,33333,34411,34385,36556,39044,39876,41099
 "41017" ,"Deschutes, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3514985,3643238,3867707,4177031,4653431,5336981,5660392,5873644,5421446,5474282,5845658,6330821,6778393,7314206,8240978,9012257,9522219
 "41017" ,"Deschutes, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",120526,125247,129094,133756,140567,148149,152633,156820,157345,157740,159605,161343,165270,169497,174288,180675,186875
 "41017" ,"Deschutes, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29164,29088,29960,31229,33105,36024,37085,37455,34456,34704,36626,39238,41014,43152,47284,49881,50955
 "41019" ,"Douglas, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2411541,2490575,2558542,2735131,2852258,3056490,3149311,3213655,3214805,3324923,3401835,3506808,3511245,3715432,3923357,4077525,4239667
 "41019" ,"Douglas, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",100562,101529,102776,103965,105285,106658,107057,107316,107378,107612,107165,106865,106565,106657,107152,108100,109405
 "41019" ,"Douglas, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23981,24531,24894,26308,27091,28657,29417,29946,29939,30897,31744,32815,32949,34835,36615,37720,38752
 "41021" ,"Gilliam, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",34537,37730,43902,45582,47386,44243,60422,69910,76466,74849,85695,82501,84170,79826,84191,86189,88324
