GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "42000" ,"Pennsylvania",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",388669348,396187846,409648567,433409619,451890329,476852941,506498986,524359554,511713893,533828376,562622067,587095666,592172266,617895532,642622555,657164756,682533744
 "42000" ,"Pennsylvania",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537
 "42000" ,"Pennsylvania",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31602,32129,33104,34922,36296,38115,40314,41575,40398,41997,44152,45982,46341,48310,50240,51393,53300
 "42001" ,"Adams, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2607522,2714406,2891035,3024538,3184428,3338642,3539589,3714611,3692569,3784592,3935064,4048791,4131957,4368460,4556497,4601294,4816605
 "42001" ,"Adams, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",92591,93934,95503,97300,98606,99899,100502,101056,101252,101464,101460,101228,101059,101231,101637,101684,102336
 "42001" ,"Adams, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28162,28897,30272,31085,32294,33420,35219,36758,36469,37300,38784,39997,40887,43153,44831,45251,47067
 "42003" ,"Allegheny, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",44777501,45245027,45992762,47090340,48257730,51278924,53593446,55932327,54465072,56468086,59216280,61433064,62127297,64693136,67498531,68015157,71115128
 "42003" ,"Allegheny, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",1272416,1265577,1258420,1247531,1234787,1226025,1222482,1221071,1222171,1223897,1227767,1230870,1233892,1233480,1230052,1227553,1223048
 "42003" ,"Allegheny, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35191,35751,36548,37747,39082,41825,43840,45806,44564,46138,48231,49910,50351,52448,54875,55407,58146
 "42005" ,"Armstrong, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1754227,1813897,1887436,1915103,2028223,2177006,2253623,2562933,2359603,2457333,2679955,2648582,2652040,2744209,2666835,2656579,2740970
 "42005" ,"Armstrong, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",71956,71747,71645,71404,70602,70030,69845,69611,69120,68860,68484,68069,67856,67419,66638,66132,65642
 "42005" ,"Armstrong, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24379,25282,26344,26821,28728,31087,32266,36818,34138,35686,39133,38910,39083,40704,40020,40171,41756
 "42007" ,"Beaver, PA",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4803267,4817845,4901670,5158438,5348236,5663394,5935727,6136067,6071256,6306358,6612299,6825143,6879932,7082749,7320050,7389274,7617729
