GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000" ,"United States", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9001839000,9155663000,9480901000,10028781000,10593946000,11372589000,12002204000,12438527000,12051307000,12541995000,13315478000,13998383000,14175503000,14983140000,15711634000,16115630000,16820250000
 "00000" ,"United States", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
 "00000" ,"United States", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31589,31832,32681,34251,35849,38114,39844,40904,39284,40545,42727,44582,44826,47025,48940,49831,51640
 "01000" ,"Alabama",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",112312142,115166086,120209889,128669896,136215282,144914255,152210645,157479528,155254669,161965527,167675590,172427855,174118716,180220290,187301605,190991192,198916425
 "01000" ,"Alabama",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747
 "01000" ,"Alabama",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25139,25706,26693,28399,29808,31306,32573,33377,32631,33844,34942,35818,36067,37235,38612,39294,40805
 "02000" ,"Alaska",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",21181698,22201930,23190634,24270355,25888513,27606973,29712529,32701876,32749086,35162893,37580637,38822647,38502520,40935223,42290967,41461355,42300914
 "02000" ,"Alaska",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",633714,642337,648414,659286,666946,675302,680300,687455,698895,714015,722259,730825,736760,736759,737979,741522,739795
 "02000" ,"Alaska",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",33425,34564,35765,36813,38817,40881,43676,47569,46858,49247,52032,53122,52259,55561,57306,55914,57179
 "04000" ,"Arizona",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",140805569,145930328,154810692,169309942,188149041,209009703,220652427,223221865,211397715,215012419,225853155,236455566,242571877,257066980,270806695,280988093,296648898
 "04000" ,"Arizona",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
 "04000" ,"Arizona",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26701,27043,28094,29954,32222,34667,35776,35543,33327,33559,34932,36132,36664,38331,39811,40672,42280
 "05000" ,"Arkansas",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",64374920,65878184,69721985,74158872,78138502,83020846,88484857,91798185,90242461,93103196,99328677,106536954,106429638,112619155,116248596,118769649,123313411
 "05000" ,"Arkansas",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279
 "05000" ,"Arkansas",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23917,24346,25588,26970,28096,29422,31062,31935,31152,31866,33801,36124,35995,37985,39067,39746,41046
 "06000" ,"California",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1175177709,1193779435,1249800288,1329225078,1408965257,1517898234,1583029762,1606764505,1554229664,1627839016,1738413111,1853467228,1885672430,2021640034,2173299670,2259413865,2364129404
 "06000" ,"California",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653
 "06000" ,"California",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",34083,34233,35452,37364,39326,42139,43669,43895,42050,43609,46145,48751,49173,52237,55679,57497,59796
 "08000" ,"Colorado",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",154409814,154765500,157543201,163427008,174771645,188803293,201227297,207772729,198147196,204691900,222571956,236687388,248958974,271101038,284142915,289620855,306411131
 "08000" ,"Colorado",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154
 "08000" ,"Colorado",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",34889,34466,34787,35722,37732,39997,41889,42492,39851,40549,43502,45637,47308,50746,52228,52372,54646
 "09000" ,"Connecticut",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",155326530,155240907,157487981,166423442,175733011,190585769,205012466,217022607,213686792,222631708,229055119,233699236,229251778,239857145,246012167,249513176,257713569
 "09000" ,"Connecticut",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184
 "09000" ,"Connecticut",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",45247,44884,45199,47603,50110,54183,58122,61209,59994,62185,63769,64958,63637,66624,68453,69547,71823
 "10000" ,"Delaware",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29340441,30328740,31030768,32295515,33165848,35225796,36335669,36033818,36291060,36707178,39796706,40309220,40897981,42751170,45012206,45916981,47782056
 "10000" ,"Delaware",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",795699,806169,818003,830803,845150,859268,871749,883874,891730,899712,907884,916868,925114,934805,944107,952698,961939
 "10000" ,"Delaware",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",36874,37621,37935,38873,39243,40995,41681,40768,40697,40799,43835,43964,44209,45733,47677,48197,49673
 "11000" ,"District of Columbia",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",25670856,25838181,26173728,28509343,30275589,32037160,34497293,35533519,35803355,38513874,41968518,43621146,44369878,47302030,50946743,53040452,55510450
