GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "50000" ,"Vermont",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",18692893,19073448,19812931,20964716,21467309,22941000,24192016,25368864,24990365,25787140,27350297,28303845,28691965,29807664,30865467,31571775,32570355
 "50000" ,"Vermont",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",612223,615442,617858,619920,621215,622892,623481,624151,624817,625842,626210,625606,626044,625665,624455,623354,623657
 "50000" ,"Vermont",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30533,30991,32067,33818,34557,36830,38802,40645,39996,41204,43676,45242,45831,47642,49428,50648,52225
 "50001" ,"Addison, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1029134,1052077,1113760,1167779,1182188,1250546,1341574,1407639,1380980,1457804,1559376,1666692,1645968,1686475,1707991,1763274,1825752
 "50001" ,"Addison, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",36055,36320,36432,36580,36611,36758,36886,36905,36847,36825,36846,36796,36825,36870,36808,36844,36776
 "50001" ,"Addison, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",28543,28967,30571,31924,32291,34021,36371,38142,37479,39587,42321,45295,44697,45741,46403,47858,49645
 "50003" ,"Bennington, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1182598,1179082,1206733,1282457,1279065,1389752,1471027,1540376,1447952,1480607,1566194,1618457,1629507,1699718,1763777,1781510,1850186
 "50003" ,"Bennington, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",36974,37105,37083,37062,36960,37127,37077,37168,37151,37082,36796,36603,36548,36187,36088,35854,35594
 "50003" ,"Bennington, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31985,31777,32541,34603,34607,37432,39675,41444,38975,39928,42564,44217,44585,46970,48874,49688,51980
 "50005" ,"Caledonia, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",726527,745131,769050,811790,836979,883460,950368,1012783,997263,1024350,1076197,1103296,1122234,1152715,1166722,1175437,1205878
 "50005" ,"Caledonia, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",29704,30046,30188,30642,30881,31252,31238,31167,31213,31163,31096,31015,31040,30873,30634,30167,30164
 "50005" ,"Caledonia, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24459,24800,25475,26493,27103,28269,30423,32495,31950,32871,34609,35573,36154,37337,38086,38964,39977
 "50007" ,"Chittenden, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5207245,5339979,5610754,5849382,5985117,6473398,6761810,7151322,7018071,7225770,7781445,8079657,8264134,8624599,9028004,9290898,9609781
 "50007" ,"Chittenden, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",148441,149639,150410,151445,152163,152861,153625,154659,155793,156752,157618,158493,159568,160455,161010,161522,162372
 "50007" ,"Chittenden, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",35080,35686,37303,38624,39334,42348,44015,46239,45047,46097,49369,50978,51791,53751,56071,57521,59184
 "50009" ,"Essex, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",134595,136073,140705,148429,152908,162763,171452,180950,183894,192501,196468,194635,196955,198184,206214,209391,218032
 "50009" ,"Essex, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",6467,6503,6480,6478,6450,6341,6421,6404,6331,6312,6323,6224,6193,6155,6195,6240,6230
 "50009" ,"Essex, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20813,20925,21714,22913,23707,25668,26702,28256,29047,30498,31072,31272,31803,32199,33287,33556,34997
 "50011" ,"Franklin, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1170514,1179964,1217858,1340152,1397262,1422552,1556035,1652304,1642191,1690209,1825382,1886610,1923326,2000803,2051802,2108977,2172764
 "50011" ,"Franklin, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",45900,46305,46590,46942,47192,47392,47455,47462,47620,47814,48187,48284,48388,48761,48933,48974,49025
 "50011" ,"Franklin, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25501,25482,26140,28549,29608,30017,32790,34813,34485,35350,37881,39073,39748,41033,41931,43063,44320
 "50013" ,"Grand Isle, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",217199,223927,237818,256251,265056,276789,297538,307789,311949,322319,325553,350845,349553,363112,368821,385754,400692
 "50013" ,"Grand Isle, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",7020,7108,7201,7265,7282,7173,7152,7211,7022,6948,6969,6967,6984,6966,6869,6933,6998
 "50013" ,"Grand Isle, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30940,31504,33026,35272,36399,38588,41602,42683,44425,46390,46714,50358,50051,52126,53694,55640,57258
 "50015" ,"Lamoille, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",722280,746780,766625,812857,838279,917347,941859,1011386,992497,1005906,1075875,1112009,1126329,1182165,1231195,1275433,1306316
 "50015" ,"Lamoille, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",23378,23475,23539,23444,23421,23642,23778,23971,24193,24517,24674,24919,25058,25092,25195,25274,25337
 "50015" ,"Lamoille, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30896,31812,32568,34672,35792,38802,39611,42192,41024,41029,43604,44625,44949,47113,48867,50464,51558
 "50017" ,"Orange, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",765281,788570,799937,837897,863816,926978,980513,1023420,1052524,1069970,1113682,1148424,1159390,1213560,1246270,1270181,1311799
 "50017" ,"Orange, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",28696,28735,28921,29040,29066,29249,29119,29032,28965,28943,29007,28911,28849,28878,28885,28917,28974
 "50017" ,"Orange, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26669,27443,27659,28853,29719,31693,33673,35251,36338,36968,38394,39723,40188,42024,43146,43925,45275
 "50019" ,"Orleans, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",630418,643603,680759,723059,754548,787322,850884,882930,880007,928873,993140,1024808,1031058,1073260,1095219,1100189,1136729
 "50019" ,"Orleans, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",26443,26540,26908,27064,27224,27215,27332,27269,27234,27245,27173,27153,27131,27022,27008,26751,26841
 "50019" ,"Orleans, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23841,24250,25300,26717,27716,28930,31131,32379,32313,34093,36549,37742,38003,39718,40552,41127,42350
 "50021" ,"Rutland, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1850592,1880580,1945117,2073117,2144005,2268494,2402727,2467546,2436134,2478947,2610867,2666388,2710815,2749041,2846491,2892094,2952830
 "50021" ,"Rutland, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",63132,62982,63113,62997,63003,62894,62618,62368,61946,61573,61196,60776,60487,60068,59566,59172,59087
 "50021" ,"Rutland, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29313,29859,30820,32908,34030,36069,38371,39564,39327,40260,42664,43872,44816,45765,47787,48876,49974
 "50023" ,"Washington, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1860480,1899534,1974538,2115440,2168486,2281371,2388537,2518582,2542205,2657050,2772969,2884302,2962883,3049720,3190974,3309940,3437256
 "50023" ,"Washington, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",58526,58889,58958,59081,59366,59414,59275,59278,59353,59570,59559,59384,59210,58975,58617,58365,58290
 "50023" ,"Washington, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31789,32256,33491,35806,36527,38398,40296,42488,42832,44604,46558,48570,50040,51712,54438,56711,58968
 "50025" ,"Windham, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1333559,1375615,1390649,1469556,1472454,1583030,1667784,1735783,1697611,1771340,1848779,1889776,1886102,1969102,2056621,2063613,2109994
 "50025" ,"Windham, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",43998,44122,44353,44241,44187,44390,44444,44407,44441,44500,44202,43974,43785,43638,43219,43147,42869
 "50025" ,"Windham, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30310,31178,31354,33217,33323,35662,37526,39088,38199,39805,41826,42975,43076,45124,47586,47827,49220
 "50027" ,"Windsor, VT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1862471,1882533,1958628,2076550,2127146,2317198,2409908,2476054,2407087,2481494,2604370,2677946,2683711,2845210,2905366,2945084,3032346
 "50027" ,"Windsor, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",57489,57673,57682,57639,57409,57184,57061,56850,56708,56598,56564,56107,55978,55725,55428,55194,55100
